Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHIRPUR-G,BE,17-Jan-2013,89.25,86.55,86.55,86.55,86.55,86.55,86.55,21,0.02,1,-,-
SHIRPUR-G,BE,18-Jan-2013,86.55,83.00,84.75,83.00,84.50,84.50,84.25,147,0.12,3,-,-
SHIRPUR-G,BE,21-Jan-2013,84.50,81.00,88.70,81.00,86.00,88.05,82.47,504,0.42,10,-,-
SHIRPUR-G,BE,22-Jan-2013,88.05,90.00,90.00,83.70,84.50,84.60,85.82,684,0.59,15,-,-
SHIRPUR-G,BE,23-Jan-2013,84.60,88.80,88.80,83.15,85.50,85.45,85.86,169,0.15,7,-,-
SHIRPUR-G,BE,24-Jan-2013,85.45,81.40,85.50,81.40,85.50,85.50,84.44,189,0.16,3,-,-
SHIRPUR-G,BE,25-Jan-2013,85.50,82.00,85.45,82.00,85.45,85.45,82.86,399,0.33,9,-,-
SHIRPUR-G,BE,28-Jan-2013,85.45,81.50,82.25,81.25,82.25,82.25,81.62,169,0.14,5,-,-
SHIRPUR-G,BE,29-Jan-2013,82.25,79.05,84.90,79.05,82.35,82.35,81.04,75,0.06,5,-,-
SHIRPUR-G,BE,30-Jan-2013,82.35,78.25,85.95,78.25,85.40,82.90,81.87,540,0.44,9,-,-
SHIRPUR-G,BE,01-Feb-2013,82.90,84.00,84.00,81.50,81.50,82.30,82.86,601,0.50,7,-,-
SHIRPUR-G,BE,04-Feb-2013,82.30,84.80,84.80,78.30,82.95,78.45,79.75,1447,1.15,45,-,-
SHIRPUR-G,BE,05-Feb-2013,78.45,75.50,80.65,74.60,75.15,75.15,75.78,589,0.45,11,-,-
SHIRPUR-G,BE,06-Feb-2013,75.15,75.15,78.00,71.50,73.00,74.80,74.63,3761,2.81,27,-,-
SHIRPUR-G,BE,07-Feb-2013,74.80,77.95,77.95,72.00,75.45,72.65,74.99,1047,0.79,15,-,-
SHIRPUR-G,BE,08-Feb-2013,72.65,75.60,75.60,74.50,75.00,75.00,74.85,495,0.37,3,-,-
SHIRPUR-G,BE,11-Feb-2013,75.00,77.85,77.85,77.85,77.85,77.85,77.85,100,0.08,1,-,-
SHIRPUR-G,BE,12-Feb-2013,77.85,76.55,76.55,74.00,74.00,74.00,74.23,110,0.08,2,-,-
SHIRPUR-G,BE,13-Feb-2013,74.00,71.00,73.95,70.30,70.30,70.55,72.16,1376,0.99,17,-,-
SHIRPUR-G,BE,14-Feb-2013,70.55,72.80,72.80,70.05,72.50,71.25,72.55,12,0.01,3,-,-
SHIRPUR-G,BE,15-Feb-2013,71.25,69.05,72.45,69.05,70.55,70.55,69.57,212,0.15,5,-,-
SHIRPUR-G,BE,18-Feb-2013,70.55,72.25,72.45,69.25,70.05,70.05,70.45,320,0.23,9,-,-
SHIRPUR-G,BE,20-Feb-2013,70.05,70.10,72.00,69.50,72.00,72.00,70.14,1130,0.79,9,-,-
SHIRPUR-G,BE,21-Feb-2013,72.00,70.05,71.50,70.00,71.50,70.40,70.34,227,0.16,6,-,-
SHIRPUR-G,BE,22-Feb-2013,70.40,70.05,70.05,70.05,70.05,70.05,70.05,9,0.01,1,-,-
SHIRPUR-G,BE,25-Feb-2013,70.05,73.50,73.50,69.60,71.40,71.40,72.97,123,0.09,4,-,-
SHIRPUR-G,BE,26-Feb-2013,71.40,67.85,69.80,67.85,67.90,67.90,68.12,1548,1.05,23,-,-
SHIRPUR-G,BE,27-Feb-2013,67.90,67.00,67.50,65.00,65.35,65.35,66.18,1077,0.71,16,-,-
SHIRPUR-G,BE,28-Feb-2013,65.35,66.00,68.60,64.00,64.00,64.00,66.73,2213,1.48,12,-,-
SHIRPUR-G,EQ,01-Mar-2013,64.00,65.15,67.00,65.00,67.00,66.95,65.20,1100,0.72,8,1007,91.55
SHIRPUR-G,EQ,04-Mar-2013,66.95,64.00,66.20,64.00,66.20,65.75,64.96,92,0.06,5,82,89.13
SHIRPUR-G,EQ,05-Mar-2013,65.75,66.00,67.00,66.00,66.70,66.70,66.72,1570,1.05,18,1567,99.81
SHIRPUR-G,EQ,06-Mar-2013,66.70,69.85,69.85,63.50,64.75,65.85,65.94,2302,1.52,28,2247,97.61
SHIRPUR-G,EQ,07-Mar-2013,65.85,66.00,68.50,66.00,68.50,68.45,66.83,1514,1.01,3,1514,100.00
SHIRPUR-G,EQ,08-Mar-2013,68.45,65.00,72.45,65.00,72.45,72.35,71.22,686,0.49,11,686,100.00
SHIRPUR-G,EQ,11-Mar-2013,72.35,70.00,78.75,70.00,73.25,73.25,73.64,319,0.23,5,250,78.37
