Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SITASHREE,EQ,07-Apr-2008,30.00,35.00,46.70,33.95,44.20,43.70,43.35,35354825,15324.65,-,2267934,6.41
SITASHREE,EQ,08-Apr-2008,43.70,43.40,43.50,37.20,37.70,37.85,38.63,8514759,3289.14,-,766436,9.00
SITASHREE,EQ,09-Apr-2008,37.85,35.00,45.45,35.00,43.45,44.55,42.21,17039168,7192.94,-,884556,5.19
SITASHREE,EQ,10-Apr-2008,44.55,43.90,48.50,39.75,40.80,40.30,43.27,18372588,7950.38,-,1781604,9.70
SITASHREE,EQ,11-Apr-2008,40.30,41.00,44.20,37.00,44.10,42.95,40.84,12055087,4923.09,-,1196625,9.93
SITASHREE,EQ,15-Apr-2008,42.95,43.00,51.55,42.30,51.55,51.50,48.92,14833335,7256.29,-,1280718,8.63
SITASHREE,EQ,16-Apr-2008,51.50,52.00,56.50,43.60,49.00,49.00,51.46,15472827,7962.52,-,2017189,13.04
SITASHREE,EQ,17-Apr-2008,49.00,50.50,53.40,46.60,53.05,51.55,50.03,10272882,5139.30,-,1278745,12.45
SITASHREE,EQ,21-Apr-2008,51.55,54.50,61.90,53.00,61.50,61.75,58.29,13697734,7985.05,-,1163585,8.49
SITASHREE,EQ,22-Apr-2008,61.75,61.50,61.70,57.10,58.70,59.00,59.30,5607787,3325.59,-,752574,13.42
SITASHREE,EQ,23-Apr-2008,59.00,58.10,61.65,56.10,56.60,56.55,58.77,5123613,3011.08,-,846370,16.52
SITASHREE,EQ,24-Apr-2008,56.55,56.40,59.60,54.60,55.05,55.05,56.93,4254629,2422.01,-,729596,17.15
SITASHREE,EQ,25-Apr-2008,55.05,56.00,56.70,53.30,54.85,54.75,54.62,1930054,1054.29,-,279478,14.48
SITASHREE,EQ,28-Apr-2008,54.75,55.30,60.25,54.50,60.25,60.15,58.61,4852946,2844.33,-,1264608,26.06
SITASHREE,EQ,29-Apr-2008,60.15,61.90,63.20,60.00,60.50,60.95,61.54,5409734,3328.91,-,654292,12.09
SITASHREE,EQ,30-Apr-2008,60.95,61.80,66.35,54.85,54.85,56.45,61.62,8601869,5300.32,-,1681244,19.55
SITASHREE,EQ,02-May-2008,56.45,57.70,57.70,51.55,51.80,52.20,53.81,5995223,3226.20,-,1311444,21.87
SITASHREE,EQ,05-May-2008,52.20,52.00,54.30,51.65,52.90,52.95,53.00,3365406,1783.71,-,414285,12.31
SITASHREE,EQ,06-May-2008,52.95,53.00,54.00,49.25,49.50,49.55,50.61,3842045,1944.38,-,939289,24.45
SITASHREE,EQ,07-May-2008,49.55,49.50,49.50,47.10,47.55,47.40,47.87,1336774,639.85,-,260776,19.51
SITASHREE,EQ,08-May-2008,47.40,45.75,46.25,44.00,44.70,44.75,44.95,1490743,670.03,-,254327,17.06
SITASHREE,EQ,09-May-2008,44.75,44.40,47.30,43.15,45.65,45.80,45.68,3172244,1449.08,-,953593,30.06
SITASHREE,EQ,12-May-2008,45.80,45.35,48.90,45.35,46.65,47.10,47.78,2377095,1135.80,-,398033,16.74
SITASHREE,EQ,13-May-2008,47.10,48.00,49.40,45.75,46.00,46.55,48.00,1313942,630.69,-,272181,20.71
SITASHREE,EQ,14-May-2008,46.55,46.00,47.80,45.25,45.80,46.00,46.45,786319,365.25,-,147595,18.77
SITASHREE,EQ,15-May-2008,46.00,46.50,46.95,45.10,45.65,45.50,46.02,543528,250.14,-,146909,27.03
SITASHREE,EQ,16-May-2008,45.50,46.00,46.70,43.25,45.20,45.05,45.40,1158708,526.00,-,526347,45.43
SITASHREE,EQ,20-May-2008,45.05,45.20,45.60,44.20,44.60,44.55,44.97,495147,222.68,-,136055,27.48
SITASHREE,EQ,21-May-2008,44.55,44.10,45.30,44.00,44.20,44.15,44.43,392287,174.30,-,125166,31.91
SITASHREE,EQ,22-May-2008,44.15,44.00,49.00,43.40,45.10,45.30,46.03,2279237,1049.06,-,393445,17.26
SITASHREE,EQ,23-May-2008,45.30,45.95,51.35,45.10,48.85,48.95,49.19,5960990,2932.28,-,1029103,17.26
SITASHREE,EQ,26-May-2008,48.95,48.00,51.50,41.65,42.05,42.25,46.27,5719334,2646.28,-,1495616,26.15
SITASHREE,EQ,27-May-2008,42.25,43.00,45.35,43.00,43.70,43.45,44.13,2785761,1229.43,-,342998,12.31
SITASHREE,EQ,28-May-2008,43.45,43.45,44.90,39.65,40.40,40.30,42.04,4378210,1840.69,-,937079,21.40
SITASHREE,EQ,29-May-2008,40.30,41.00,42.50,39.10,40.10,39.85,40.48,1929211,780.92,-,385060,19.96
SITASHREE,EQ,30-May-2008,39.85,40.00,40.95,37.10,37.95,37.50,38.14,1200879,458.06,-,281256,23.42
SITASHREE,EQ,02-Jun-2008,37.50,37.50,38.25,34.10,34.50,34.45,35.93,853613,306.69,-,253707,29.72
SITASHREE,EQ,03-Jun-2008,34.45,34.00,34.50,32.00,34.40,33.80,33.65,913705,307.44,-,268278,29.36
SITASHREE,EQ,04-Jun-2008,33.80,33.60,34.00,32.10,32.40,32.30,33.00,748546,247.02,-,244083,32.61
SITASHREE,EQ,05-Jun-2008,32.30,32.20,32.90,29.10,30.40,30.40,30.69,832637,255.52,-,236104,28.36
SITASHREE,EQ,06-Jun-2008,30.40,32.90,32.90,29.35,29.80,29.80,30.46,593644,180.84,-,143101,24.11
SITASHREE,EQ,09-Jun-2008,29.80,29.75,29.75,25.00,26.45,26.45,26.32,631867,166.29,-,166885,26.41
SITASHREE,EQ,10-Jun-2008,26.45,25.10,27.50,25.00,26.45,26.30,26.39,638117,168.38,-,125579,19.68
SITASHREE,EQ,11-Jun-2008,26.30,26.00,27.30,26.00,26.75,26.45,26.59,296765,78.92,-,86490,29.14
SITASHREE,EQ,12-Jun-2008,26.45,25.75,25.95,24.15,25.95,25.60,25.33,288580,73.09,-,72986,25.29
SITASHREE,EQ,13-Jun-2008,25.60,26.00,28.80,25.40,27.80,27.50,27.84,1419040,395.06,-,232094,16.36
SITASHREE,EQ,16-Jun-2008,27.50,28.50,29.20,27.60,27.80,27.90,28.39,411643,116.85,-,118440,28.77
SITASHREE,EQ,17-Jun-2008,27.90,27.40,27.90,27.05,27.80,27.70,27.59,305318,84.23,-,95280,31.21
SITASHREE,EQ,18-Jun-2008,27.70,27.50,28.60,27.20,27.50,27.55,28.07,358999,100.78,-,100046,27.87
SITASHREE,EQ,19-Jun-2008,27.55,27.00,27.10,26.25,26.40,26.50,26.69,225255,60.13,-,79072,35.10
SITASHREE,EQ,20-Jun-2008,26.50,26.50,27.50,24.90,25.35,25.15,25.58,342860,87.72,-,128187,37.39
SITASHREE,EQ,23-Jun-2008,25.15,25.00,25.00,21.70,22.75,22.70,22.87,344747,78.85,-,106531,30.90
SITASHREE,EQ,24-Jun-2008,22.70,23.00,23.65,21.20,21.50,21.80,22.36,351558,78.62,-,84813,24.12
SITASHREE,EQ,25-Jun-2008,21.80,21.00,21.00,19.20,20.45,20.35,20.32,473051,96.10,-,125478,26.53
SITASHREE,EQ,26-Jun-2008,20.35,20.50,22.00,20.50,20.95,21.00,21.31,460855,98.19,-,141868,30.78
SITASHREE,EQ,27-Jun-2008,21.00,19.55,20.00,18.90,20.00,19.75,19.72,305477,60.25,-,72943,23.88
SITASHREE,EQ,30-Jun-2008,19.75,20.00,20.00,17.45,17.70,18.00,18.87,252039,47.56,-,82376,32.68
SITASHREE,EQ,01-Jul-2008,18.00,17.30,18.00,15.55,15.60,15.80,16.61,434931,72.25,-,219915,50.56
SITASHREE,EQ,02-Jul-2008,15.80,15.50,16.60,13.70,15.90,16.10,14.94,903283,134.92,-,194984,21.59
SITASHREE,EQ,03-Jul-2008,16.10,15.60,15.60,14.50,14.75,14.90,14.97,530943,79.49,-,103724,19.54
SITASHREE,EQ,04-Jul-2008,14.90,14.80,15.35,14.65,15.05,15.10,15.06,327799,49.37,-,93922,28.65
SITASHREE,EQ,07-Jul-2008,15.10,15.70,16.40,15.00,16.10,16.10,16.11,389401,62.73,-,118075,30.32
SITASHREE,EQ,08-Jul-2008,16.10,15.60,15.85,13.70,15.85,15.60,15.44,192657,29.75,-,53957,28.01
SITASHREE,EQ,09-Jul-2008,15.60,15.95,16.80,15.95,16.20,16.25,16.27,328716,53.48,-,100949,30.71
SITASHREE,EQ,10-Jul-2008,16.25,15.90,19.50,15.90,19.50,19.50,18.77,1426155,267.65,-,429659,30.13
SITASHREE,EQ,11-Jul-2008,19.50,20.85,22.50,17.50,18.35,18.40,20.58,4109225,845.80,-,1226386,29.84
SITASHREE,EQ,14-Jul-2008,18.40,18.00,19.35,17.60,18.50,18.15,18.43,1194491,220.09,-,201557,16.87
SITASHREE,EQ,15-Jul-2008,18.15,17.50,18.25,17.00,17.70,17.80,17.80,577730,102.85,-,157641,27.29
