Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SMPL,EQ,09-Mar-2010,33.70,34.45,34.80,33.25,34.50,34.20,34.39,221211,76.07,-,47993,21.70
SMPL,EQ,10-Mar-2010,34.20,35.00,40.05,32.50,36.30,36.50,35.59,1053652,374.98,-,316378,30.03
SMPL,EQ,11-Mar-2010,36.50,36.90,37.95,35.70,37.00,36.75,36.65,493059,180.72,-,203439,41.26
SMPL,EQ,12-Mar-2010,36.75,37.00,39.75,29.40,29.40,29.40,33.80,4807601,1625.17,-,1256701,26.14
SMPL,EQ,15-Mar-2010,29.40,28.00,29.90,24.50,27.75,27.95,27.91,850860,237.45,-,204830,24.07
SMPL,EQ,16-Mar-2010,27.95,27.65,30.20,27.05,27.60,27.65,28.49,1565875,446.06,-,295618,18.88
SMPL,EQ,17-Mar-2010,27.65,28.00,29.95,26.10,26.40,26.45,27.15,1541859,418.54,-,662623,42.98
SMPL,EQ,18-Mar-2010,26.45,27.10,28.70,25.15,25.45,25.50,26.45,669190,177.00,-,240227,35.90
SMPL,EQ,19-Mar-2010,25.50,25.75,28.05,23.90,26.75,26.85,26.12,5154146,1346.30,-,1255453,24.36
SMPL,EQ,22-Mar-2010,26.85,26.10,26.90,25.85,26.20,26.20,26.50,210122,55.68,-,96349,45.85
SMPL,EQ,23-Mar-2010,26.20,26.50,27.20,26.00,26.20,26.30,26.60,214053,56.93,-,93711,43.78
SMPL,EQ,25-Mar-2010,26.30,26.10,26.80,26.10,26.25,26.20,26.43,179502,47.44,-,117739,65.59
SMPL,EQ,26-Mar-2010,26.20,26.25,26.45,24.70,24.80,24.95,26.06,456394,118.93,-,378780,82.99
SMPL,EQ,29-Mar-2010,24.95,25.35,25.35,22.55,23.15,23.00,23.76,324285,77.04,-,185280,57.13
SMPL,EQ,30-Mar-2010,23.00,23.25,25.30,23.25,25.30,25.30,24.85,428305,106.44,-,195039,45.54
SMPL,EQ,31-Mar-2010,25.30,25.65,26.75,25.55,25.80,25.65,25.94,230148,59.71,-,118474,51.48
SMPL,EQ,01-Apr-2010,25.65,25.60,27.80,25.60,27.70,27.50,27.07,321002,86.90,-,196657,61.26
SMPL,EQ,05-Apr-2010,27.50,28.00,28.40,26.90,28.05,28.05,27.96,277353,77.54,-,128005,46.15
SMPL,EQ,06-Apr-2010,28.05,28.10,28.45,26.85,27.45,27.40,27.48,113105,31.09,-,35364,31.27
SMPL,EQ,07-Apr-2010,27.40,28.20,28.20,27.00,27.15,27.35,27.70,439079,121.62,-,237694,54.13
SMPL,EQ,08-Apr-2010,27.35,27.50,27.65,27.00,27.15,27.20,27.36,141764,38.79,-,95923,67.66
SMPL,EQ,09-Apr-2010,27.20,27.45,27.50,26.15,26.75,26.85,26.87,105207,28.27,-,59958,56.99
SMPL,EQ,12-Apr-2010,26.85,26.50,27.00,26.15,26.15,26.20,26.75,253861,67.90,-,228953,90.19
SMPL,EQ,13-Apr-2010,26.20,27.40,28.85,26.20,26.30,26.25,26.46,80374,21.27,-,38727,48.18
SMPL,EQ,15-Apr-2010,26.25,25.90,26.70,25.50,25.50,25.65,25.92,65508,16.98,-,41105,62.75
SMPL,EQ,16-Apr-2010,25.65,25.95,27.25,25.25,26.50,26.45,26.64,228604,60.91,-,90802,39.72
SMPL,EQ,19-Apr-2010,26.45,26.05,27.35,25.60,26.50,26.70,26.87,233057,62.61,-,94116,40.38
SMPL,EQ,20-Apr-2010,26.70,27.10,27.25,26.50,26.90,27.00,26.68,2068283,551.72,-,1655180,80.03
SMPL,EQ,21-Apr-2010,27.00,27.00,27.00,25.80,25.90,26.00,26.34,190262,50.11,-,80912,42.53
SMPL,EQ,22-Apr-2010,26.00,26.70,26.70,25.55,25.90,25.95,25.97,150414,39.06,-,111499,74.13
SMPL,EQ,23-Apr-2010,25.95,26.15,26.25,25.25,25.35,25.40,25.54,76596,19.56,-,57906,75.60
SMPL,EQ,26-Apr-2010,25.40,25.55,25.75,25.00,25.40,25.25,25.53,154101,39.34,-,124631,80.88
SMPL,EQ,27-Apr-2010,25.25,26.20,26.20,25.00,25.25,25.15,25.32,80286,20.33,-,74534,92.84
SMPL,EQ,28-Apr-2010,25.15,23.30,25.40,23.30,24.15,24.25,24.56,73524,18.06,-,47688,64.86
SMPL,EQ,29-Apr-2010,24.25,24.80,25.00,23.95,24.00,24.25,24.40,108165,26.39,-,83161,76.88
SMPL,EQ,30-Apr-2010,24.25,23.00,24.90,22.55,24.20,24.25,24.50,140056,34.31,-,51547,36.80
SMPL,EQ,03-May-2010,24.25,25.00,25.90,24.45,24.80,24.70,24.98,110704,27.65,-,60443,54.60
