Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SONATSOFTW,EQ,02-Jan-2006,33.90,33.95,34.70,33.70,34.20,33.95,34.10,241413,82.32,-,103852,43.02
SONATSOFTW,EQ,03-Jan-2006,33.95,34.40,35.25,34.10,34.55,34.60,34.66,565917,196.16,-,253440,44.78
SONATSOFTW,EQ,04-Jan-2006,34.60,34.00,39.45,34.00,37.90,37.95,37.98,5553352,2109.18,-,1902146,34.25
SONATSOFTW,EQ,05-Jan-2006,37.95,38.45,38.80,37.15,37.55,37.55,37.75,1544372,583.00,-,506426,32.79
SONATSOFTW,EQ,06-Jan-2006,37.55,37.80,42.65,37.30,40.45,40.60,40.75,6864682,2797.70,-,1844946,26.88
SONATSOFTW,EQ,09-Jan-2006,40.60,41.00,43.25,40.60,41.30,41.45,42.07,3709998,1560.88,-,1094045,29.49
SONATSOFTW,EQ,10-Jan-2006,41.45,41.60,41.90,39.80,40.20,40.15,40.61,1145386,465.13,-,438504,38.28
SONATSOFTW,EQ,12-Jan-2006,40.15,39.15,42.45,38.50,40.45,40.25,40.75,2252889,918.02,-,657304,29.18
SONATSOFTW,EQ,13-Jan-2006,40.25,42.20,42.20,40.05,40.35,40.30,40.80,815979,332.94,-,325179,39.85
SONATSOFTW,EQ,16-Jan-2006,40.30,41.50,42.20,40.00,40.80,40.65,41.19,1871419,770.76,-,487997,26.08
SONATSOFTW,EQ,17-Jan-2006,40.65,41.60,41.60,38.55,39.10,38.90,40.13,1190797,477.81,-,508440,42.70
SONATSOFTW,EQ,18-Jan-2006,38.90,40.00,40.40,38.00,39.50,39.70,39.29,1449132,569.30,-,330754,22.82
SONATSOFTW,EQ,19-Jan-2006,39.70,41.15,41.35,39.95,40.80,40.75,40.71,1045948,425.85,-,376276,35.97
SONATSOFTW,EQ,20-Jan-2006,40.75,41.35,41.45,40.40,40.70,40.60,40.96,603124,247.05,-,276910,45.91
SONATSOFTW,EQ,23-Jan-2006,40.60,39.20,40.60,39.20,39.90,39.90,40.02,344165,137.74,-,205826,59.80
SONATSOFTW,EQ,24-Jan-2006,39.90,40.35,40.35,38.35,39.50,39.15,39.86,547246,218.15,-,310987,56.83
SONATSOFTW,EQ,25-Jan-2006,39.15,39.50,39.50,38.40,38.55,38.55,38.90,270172,105.11,-,147823,54.71
SONATSOFTW,EQ,27-Jan-2006,38.55,38.00,39.40,38.00,39.15,38.85,39.02,336792,131.41,-,193426,57.43
SONATSOFTW,EQ,30-Jan-2006,38.85,38.90,41.45,38.20,40.25,40.25,40.32,978343,394.49,-,428967,43.85
SONATSOFTW,EQ,31-Jan-2006,40.25,40.25,40.70,39.25,39.45,39.65,39.97,424338,169.61,-,243180,57.31
SONATSOFTW,EQ,01-Feb-2006,39.65,39.80,39.95,38.55,39.25,38.75,39.21,217715,85.36,-,125961,57.86
SONATSOFTW,EQ,02-Feb-2006,38.75,39.05,39.40,37.50,38.00,37.80,38.23,228859,87.50,-,124704,54.49
SONATSOFTW,EQ,03-Feb-2006,37.80,37.80,38.30,36.25,36.70,36.80,37.35,267827,100.03,-,165312,61.72
SONATSOFTW,EQ,06-Feb-2006,36.80,37.00,37.75,36.35,37.00,37.10,37.23,241092,89.75,-,124196,51.51
SONATSOFTW,EQ,07-Feb-2006,37.10,37.30,39.70,37.10,37.80,37.90,38.47,656356,252.49,-,195562,29.80
SONATSOFTW,EQ,08-Feb-2006,37.90,38.25,38.25,37.30,37.70,37.65,37.82,259164,98.02,-,143810,55.49
SONATSOFTW,EQ,10-Feb-2006,37.65,38.00,38.25,37.20,37.40,37.45,37.77,317007,119.74,-,176731,55.75
SONATSOFTW,EQ,13-Feb-2006,37.45,37.80,38.15,37.45,37.70,37.65,37.73,194336,73.32,-,96619,49.72
SONATSOFTW,EQ,14-Feb-2006,37.65,37.50,38.10,37.40,37.85,37.85,37.79,205955,77.84,-,130380,63.31
SONATSOFTW,EQ,15-Feb-2006,37.85,37.10,38.00,37.00,37.20,37.35,37.53,208928,78.42,-,93403,44.71
SONATSOFTW,EQ,16-Feb-2006,37.35,37.50,37.60,36.80,36.80,36.95,37.22,144101,53.64,-,90644,62.90
SONATSOFTW,EQ,17-Feb-2006,36.95,37.35,37.85,35.65,36.15,36.00,36.94,495029,182.87,-,204435,41.30
