Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SPIC,EQ,02-Jan-2006,26.40,26.70,28.75,26.30,28.30,28.30,27.80,1108405,308.13,-,337691,30.47
SPIC,EQ,03-Jan-2006,28.30,28.30,29.70,28.25,28.65,28.70,28.96,866763,251.02,-,388202,44.79
SPIC,EQ,04-Jan-2006,28.70,29.00,29.05,27.70,27.75,27.90,28.11,194375,54.64,-,114023,58.66
SPIC,EQ,05-Jan-2006,27.90,28.15,29.50,27.00,29.00,29.15,28.56,647737,184.99,-,310720,47.97
SPIC,EQ,06-Jan-2006,29.15,29.05,29.85,28.50,28.60,28.65,29.15,313619,91.42,-,184667,58.88
SPIC,EQ,09-Jan-2006,28.65,29.00,30.25,28.50,29.10,29.20,29.54,615625,181.88,-,211023,34.28
SPIC,EQ,10-Jan-2006,29.20,29.50,29.90,28.50,28.80,28.70,29.21,253890,74.15,-,105833,41.68
SPIC,EQ,12-Jan-2006,28.70,28.70,29.20,28.15,28.15,28.35,28.64,129861,37.19,-,65681,50.58
SPIC,EQ,13-Jan-2006,28.35,28.70,29.50,28.05,28.20,28.30,28.83,203278,58.61,-,123994,61.00
SPIC,EQ,16-Jan-2006,28.30,28.50,28.50,26.80,27.00,26.95,27.49,294518,80.95,-,196788,66.82
SPIC,EQ,17-Jan-2006,26.95,27.40,27.75,26.05,26.10,26.15,26.72,200728,53.64,-,134952,67.23
SPIC,EQ,18-Jan-2006,26.15,25.55,26.75,25.55,26.25,26.20,26.23,152869,40.10,-,67590,44.21
SPIC,EQ,19-Jan-2006,26.20,26.30,27.20,26.25,26.75,26.65,26.72,145747,38.95,-,83322,57.17
SPIC,EQ,20-Jan-2006,26.65,27.40,28.60,26.60,28.20,28.25,27.91,388609,108.45,-,180107,46.35
SPIC,EQ,23-Jan-2006,28.25,26.20,28.20,26.20,27.80,27.80,27.74,117015,32.46,-,73603,62.90
SPIC,EQ,24-Jan-2006,27.80,28.15,29.00,27.40,27.40,27.70,28.35,212400,60.22,-,102188,48.11
SPIC,EQ,25-Jan-2006,27.70,28.00,28.20,26.85,27.00,26.95,27.26,217052,59.17,-,125385,57.77
SPIC,EQ,27-Jan-2006,26.95,26.50,27.45,26.00,26.80,26.75,26.85,161124,43.26,-,92122,57.17
SPIC,EQ,30-Jan-2006,26.75,26.10,26.80,25.60,26.00,25.85,26.09,228463,59.59,-,135252,59.20
SPIC,EQ,31-Jan-2006,25.85,26.00,27.70,25.70,26.45,26.45,26.88,460327,123.74,-,149939,32.57
SPIC,EQ,01-Feb-2006,26.45,27.35,27.40,24.75,24.90,25.00,25.76,201235,51.83,-,128718,63.96
SPIC,EQ,02-Feb-2006,25.00,27.00,27.00,24.10,24.95,24.85,24.91,145791,36.32,-,78132,53.59
SPIC,EQ,03-Feb-2006,24.85,24.95,25.35,24.70,24.95,25.05,25.02,103021,25.78,-,59577,57.83
SPIC,EQ,06-Feb-2006,25.05,25.10,25.70,24.85,25.10,25.10,25.27,109370,27.64,-,65671,60.04
SPIC,EQ,07-Feb-2006,25.10,25.15,25.70,24.80,25.00,24.95,25.11,98846,24.82,-,53784,54.41
SPIC,EQ,08-Feb-2006,24.95,25.15,25.55,24.85,24.95,25.05,25.21,149921,37.79,-,74080,49.41
SPIC,EQ,10-Feb-2006,25.05,25.50,25.50,24.90,25.00,25.00,25.06,97423,24.42,-,53889,55.31
SPIC,EQ,13-Feb-2006,25.00,24.95,25.90,24.75,25.30,25.40,25.31,211409,53.52,-,107791,50.99
SPIC,EQ,14-Feb-2006,25.40,23.65,25.70,23.65,24.80,24.70,25.22,109525,27.62,-,69288,63.26
SPIC,EQ,15-Feb-2006,24.70,25.95,27.00,24.80,24.95,24.95,25.04,113090,28.32,-,58101,51.38
SPIC,EQ,16-Feb-2006,24.95,25.25,26.60,24.85,25.70,25.65,25.76,327744,84.42,-,115780,35.33
SPIC,EQ,17-Feb-2006,25.65,25.60,25.90,24.80,25.25,24.95,25.42,159670,40.60,-,91497,57.30
SPIC,EQ,20-Feb-2006,24.95,25.00,25.45,24.00,24.20,24.30,24.38,121663,29.67,-,61192,50.30
SPIC,EQ,21-Feb-2006,24.30,26.15,29.20,26.15,29.20,29.20,28.05,2460548,690.15,-,717842,29.17
SPIC,EQ,22-Feb-2006,29.20,31.00,31.80,28.35,28.85,28.65,30.39,3370217,1024.31,-,1156856,34.33
SPIC,EQ,23-Feb-2006,28.65,28.70,29.50,27.35,27.85,27.70,28.46,503351,143.24,-,188727,37.49
SPIC,EQ,24-Feb-2006,27.70,28.00,28.10,26.70,27.00,26.95,27.26,263111,71.72,-,135971,51.68
SPIC,EQ,27-Feb-2006,26.95,27.40,27.80,27.05,27.60,27.55,27.56,242754,66.89,-,115421,47.55
SPIC,EQ,28-Feb-2006,27.55,27.95,27.95,26.00,26.40,26.45,27.02,247380,66.84,-,110650,44.73
SPIC,EQ,01-Mar-2006,26.45,25.75,26.40,25.40,25.50,25.60,25.82,196166,50.66,-,115619,58.94
SPIC,EQ,02-Mar-2006,25.60,25.95,26.00,24.55,24.80,24.70,25.12,269365,67.68,-,172440,64.02
SPIC,EQ,03-Mar-2006,24.70,24.65,25.50,24.60,24.75,24.70,24.98,183377,45.80,-,75959,41.42
SPIC,EQ,06-Mar-2006,24.70,25.00,25.60,24.70,24.85,24.90,25.01,189958,47.52,-,111900,58.91
SPIC,EQ,07-Mar-2006,24.90,25.00,25.20,24.30,24.40,24.50,24.59,144493,35.53,-,86222,59.67
SPIC,EQ,08-Mar-2006,24.50,24.50,25.50,24.35,24.40,24.45,24.80,231061,57.29,-,134639,58.27
SPIC,EQ,09-Mar-2006,24.45,24.50,24.65,24.10,24.25,24.25,24.31,72451,17.62,-,41036,56.64
SPIC,EQ,10-Mar-2006,24.25,24.30,24.50,23.50,24.35,24.05,24.06,190882,45.93,-,113271,59.34
SPIC,EQ,13-Mar-2006,24.05,24.40,25.30,24.00,24.45,24.40,24.78,206366,51.14,-,106784,51.74
SPIC,EQ,14-Mar-2006,24.40,24.80,25.25,24.15,25.05,25.05,24.94,374448,93.39,-,290049,77.46
SPIC,EQ,16-Mar-2006,25.05,25.00,30.10,24.85,28.55,28.35,28.80,3342492,962.50,-,952596,28.50
SPIC,EQ,17-Mar-2006,28.35,29.00,29.00,26.65,27.45,27.25,27.30,559471,152.74,-,230400,41.18
SPIC,EQ,20-Mar-2006,27.25,27.25,27.65,25.95,26.00,26.05,26.39,282790,74.63,-,129249,45.70
SPIC,EQ,21-Mar-2006,26.05,26.15,26.40,25.55,26.20,26.00,25.93,278679,72.25,-,155113,55.66
SPIC,EQ,22-Mar-2006,26.00,26.00,26.25,25.65,25.65,25.75,25.89,163643,42.36,-,118053,72.14
SPIC,EQ,23-Mar-2006,25.75,26.00,26.20,25.40,26.20,25.80,25.69,135795,34.88,-,101659,74.86
SPIC,EQ,24-Mar-2006,25.80,26.00,28.50,25.65,27.30,27.45,27.55,707195,194.82,-,266676,37.71
SPIC,EQ,27-Mar-2006,27.45,27.65,28.15,26.50,26.50,26.70,27.33,197279,53.93,-,109067,55.29
SPIC,EQ,28-Mar-2006,26.70,26.90,27.50,25.80,25.80,26.05,26.37,183324,48.34,-,133751,72.96
SPIC,EQ,29-Mar-2006,26.05,26.00,27.70,25.30,26.00,27.10,26.94,442935,119.33,-,202541,45.73
SPIC,EQ,30-Mar-2006,27.10,27.50,28.60,26.40,28.20,28.40,28.11,523517,147.17,-,294467,56.25
SPIC,EQ,31-Mar-2006,28.40,28.50,29.00,27.60,28.90,28.45,28.24,334826,94.56,-,209621,62.61
SPIC,EQ,03-Apr-2006,28.45,28.70,30.75,28.00,30.40,30.20,29.97,926529,277.64,-,480261,51.83
SPIC,EQ,04-Apr-2006,30.20,30.65,31.00,29.05,30.25,30.40,30.13,613860,184.96,-,326744,53.23
SPIC,EQ,05-Apr-2006,30.40,30.45,30.65,29.70,30.00,29.85,30.17,296095,89.32,-,167897,56.70
SPIC,EQ,07-Apr-2006,29.85,30.50,31.25,28.00,28.50,28.40,29.44,297081,87.47,-,164299,55.30
SPIC,EQ,10-Apr-2006,28.40,28.30,29.90,28.00,28.50,28.40,28.46,153494,43.68,-,73186,47.68
SPIC,EQ,12-Apr-2006,28.40,28.55,29.80,28.25,28.35,28.40,28.89,207835,60.03,-,107144,51.55
SPIC,EQ,13-Apr-2006,28.40,28.10,28.70,27.05,27.55,27.60,27.84,152904,42.57,-,81176,53.09
SPIC,EQ,17-Apr-2006,27.60,25.00,27.25,23.30,26.80,26.70,26.03,846570,220.39,-,176919,20.90
SPIC,EQ,18-Apr-2006,26.70,26.00,27.70,26.00,26.20,26.30,26.70,288529,77.03,-,158536,54.95
SPIC,EQ,19-Apr-2006,26.30,26.50,26.80,26.00,26.25,26.40,26.40,239008,63.10,-,165474,69.23
SPIC,EQ,20-Apr-2006,26.40,26.60,28.00,26.60,26.80,26.80,27.16,175132,47.56,-,73899,42.20
SPIC,EQ,21-Apr-2006,26.80,27.40,31.45,27.00,28.90,29.15,27.81,5338123,1484.49,-,4511156,84.51
SPIC,EQ,24-Apr-2006,29.15,29.20,30.70,28.10,29.75,30.15,29.71,721976,214.52,-,334535,46.34
SPIC,EQ,25-Apr-2006,30.15,30.10,30.25,28.35,28.65,28.60,29.38,330522,97.12,-,154141,46.64
SPIC,EQ,26-Apr-2006,28.60,28.90,29.75,28.55,28.80,28.75,29.13,171032,49.82,-,75686,44.25
