Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
STINDIA,EQ,23-Jun-2006,3.95,9.15,9.95,9.15,9.95,9.95,9.55,401,0.04,-,400,99.75
STINDIA,EQ,25-Jun-2006,9.95,10.40,10.40,10.40,10.40,10.40,10.40,100,0.01,-,100,100.00
STINDIA,EQ,26-Jun-2006,10.40,10.95,10.95,10.25,10.95,10.95,10.45,779,0.08,-,675,86.65
STINDIA,EQ,27-Jun-2006,10.95,10.40,10.40,10.40,10.40,10.40,10.40,200,0.02,-,200,100.00
STINDIA,EQ,28-Jun-2006,10.40,9.90,9.90,9.90,9.90,9.90,9.90,10,0.00,-,10,100.00
STINDIA,EQ,29-Jun-2006,9.90,9.40,9.40,9.40,9.40,9.40,9.40,15,0.00,-,15,100.00
STINDIA,EQ,30-Jun-2006,9.40,9.90,9.90,9.90,9.90,9.90,9.90,5,0.00,-,5,100.00
STINDIA,EQ,03-Jul-2006,9.90,9.45,10.35,9.45,9.45,9.45,9.46,355,0.03,-,350,98.59
STINDIA,EQ,04-Jul-2006,9.45,9.95,9.95,9.00,9.00,9.00,9.08,602,0.05,-,600,99.67
STINDIA,EQ,05-Jul-2006,9.00,9.45,9.45,9.45,9.45,9.45,9.45,50,0.00,-,50,100.00
STINDIA,EQ,06-Jul-2006,9.45,9.95,9.95,9.95,9.95,9.95,9.95,343,0.03,-,343,100.00
STINDIA,EQ,07-Jul-2006,9.95,10.75,10.75,9.50,9.50,9.55,9.98,1002,0.10,-,250,24.95
STINDIA,EQ,10-Jul-2006,9.55,10.00,10.55,10.00,10.00,10.00,10.01,204,0.02,-,200,98.04
STINDIA,EQ,11-Jul-2006,10.00,10.40,10.80,10.25,10.80,10.80,10.45,502,0.05,-,502,100.00
STINDIA,EQ,12-Jul-2006,10.80,10.30,10.30,10.30,10.30,10.30,10.30,10,0.00,-,10,100.00
STINDIA,EQ,19-Jul-2006,10.30,9.80,9.80,9.80,9.80,9.80,9.80,10,0.00,-,10,100.00
