Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNILHITEC,EQ,02-Mar-2006,100.00,110.00,176.90,110.00,154.30,157.20,162.06,16393571,26567.12,-,951119,5.80
SUNILHITEC,EQ,03-Mar-2006,157.20,156.90,157.40,136.60,142.70,143.20,146.24,5850367,8555.47,-,446219,7.63
SUNILHITEC,EQ,06-Mar-2006,143.20,145.30,148.00,139.05,141.70,142.75,143.90,2102641,3025.63,-,279440,13.29
SUNILHITEC,EQ,07-Mar-2006,142.75,143.00,143.00,136.00,136.00,137.10,138.71,721822,1001.23,-,167066,23.15
SUNILHITEC,EQ,08-Mar-2006,137.10,137.70,157.40,134.00,143.10,144.10,147.72,4150575,6131.04,-,397484,9.58
SUNILHITEC,EQ,09-Mar-2006,144.10,135.00,146.90,135.00,140.60,140.75,142.81,901826,1287.89,-,121461,13.47
SUNILHITEC,EQ,10-Mar-2006,140.75,142.50,145.50,136.60,137.45,138.10,141.88,473430,671.72,-,120825,25.52
SUNILHITEC,EQ,13-Mar-2006,138.10,139.75,142.90,135.00,135.00,136.15,139.17,267300,372.01,-,71336,26.69
SUNILHITEC,EQ,14-Mar-2006,136.15,137.30,138.15,132.55,133.00,133.70,136.04,188273,256.13,-,60581,32.18
SUNILHITEC,EQ,16-Mar-2006,133.70,134.70,135.70,128.25,129.00,129.10,132.22,202227,267.38,-,55992,27.69
SUNILHITEC,EQ,17-Mar-2006,129.10,130.80,130.80,119.55,121.25,120.80,124.42,188952,235.10,-,73252,38.77
SUNILHITEC,EQ,20-Mar-2006,120.80,122.90,145.00,117.00,142.70,144.20,137.52,1690549,2324.81,-,256244,15.16
SUNILHITEC,EQ,21-Mar-2006,144.20,146.70,150.90,134.80,136.70,136.50,144.22,2103561,3033.77,-,212941,10.12
SUNILHITEC,EQ,22-Mar-2006,136.50,136.00,141.80,133.25,133.25,133.85,137.18,757963,1039.75,-,68431,9.03
SUNILHITEC,EQ,23-Mar-2006,133.85,134.10,141.00,131.55,132.10,133.25,136.73,505551,691.22,-,71272,14.10
SUNILHITEC,EQ,24-Mar-2006,133.25,134.00,136.90,129.00,129.65,130.00,133.07,261854,348.44,-,54983,21.00
SUNILHITEC,EQ,27-Mar-2006,130.00,132.65,135.85,130.00,130.10,131.15,132.69,393853,522.60,-,59469,15.10
SUNILHITEC,EQ,28-Mar-2006,131.15,132.00,142.85,129.00,132.00,131.95,136.80,1303953,1783.76,-,106454,8.16
SUNILHITEC,EQ,29-Mar-2006,131.95,133.70,137.00,131.10,132.20,132.40,133.82,213334,285.48,-,45120,21.15
SUNILHITEC,EQ,30-Mar-2006,132.40,134.00,136.80,132.00,132.50,132.60,134.04,162426,217.71,-,31097,19.15
SUNILHITEC,EQ,31-Mar-2006,132.60,133.50,134.00,130.00,131.00,130.75,132.09,113407,149.80,-,33350,29.41
SUNILHITEC,EQ,03-Apr-2006,130.75,131.50,135.80,131.50,133.50,133.35,133.74,150229,200.92,-,32072,21.35
SUNILHITEC,EQ,04-Apr-2006,133.35,133.00,134.10,131.05,131.50,131.50,132.43,86219,114.18,-,27250,31.61
SUNILHITEC,EQ,05-Apr-2006,131.50,132.10,139.40,131.55,134.05,134.45,136.12,313188,426.32,-,48442,15.47
SUNILHITEC,EQ,07-Apr-2006,134.45,134.10,136.00,127.00,128.10,128.25,132.03,142480,188.12,-,57855,40.61
SUNILHITEC,EQ,10-Apr-2006,128.25,131.65,131.75,125.20,127.25,127.70,128.66,82092,105.62,-,32401,39.47
SUNILHITEC,EQ,12-Apr-2006,127.70,130.00,133.00,125.00,126.00,125.85,129.05,116932,150.90,-,28560,24.42
SUNILHITEC,EQ,13-Apr-2006,125.85,125.50,126.15,118.15,118.90,119.80,121.56,89885,109.26,-,31648,35.21
SUNILHITEC,EQ,17-Apr-2006,119.80,124.65,124.65,120.10,123.00,122.00,122.05,49410,60.31,-,17102,34.61
SUNILHITEC,EQ,18-Apr-2006,122.00,123.00,125.00,121.55,121.60,122.35,123.35,55087,67.95,-,19128,34.72
SUNILHITEC,EQ,19-Apr-2006,122.35,123.00,125.20,122.25,125.00,124.10,123.85,65946,81.68,-,28092,42.60
SUNILHITEC,EQ,20-Apr-2006,124.10,124.00,130.00,124.00,127.70,126.95,127.83,125757,160.75,-,32951,26.20
SUNILHITEC,EQ,21-Apr-2006,126.95,128.00,128.65,121.50,121.50,124.10,125.61,43792,55.01,-,14446,32.99
SUNILHITEC,EQ,24-Apr-2006,124.10,125.00,143.45,123.55,137.20,139.80,137.30,786134,1079.35,-,158472,20.16
SUNILHITEC,EQ,25-Apr-2006,139.80,140.00,147.90,136.00,136.75,136.85,142.42,663133,944.46,-,126230,19.04
SUNILHITEC,EQ,26-Apr-2006,136.85,138.00,154.60,137.20,144.95,144.35,147.94,1539592,2277.60,-,193910,12.59
SUNILHITEC,EQ,27-Apr-2006,144.35,146.70,149.30,138.00,139.60,139.50,144.41,309247,446.57,-,93505,30.24
SUNILHITEC,EQ,28-Apr-2006,139.50,126.10,141.50,126.00,139.70,139.30,135.95,252653,343.49,-,57606,22.80
SUNILHITEC,EQ,29-Apr-2006,139.30,140.00,145.00,140.00,144.00,143.20,143.49,84059,120.61,-,34796,41.39
SUNILHITEC,EQ,02-May-2006,143.20,142.40,146.70,140.15,142.85,141.25,143.83,102087,146.83,-,39099,38.30
SUNILHITEC,EQ,03-May-2006,141.25,143.50,146.10,137.10,138.10,138.30,139.60,91624,127.91,-,35824,39.10
SUNILHITEC,EQ,04-May-2006,138.30,138.00,139.70,132.25,135.00,134.45,136.75,53741,73.49,-,25481,47.41
SUNILHITEC,EQ,05-May-2006,134.45,136.00,139.00,134.50,135.40,135.85,136.34,77177,105.23,-,37191,48.19
SUNILHITEC,EQ,08-May-2006,135.85,138.85,145.30,136.00,138.50,138.95,141.69,341141,483.37,-,81371,23.85
SUNILHITEC,EQ,09-May-2006,138.95,141.00,143.35,138.55,140.00,140.00,140.66,104864,147.50,-,44869,42.79
SUNILHITEC,EQ,10-May-2006,140.00,140.00,167.90,140.00,162.20,163.45,156.24,1729798,2702.68,-,334831,19.36
SUNILHITEC,EQ,11-May-2006,163.45,163.00,165.05,145.25,150.00,148.55,156.08,921638,1438.49,-,240241,26.07
SUNILHITEC,EQ,12-May-2006,148.55,149.35,162.70,143.25,151.25,152.25,156.84,1456517,2284.40,-,179873,12.35
SUNILHITEC,EQ,15-May-2006,152.25,151.10,156.50,142.05,144.00,144.10,150.96,384706,580.76,-,109117,28.36
SUNILHITEC,EQ,16-May-2006,144.10,145.80,146.60,132.50,142.85,140.70,139.78,247477,345.93,-,67452,27.26
SUNILHITEC,EQ,17-May-2006,140.70,140.70,152.00,140.70,149.40,149.60,148.09,286328,424.01,-,62867,21.96
SUNILHITEC,EQ,18-May-2006,149.60,122.60,147.00,122.60,135.00,136.60,139.89,168739,236.06,-,66169,39.21
SUNILHITEC,EQ,19-May-2006,136.60,139.90,142.15,118.65,126.75,125.05,131.38,133088,174.85,-,47122,35.41
SUNILHITEC,EQ,22-May-2006,125.05,128.60,128.80,100.05,112.65,111.65,115.75,90934,105.25,-,37385,41.11
SUNILHITEC,EQ,23-May-2006,111.65,112.00,130.00,103.30,123.45,123.60,117.07,105075,123.01,-,24499,23.32
SUNILHITEC,EQ,24-May-2006,123.60,124.85,129.00,120.00,121.05,121.75,124.46,99273,123.56,-,22334,22.50
SUNILHITEC,EQ,25-May-2006,121.75,119.00,129.80,115.50,127.10,126.10,122.21,67109,82.01,-,25249,37.62
SUNILHITEC,EQ,26-May-2006,126.10,131.00,134.00,123.50,125.00,125.75,128.61,88065,113.26,-,19141,21.74
SUNILHITEC,EQ,29-May-2006,125.75,125.00,133.30,125.00,128.55,128.70,129.76,59414,77.10,-,15501,26.09
SUNILHITEC,EQ,30-May-2006,128.70,127.50,131.70,126.50,127.10,127.40,129.44,83253,107.77,-,20940,25.15
SUNILHITEC,EQ,31-May-2006,127.40,125.00,126.00,119.00,120.50,120.95,121.86,61615,75.08,-,23227,37.70
SUNILHITEC,EQ,01-Jun-2006,120.95,126.35,128.00,120.00,120.00,120.85,123.64,64271,79.46,-,17673,27.50
SUNILHITEC,EQ,02-Jun-2006,120.85,124.00,124.00,111.10,113.25,113.60,114.77,56246,64.55,-,19019,33.81
SUNILHITEC,EQ,05-Jun-2006,113.60,115.00,117.00,110.00,112.00,111.60,113.87,32733,37.27,-,6958,21.26
SUNILHITEC,EQ,06-Jun-2006,111.60,106.00,111.00,104.45,104.90,105.20,107.07,34593,37.04,-,12666,36.61
SUNILHITEC,EQ,07-Jun-2006,105.20,102.50,108.00,91.25,93.05,92.50,99.10,45993,45.58,-,15814,34.38
SUNILHITEC,EQ,08-Jun-2006,92.50,88.10,91.50,75.20,80.60,81.90,81.51,76246,62.15,-,20259,26.57
SUNILHITEC,EQ,09-Jun-2006,81.90,82.90,95.10,82.90,94.35,93.50,89.93,60902,54.77,-,19389,31.84
SUNILHITEC,EQ,12-Jun-2006,93.50,90.00,103.00,86.15,99.00,98.85,96.19,75214,72.35,-,21724,28.88
SUNILHITEC,EQ,13-Jun-2006,98.85,89.00,93.90,85.00,86.00,86.10,88.52,38481,34.06,-,15588,40.51
SUNILHITEC,EQ,14-Jun-2006,86.10,92.95,94.80,82.50,83.80,84.15,88.46,46993,41.57,-,14233,30.29
SUNILHITEC,EQ,15-Jun-2006,84.15,85.00,95.00,85.00,89.40,89.60,89.30,29886,26.69,-,12316,41.21
SUNILHITEC,EQ,16-Jun-2006,89.60,94.00,103.00,91.55,102.05,100.95,98.38,102463,100.80,-,36337,35.46
SUNILHITEC,EQ,19-Jun-2006,100.95,101.25,121.15,80.80,108.35,111.10,106.65,204679,218.29,-,22826,11.15
SUNILHITEC,EQ,20-Jun-2006,111.10,105.00,114.90,105.00,109.25,110.10,111.39,86349,96.19,-,18199,21.08
SUNILHITEC,EQ,21-Jun-2006,110.10,108.25,126.00,106.00,118.10,118.90,119.76,200722,240.38,-,32393,16.14
SUNILHITEC,EQ,22-Jun-2006,118.90,121.40,132.00,115.00,115.80,116.50,121.95,134053,163.48,-,57995,43.26
SUNILHITEC,EQ,23-Jun-2006,116.50,105.10,115.00,105.05,113.15,113.65,113.10,63274,71.56,-,18367,29.03
SUNILHITEC,EQ,25-Jun-2006,113.65,117.95,118.00,115.10,117.00,115.85,116.17,8131,9.45,-,4317,53.09
SUNILHITEC,EQ,26-Jun-2006,115.85,117.00,117.00,104.75,105.00,106.10,110.46,49031,54.16,-,19768,40.32
SUNILHITEC,EQ,27-Jun-2006,106.10,105.00,109.00,101.00,104.90,104.80,104.88,38438,40.31,-,7721,20.09
SUNILHITEC,EQ,28-Jun-2006,104.80,103.00,107.00,98.00,98.55,98.75,100.35,37753,37.89,-,20995,55.61
SUNILHITEC,EQ,29-Jun-2006,98.75,103.00,104.60,98.80,99.50,99.55,101.68,33596,34.16,-,12431,37.00
SUNILHITEC,EQ,30-Jun-2006,99.55,102.00,107.00,102.00,103.00,102.90,103.79,48056,49.88,-,18313,38.11
SUNILHITEC,EQ,03-Jul-2006,102.90,104.00,104.00,101.00,103.00,102.15,102.52,20075,20.58,-,7072,35.23
SUNILHITEC,EQ,04-Jul-2006,102.15,103.70,103.90,100.00,103.00,102.10,101.72,16336,16.62,-,3975,24.33
