Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNTECK,EQ,13-Nov-2009,517.95,522.90,534.80,512.70,512.70,516.35,521.64,154040,803.53,-,44941,29.17
SUNTECK,EQ,16-Nov-2009,516.35,517.00,540.95,517.00,530.00,529.85,531.43,195569,1039.31,-,66584,34.05
SUNTECK,EQ,17-Nov-2009,529.85,539.50,548.95,520.00,520.10,521.20,532.61,170797,909.69,-,38206,22.37
SUNTECK,EQ,18-Nov-2009,521.20,542.70,548.50,517.00,531.90,524.40,529.08,157505,833.33,-,50516,32.07
SUNTECK,EQ,19-Nov-2009,524.40,530.00,539.00,515.25,536.00,519.55,527.59,132339,698.20,-,50005,37.79
SUNTECK,EQ,20-Nov-2009,519.55,525.00,539.50,520.95,535.00,528.30,524.54,130865,686.45,-,38578,29.48
SUNTECK,EQ,23-Nov-2009,528.30,529.00,552.00,529.00,549.50,546.85,539.33,162291,875.28,-,28464,17.54
SUNTECK,EQ,24-Nov-2009,546.85,552.70,573.00,552.70,570.30,570.40,568.87,160475,912.90,-,46833,29.18
SUNTECK,EQ,25-Nov-2009,570.40,575.00,589.00,570.00,570.00,575.30,578.71,124229,718.93,-,32847,26.44
SUNTECK,EQ,26-Nov-2009,575.30,570.00,571.80,560.40,565.05,567.25,565.36,99203,560.85,-,29864,30.10
SUNTECK,EQ,27-Nov-2009,567.25,569.60,569.60,540.10,559.00,558.25,550.55,97958,539.31,-,37780,38.57
SUNTECK,EQ,30-Nov-2009,558.25,558.00,560.00,545.25,554.00,559.25,556.25,91834,510.82,-,20802,22.65
SUNTECK,EQ,01-Dec-2009,559.25,559.50,582.00,558.40,570.00,570.70,569.22,105257,599.15,-,23962,22.77
SUNTECK,EQ,02-Dec-2009,570.70,575.00,579.00,565.00,568.05,568.60,570.48,79803,455.26,-,29138,36.51
SUNTECK,EQ,03-Dec-2009,568.60,569.00,577.00,566.50,570.00,570.55,570.94,82374,470.30,-,21500,26.10
SUNTECK,EQ,04-Dec-2009,570.55,571.05,571.05,510.00,531.50,533.75,531.69,247031,1313.43,-,142651,57.75
SUNTECK,EQ,07-Dec-2009,533.75,534.00,542.90,529.00,530.00,529.90,534.28,189814,1014.13,-,132445,69.78
SUNTECK,EQ,08-Dec-2009,529.90,538.00,543.00,529.00,532.00,530.15,532.73,76369,406.84,-,36237,47.45
SUNTECK,EQ,09-Dec-2009,530.15,533.00,535.00,526.00,526.00,529.80,530.25,90917,482.09,-,65263,71.78
SUNTECK,EQ,10-Dec-2009,529.80,531.50,532.00,523.50,527.00,527.00,527.70,93010,490.81,-,51130,54.97
SUNTECK,EQ,11-Dec-2009,527.00,530.35,538.85,524.90,525.05,526.50,529.44,62352,330.12,-,17868,28.66
SUNTECK,EQ,14-Dec-2009,526.50,529.20,530.00,505.00,506.50,508.65,514.62,67042,345.01,-,15978,23.83
SUNTECK,EQ,15-Dec-2009,508.65,509.00,513.35,503.00,507.00,506.95,508.20,66158,336.21,-,16171,24.44
SUNTECK,EQ,16-Dec-2009,506.95,517.00,517.00,488.10,491.50,490.95,494.52,65425,323.54,-,18624,28.47
SUNTECK,EQ,17-Dec-2009,490.95,499.75,499.75,488.65,490.00,490.70,490.91,54536,267.72,-,16572,30.39
SUNTECK,EQ,18-Dec-2009,490.70,493.00,497.00,490.00,491.60,491.25,491.92,66211,325.70,-,10673,16.12
SUNTECK,EQ,21-Dec-2009,491.25,491.50,492.60,488.75,490.00,490.00,490.32,89286,437.79,-,32881,36.83
SUNTECK,EQ,22-Dec-2009,490.00,488.00,495.80,480.60,481.50,483.35,487.28,48184,234.79,-,21604,44.84
SUNTECK,EQ,23-Dec-2009,483.35,490.00,509.50,484.50,500.25,501.95,500.88,53360,267.27,-,11443,21.44
SUNTECK,EQ,24-Dec-2009,501.95,504.55,534.35,502.05,515.00,519.75,517.90,54480,282.15,-,17322,31.80
SUNTECK,EQ,29-Dec-2009,519.75,515.25,552.00,506.05,545.00,540.90,530.28,71633,379.86,-,26198,36.57
SUNTECK,EQ,30-Dec-2009,540.90,545.00,551.00,528.50,542.20,540.70,537.46,90114,484.33,-,45033,49.97
SUNTECK,EQ,31-Dec-2009,540.70,547.50,644.00,530.00,598.00,583.65,558.57,119585,667.96,-,56433,47.19
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNTECK,EQ,04-Jan-2010,583.65,584.00,613.85,535.30,543.95,549.00,577.02,50233,289.86,-,9236,18.39
SUNTECK,EQ,05-Jan-2010,549.00,551.00,560.00,515.00,520.00,517.35,542.71,53901,292.53,-,15603,28.95
SUNTECK,EQ,06-Jan-2010,517.35,523.95,536.00,509.00,519.60,520.45,523.05,53899,281.92,-,14087,26.14
SUNTECK,EQ,07-Jan-2010,520.45,522.00,534.00,518.55,522.00,523.20,523.81,48939,256.35,-,16818,34.37
SUNTECK,EQ,08-Jan-2010,523.20,529.90,542.75,518.35,539.80,527.80,526.05,48880,257.13,-,14030,28.70
SUNTECK,EQ,11-Jan-2010,527.80,531.55,558.00,521.55,528.00,528.10,543.01,55064,299.00,-,16127,29.29
SUNTECK,EQ,12-Jan-2010,528.10,530.00,534.80,516.40,519.00,519.95,527.81,45825,241.87,-,10033,21.89
SUNTECK,EQ,13-Jan-2010,519.95,528.00,528.00,500.10,511.00,517.60,510.96,54885,280.44,-,21509,39.19
SUNTECK,EQ,14-Jan-2010,517.60,529.80,529.80,510.00,510.00,511.20,514.02,59679,306.76,-,14835,24.86
SUNTECK,EQ,15-Jan-2010,511.20,515.00,525.00,510.05,511.00,512.45,514.30,47748,245.57,-,16941,35.48
SUNTECK,EQ,18-Jan-2010,512.45,514.00,543.40,512.00,540.00,535.00,524.51,61815,324.22,-,13577,21.96
SUNTECK,EQ,19-Jan-2010,535.00,542.00,556.00,524.70,527.00,525.90,544.90,82754,450.93,-,26004,31.42
SUNTECK,EQ,20-Jan-2010,525.90,539.00,546.80,525.00,525.00,529.70,531.27,55324,293.92,-,29539,53.39
SUNTECK,EQ,21-Jan-2010,529.70,528.00,532.90,508.00,508.00,510.30,520.70,60021,312.53,-,26781,44.62
SUNTECK,EQ,22-Jan-2010,510.30,510.00,518.00,500.45,508.35,511.05,509.00,57320,291.76,-,18653,32.54
SUNTECK,EQ,25-Jan-2010,511.05,511.00,543.00,509.00,525.05,530.50,521.24,52695,274.67,-,12087,22.94
