Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUPREMEIND,EQ,02-Jan-2006,274.10,274.10,277.90,273.50,275.50,275.50,274.32,406,1.11,-,330,81.28
SUPREMEIND,EQ,03-Jan-2006,275.50,278.00,295.05,277.00,288.65,285.90,286.37,6938,19.87,-,3514,50.65
SUPREMEIND,EQ,04-Jan-2006,285.90,291.90,293.40,276.35,285.00,280.15,281.11,7708,21.67,-,5379,69.78
SUPREMEIND,EQ,05-Jan-2006,280.15,281.00,289.00,280.00,289.00,285.15,284.30,3164,9.00,-,2870,90.71
SUPREMEIND,EQ,06-Jan-2006,285.15,282.55,290.00,282.00,283.00,284.35,286.11,4948,14.16,-,2554,51.62
SUPREMEIND,EQ,09-Jan-2006,284.35,305.00,305.00,283.10,286.50,286.50,285.95,3608,10.32,-,3134,86.86
SUPREMEIND,EQ,10-Jan-2006,286.50,282.05,285.00,282.00,285.00,285.00,284.30,882,2.51,-,797,90.36
SUPREMEIND,EQ,12-Jan-2006,285.00,290.00,313.00,290.00,302.90,304.55,304.80,38215,116.48,-,22606,59.15
SUPREMEIND,EQ,13-Jan-2006,304.55,308.00,313.90,305.00,305.05,307.05,309.83,16888,52.32,-,6556,38.82
SUPREMEIND,EQ,16-Jan-2006,307.05,307.00,312.00,304.20,307.05,307.35,309.40,4755,14.71,-,2734,57.50
SUPREMEIND,EQ,17-Jan-2006,307.35,307.15,309.00,298.25,301.00,301.30,304.48,4573,13.92,-,3279,71.70
SUPREMEIND,EQ,18-Jan-2006,301.30,304.00,317.15,304.00,310.05,310.75,311.12,14074,43.79,-,9654,68.59
SUPREMEIND,EQ,19-Jan-2006,310.75,315.60,322.50,311.05,320.00,320.20,319.37,13769,43.97,-,9237,67.09
SUPREMEIND,EQ,20-Jan-2006,320.20,327.00,327.00,320.00,320.00,320.45,320.80,11108,35.63,-,9991,89.94
SUPREMEIND,EQ,23-Jan-2006,320.45,325.00,328.80,322.00,323.00,323.20,324.04,4403,14.27,-,2675,60.75
SUPREMEIND,EQ,24-Jan-2006,323.20,328.30,343.00,324.00,337.00,339.05,335.32,23255,77.98,-,12854,55.27
SUPREMEIND,EQ,25-Jan-2006,339.05,344.00,344.00,329.00,335.00,334.80,335.02,6014,20.15,-,4243,70.55
SUPREMEIND,EQ,27-Jan-2006,334.80,335.00,344.00,335.00,342.00,336.80,337.46,16103,54.34,-,11054,68.65
SUPREMEIND,EQ,30-Jan-2006,336.80,338.00,340.00,335.25,339.00,339.80,337.18,7937,26.76,-,6004,75.65
SUPREMEIND,EQ,31-Jan-2006,339.80,335.00,338.00,335.00,335.00,335.00,335.32,5662,18.99,-,5428,95.87
SUPREMEIND,EQ,01-Feb-2006,335.00,335.05,337.00,314.50,324.10,317.60,331.83,11936,39.61,-,10016,83.91
SUPREMEIND,EQ,02-Feb-2006,317.60,331.00,344.50,331.00,341.00,339.90,337.99,15525,52.47,-,11549,74.39
SUPREMEIND,EQ,03-Feb-2006,339.90,335.25,342.50,335.25,340.00,338.85,337.10,11431,38.53,-,10168,88.95
SUPREMEIND,EQ,06-Feb-2006,338.85,336.00,348.00,336.00,345.00,342.00,340.66,6140,20.92,-,4996,81.37
SUPREMEIND,EQ,07-Feb-2006,342.00,339.40,359.90,338.00,351.00,354.15,350.36,27731,97.16,-,22566,81.37
SUPREMEIND,EQ,08-Feb-2006,354.15,345.05,357.40,345.05,356.00,355.15,351.85,9137,32.15,-,5789,63.36
SUPREMEIND,EQ,10-Feb-2006,355.15,363.40,379.00,363.40,371.05,371.05,370.86,17832,66.13,-,11968,67.12
SUPREMEIND,EQ,13-Feb-2006,371.05,370.00,370.00,356.65,357.00,357.30,360.64,12242,44.15,-,10254,83.76
SUPREMEIND,EQ,14-Feb-2006,357.30,364.50,364.50,355.15,355.15,355.35,358.08,3251,11.64,-,2319,71.33
SUPREMEIND,EQ,15-Feb-2006,355.35,356.05,369.00,356.05,362.00,365.60,361.44,7161,25.88,-,5150,71.92
SUPREMEIND,EQ,16-Feb-2006,365.60,367.00,390.00,367.00,377.00,381.30,379.81,29875,113.47,-,20087,67.24
SUPREMEIND,EQ,17-Feb-2006,381.30,382.00,393.00,372.50,375.00,374.65,378.09,6717,25.40,-,3509,52.24
SUPREMEIND,EQ,20-Feb-2006,374.65,372.50,374.00,366.90,370.00,371.25,368.77,13547,49.96,-,12146,89.66
SUPREMEIND,EQ,21-Feb-2006,371.25,374.00,378.90,367.00,370.00,368.75,375.44,6251,23.47,-,4745,75.91
SUPREMEIND,EQ,22-Feb-2006,368.75,372.30,372.50,362.30,362.35,362.85,366.06,6071,22.22,-,5451,89.79
SUPREMEIND,EQ,23-Feb-2006,362.85,361.00,365.00,360.05,361.00,361.20,361.97,2481,8.98,-,1637,65.98
SUPREMEIND,EQ,24-Feb-2006,361.20,360.00,364.00,355.00,360.70,359.80,358.77,6168,22.13,-,4324,70.10
SUPREMEIND,EQ,27-Feb-2006,359.80,355.00,360.00,355.00,359.95,356.00,357.32,1853,6.62,-,1511,81.54
SUPREMEIND,EQ,28-Feb-2006,356.00,361.90,371.95,354.15,365.00,366.40,365.25,7443,27.19,-,4965,66.71
SUPREMEIND,EQ,01-Mar-2006,366.40,369.00,392.00,362.00,388.00,388.90,385.35,14469,55.76,-,9859,68.14
SUPREMEIND,EQ,02-Mar-2006,388.90,395.00,406.70,390.00,392.00,391.75,398.25,34155,136.02,-,22424,65.65
SUPREMEIND,EQ,03-Mar-2006,391.75,395.00,425.50,395.00,416.00,419.10,416.14,83496,347.46,-,35787,42.86
SUPREMEIND,EQ,06-Mar-2006,419.10,420.00,442.45,420.00,429.70,426.55,429.75,29098,125.05,-,10119,34.78
SUPREMEIND,EQ,07-Mar-2006,426.55,427.00,443.15,422.00,426.00,425.85,431.58,15423,66.56,-,8592,55.71
SUPREMEIND,EQ,08-Mar-2006,425.85,417.20,428.00,405.15,406.50,410.10,414.78,8856,36.73,-,5307,59.93
SUPREMEIND,EQ,09-Mar-2006,410.10,405.00,412.00,405.00,410.85,409.50,408.09,4120,16.81,-,2468,59.90
SUPREMEIND,EQ,10-Mar-2006,409.50,439.90,439.90,412.15,417.00,413.35,420.49,6727,28.29,-,4769,70.89
SUPREMEIND,EQ,13-Mar-2006,413.35,425.00,425.00,408.00,408.00,409.60,414.07,4467,18.50,-,3045,68.17
SUPREMEIND,EQ,14-Mar-2006,409.60,405.00,414.80,401.05,407.50,407.05,408.62,2724,11.13,-,1936,71.07
