Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SWANENERGY,EQ,29-May-2012,143.85,144.95,149.60,142.00,142.00,143.55,144.61,323954,468.48,2423,54403,16.79
SWANENERGY,EQ,30-May-2012,143.55,142.90,144.45,141.40,141.90,141.95,142.91,192986,275.80,1747,18194,9.43
SWANENERGY,EQ,31-May-2012,141.95,140.00,141.70,137.05,140.50,140.75,141.05,164760,232.40,2104,11932,7.24
SWANENERGY,EQ,01-Jun-2012,140.75,141.30,143.75,140.15,142.50,142.30,142.06,146963,208.78,661,12828,8.73
SWANENERGY,EQ,04-Jun-2012,142.30,141.05,143.00,132.15,135.00,136.20,139.83,158599,221.77,869,24502,15.45
SWANENERGY,EQ,05-Jun-2012,136.20,136.80,141.75,135.10,136.50,135.80,137.61,128369,176.64,503,12078,9.41
SWANENERGY,EQ,06-Jun-2012,135.80,137.00,140.20,131.80,134.10,134.40,136.13,182249,248.09,1412,37732,20.70
SWANENERGY,EQ,07-Jun-2012,134.40,136.85,139.80,134.00,134.05,134.25,136.22,135597,184.71,1331,29962,22.10
SWANENERGY,EQ,08-Jun-2012,134.25,134.00,136.90,132.80,132.80,133.95,134.40,128261,172.38,1191,10397,8.11
SWANENERGY,EQ,11-Jun-2012,133.95,129.10,134.90,129.10,133.80,133.55,134.11,98926,132.67,650,6744,6.82
SWANENERGY,EQ,12-Jun-2012,133.55,129.10,134.40,129.10,132.50,132.05,133.33,129217,172.28,1029,28135,21.77
SWANENERGY,EQ,13-Jun-2012,132.05,134.70,143.95,132.00,133.95,133.40,135.88,151222,205.48,1515,21822,14.43
SWANENERGY,EQ,14-Jun-2012,133.40,132.15,133.65,129.10,130.75,131.00,131.53,106054,139.50,832,11297,10.65
SWANENERGY,EQ,15-Jun-2012,131.00,133.50,133.55,130.05,131.00,130.85,131.37,145242,190.80,925,54130,37.27
SWANENERGY,EQ,18-Jun-2012,130.85,128.30,133.40,128.30,129.20,129.55,130.98,103579,135.67,831,8330,8.04
SWANENERGY,EQ,19-Jun-2012,129.55,129.75,134.95,127.25,129.00,128.95,129.97,140925,183.15,1456,20931,14.85
SWANENERGY,EQ,20-Jun-2012,128.95,130.90,130.90,127.60,128.50,128.55,129.50,143557,185.90,1072,36870,25.68
SWANENERGY,EQ,21-Jun-2012,128.55,130.80,130.80,121.70,123.20,126.00,128.37,129574,166.33,880,30348,23.42
SWANENERGY,EQ,22-Jun-2012,126.00,127.90,129.85,126.00,128.80,128.30,128.05,249106,318.97,1227,137230,55.09
SWANENERGY,EQ,25-Jun-2012,128.30,129.10,130.50,127.40,129.45,129.50,128.93,113568,146.42,941,26061,22.95
SWANENERGY,EQ,26-Jun-2012,129.50,129.50,129.50,126.10,127.05,127.60,128.78,129016,166.15,982,33069,25.63
SWANENERGY,EQ,27-Jun-2012,127.60,128.95,132.70,128.15,132.00,130.95,129.01,179297,231.30,1163,84743,47.26
SWANENERGY,EQ,28-Jun-2012,130.95,129.10,136.80,129.10,134.50,133.10,132.25,169808,224.57,1795,43156,25.41
SWANENERGY,EQ,29-Jun-2012,133.10,132.85,140.50,131.25,139.00,140.05,136.18,214355,291.90,1451,85689,39.98
SWANENERGY,EQ,02-Jul-2012,140.05,141.10,141.90,134.20,140.50,140.10,139.28,140247,195.34,1137,28596,20.39
SWANENERGY,EQ,03-Jul-2012,140.10,142.50,142.90,137.35,141.10,141.25,139.49,124521,173.69,1355,21675,17.41
SWANENERGY,EQ,04-Jul-2012,141.25,139.60,142.40,137.15,139.50,139.50,140.40,102213,143.50,971,9953,9.74
SWANENERGY,EQ,05-Jul-2012,139.50,140.00,141.90,137.05,141.50,140.25,138.97,125486,174.39,1184,25885,20.63
SWANENERGY,EQ,06-Jul-2012,140.25,142.80,143.95,138.00,141.00,141.85,141.69,161926,229.44,1469,41102,25.38
SWANENERGY,EQ,09-Jul-2012,141.85,141.50,142.10,139.00,140.10,139.20,140.73,99680,140.28,955,7902,7.93
SWANENERGY,EQ,10-Jul-2012,139.20,139.50,142.70,138.00,139.25,139.80,140.62,104731,147.27,944,27583,26.34
SWANENERGY,EQ,11-Jul-2012,139.80,140.00,141.50,138.15,139.75,139.60,139.56,108418,151.31,784,28455,26.25
SWANENERGY,EQ,12-Jul-2012,139.60,137.50,139.90,137.00,139.90,138.65,138.64,99314,137.69,904,24091,24.26
SWANENERGY,EQ,13-Jul-2012,138.65,140.00,140.95,134.05,135.95,135.65,138.22,106651,147.41,955,15633,14.66
SWANENERGY,EQ,16-Jul-2012,135.65,140.00,140.00,133.10,138.90,138.50,136.99,177935,243.75,1167,76928,43.23
SWANENERGY,EQ,17-Jul-2012,138.50,140.50,140.70,136.00,139.00,137.85,138.49,110028,152.37,902,24254,22.04
SWANENERGY,EQ,18-Jul-2012,137.85,136.75,140.00,136.75,138.00,138.40,139.00,139745,194.25,1610,44142,31.59
SWANENERGY,EQ,19-Jul-2012,138.40,139.00,139.70,136.10,136.60,137.30,139.04,74122,103.06,971,16402,22.13
SWANENERGY,EQ,20-Jul-2012,137.30,138.00,142.90,136.20,142.00,141.35,140.28,152044,213.29,2411,52543,34.56
SWANENERGY,EQ,23-Jul-2012,141.35,141.00,144.45,137.25,144.45,143.55,141.06,160934,227.01,2307,73150,45.45
SWANENERGY,EQ,24-Jul-2012,143.55,142.50,143.55,140.10,140.10,141.50,141.36,75007,106.03,1177,5699,7.60
SWANENERGY,EQ,25-Jul-2012,141.50,140.00,142.70,139.50,141.95,141.30,140.81,88179,124.17,1135,21365,24.23
SWANENERGY,EQ,26-Jul-2012,141.30,140.00,142.20,133.20,134.65,136.65,138.86,121943,169.33,4528,18060,14.81
SWANENERGY,EQ,27-Jul-2012,136.65,138.50,139.50,134.50,137.15,138.35,138.31,108706,150.35,1476,25088,23.08
SWANENERGY,EQ,30-Jul-2012,138.35,138.35,139.40,136.00,136.10,136.55,137.60,103455,142.36,2343,14644,14.15
SWANENERGY,EQ,31-Jul-2012,136.55,137.00,139.40,134.60,135.05,135.50,136.14,116470,158.57,1102,26662,22.89
SWANENERGY,EQ,01-Aug-2012,135.50,136.70,139.10,127.00,136.00,138.05,136.28,120565,164.30,1403,17174,14.24
SWANENERGY,EQ,02-Aug-2012,138.05,139.70,139.70,135.00,136.75,137.45,137.11,130979,179.59,1907,26711,20.39
SWANENERGY,EQ,03-Aug-2012,137.45,138.25,138.50,134.15,136.00,136.45,136.61,110450,150.89,2144,12410,11.24
SWANENERGY,EQ,06-Aug-2012,136.45,135.50,139.50,135.00,136.75,137.10,136.70,110465,151.01,1203,11428,10.35
SWANENERGY,EQ,07-Aug-2012,137.10,137.00,138.70,134.50,137.60,136.90,136.21,138215,188.27,2620,35626,25.78
SWANENERGY,EQ,08-Aug-2012,136.90,136.10,138.90,136.00,137.80,137.35,137.02,118259,162.04,2409,25041,21.17
SWANENERGY,EQ,09-Aug-2012,137.35,137.85,138.20,135.80,138.10,137.20,137.18,137682,188.87,1925,24791,18.01
SWANENERGY,EQ,10-Aug-2012,137.20,137.90,138.90,136.30,137.30,137.10,137.85,110932,152.92,2268,9235,8.32
SWANENERGY,EQ,13-Aug-2012,137.10,136.05,138.85,134.65,134.65,136.35,136.32,107008,145.87,1371,20898,19.53
SWANENERGY,EQ,14-Aug-2012,136.35,137.25,137.85,134.50,136.10,136.20,136.02,118284,160.89,945,13479,11.40
SWANENERGY,EQ,16-Aug-2012,136.20,135.95,136.50,133.20,133.30,134.50,135.12,119324,161.23,680,38003,31.85
SWANENERGY,EQ,17-Aug-2012,134.50,132.60,135.15,132.00,132.00,132.15,133.99,136009,182.24,1757,28838,21.20
SWANENERGY,EQ,21-Aug-2012,132.15,133.95,134.85,130.00,132.85,133.35,132.20,134115,177.30,2414,33359,24.87
SWANENERGY,EQ,22-Aug-2012,133.35,133.50,134.15,130.35,131.60,131.70,132.07,120104,158.62,1398,14751,12.28
SWANENERGY,EQ,23-Aug-2012,131.70,132.95,133.80,130.10,132.80,132.70,131.52,130336,171.41,1584,22861,17.54
SWANENERGY,EQ,24-Aug-2012,132.70,135.00,135.00,130.50,132.80,131.80,131.96,155174,204.77,2125,44027,28.37
SWANENERGY,EQ,27-Aug-2012,131.80,135.00,135.90,130.50,131.50,131.90,132.62,136865,181.51,1785,32147,23.49
SWANENERGY,EQ,28-Aug-2012,131.90,134.00,134.00,128.25,128.60,129.55,131.45,111065,146.00,2766,8517,7.67
SWANENERGY,EQ,29-Aug-2012,129.55,130.95,131.50,127.90,130.00,128.55,130.66,117559,153.60,2013,18344,15.60
SWANENERGY,EQ,30-Aug-2012,128.55,126.00,131.25,126.00,128.50,130.00,129.38,126773,164.02,1994,22038,17.38
SWANENERGY,EQ,31-Aug-2012,130.00,131.00,132.10,127.55,131.50,131.70,130.13,154477,201.02,2104,35842,23.20
SWANENERGY,EQ,03-Sep-2012,131.70,131.50,133.00,129.40,129.50,130.05,130.52,117959,153.96,1462,20977,17.78
SWANENERGY,EQ,04-Sep-2012,130.05,131.70,131.95,128.20,129.00,130.20,129.85,128115,166.35,1252,30357,23.70
SWANENERGY,EQ,05-Sep-2012,130.20,131.55,132.90,128.20,130.50,130.50,129.78,124604,161.72,1328,20916,16.79
SWANENERGY,EQ,06-Sep-2012,130.50,132.80,132.80,128.65,131.90,131.55,130.42,134801,175.80,2722,25343,18.80
SWANENERGY,EQ,07-Sep-2012,131.55,133.85,137.80,129.60,137.80,136.65,133.04,154233,205.19,2900,39636,25.70
SWANENERGY,EQ,08-Sep-2012,136.65,139.00,143.60,138.10,142.90,142.30,141.99,54099,76.82,490,10277,19.00
SWANENERGY,EQ,10-Sep-2012,142.30,139.50,145.00,139.50,140.00,140.65,140.44,123638,173.63,1181,28878,23.36
SWANENERGY,EQ,11-Sep-2012,140.65,142.00,143.80,139.20,139.75,140.25,140.49,156938,220.48,1850,45969,29.29
SWANENERGY,EQ,12-Sep-2012,140.25,139.50,142.00,139.10,140.20,140.30,140.46,148786,208.98,2460,46318,31.13
SWANENERGY,EQ,13-Sep-2012,140.30,140.25,142.50,138.30,140.40,139.85,139.96,110787,155.06,1625,15546,14.03
SWANENERGY,EQ,14-Sep-2012,139.85,141.00,142.90,138.25,138.25,139.20,139.95,107303,150.17,1230,16729,15.59
SWANENERGY,EQ,17-Sep-2012,139.20,141.25,141.80,137.40,137.75,138.55,139.32,118492,165.08,942,21530,18.17
SWANENERGY,EQ,18-Sep-2012,138.55,139.90,141.40,137.00,137.40,137.75,139.94,162300,227.13,2190,39785,24.51
SWANENERGY,EQ,20-Sep-2012,137.75,139.05,140.95,129.95,133.50,133.60,136.60,147975,202.14,2816,38559,26.06
SWANENERGY,EQ,21-Sep-2012,133.60,136.90,138.45,133.65,138.30,137.60,136.26,147404,200.85,1896,35412,24.02
SWANENERGY,EQ,24-Sep-2012,137.60,137.00,139.70,134.00,137.45,137.85,137.81,118494,163.30,1218,18615,15.71
SWANENERGY,EQ,25-Sep-2012,137.85,138.20,139.80,136.15,139.50,138.65,138.06,153401,211.79,2856,38713,25.24
SWANENERGY,EQ,26-Sep-2012,138.65,138.15,139.70,136.20,138.55,138.20,137.64,156308,215.15,2053,38892,24.88
SWANENERGY,EQ,27-Sep-2012,138.20,138.20,138.90,135.55,138.00,137.30,137.67,153558,211.40,1947,38365,24.98
SWANENERGY,EQ,28-Sep-2012,137.30,138.00,139.50,135.00,136.50,135.95,136.76,150773,206.20,2014,37907,25.14
SWANENERGY,EQ,01-Oct-2012,135.95,137.85,139.45,133.05,133.05,134.30,136.43,102188,139.42,1812,3401,3.33
SWANENERGY,EQ,03-Oct-2012,134.30,135.70,135.70,132.00,133.30,133.65,133.63,188742,252.22,3137,58114,30.79
