Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TALWALKARS,EQ,10-May-2010,128.00,147.95,168.90,132.00,168.30,163.15,156.40,26029779,40710.01,-,2697145,10.36
TALWALKARS,EQ,11-May-2010,163.15,166.00,195.80,165.00,195.80,192.15,181.93,21704725,39487.12,-,818447,3.77
TALWALKARS,EQ,12-May-2010,192.15,198.00,203.20,179.35,185.80,183.15,189.13,19418744,36726.30,-,959092,4.94
TALWALKARS,EQ,13-May-2010,183.15,186.50,187.50,176.30,183.00,181.10,180.82,6358084,11496.44,-,423667,6.66
TALWALKARS,EQ,14-May-2010,181.10,180.00,182.40,170.60,171.10,173.95,178.26,4026696,7178.14,-,271929,6.75
TALWALKARS,EQ,17-May-2010,173.95,167.05,182.40,161.20,181.70,179.60,172.42,4673297,8057.87,-,499551,10.69
TALWALKARS,EQ,18-May-2010,179.60,181.00,187.40,174.05,174.70,176.20,181.09,2856688,5173.26,-,388969,13.62
TALWALKARS,EQ,19-May-2010,176.20,172.20,177.80,168.30,173.60,171.50,172.80,1699903,2937.35,-,280213,16.48
TALWALKARS,EQ,20-May-2010,171.50,173.00,178.50,172.30,176.35,175.95,175.24,859622,1506.43,-,150555,17.51
TALWALKARS,EQ,21-May-2010,175.95,173.00,175.20,166.35,173.00,173.70,171.92,615700,1058.49,-,98869,16.06
TALWALKARS,EQ,24-May-2010,173.70,175.25,177.85,168.10,169.80,170.45,172.70,462817,799.31,-,150386,32.49
TALWALKARS,EQ,25-May-2010,170.45,169.00,171.00,163.50,164.50,165.95,166.85,414579,691.71,-,137895,33.26
TALWALKARS,EQ,26-May-2010,165.95,168.00,168.80,162.60,162.60,164.40,165.76,219209,363.36,-,42584,19.43
TALWALKARS,EQ,27-May-2010,164.40,165.00,172.75,163.00,169.00,167.95,169.41,518444,878.30,-,65504,12.63
TALWALKARS,EQ,28-May-2010,167.95,170.50,177.40,170.50,177.40,175.10,173.86,675171,1173.87,-,141536,20.96
TALWALKARS,EQ,31-May-2010,175.10,177.00,185.45,174.00,182.70,182.95,181.92,1206710,2195.28,-,236563,19.60
TALWALKARS,EQ,01-Jun-2010,182.95,181.35,182.90,171.10,175.50,176.05,176.44,368047,649.38,-,105287,28.61
TALWALKARS,EQ,02-Jun-2010,176.05,174.50,178.10,173.50,176.60,176.90,176.07,187867,330.78,-,29721,15.82
TALWALKARS,EQ,03-Jun-2010,176.90,178.20,181.45,175.00,175.40,175.95,178.50,234421,418.45,-,29833,12.73
TALWALKARS,EQ,04-Jun-2010,175.95,176.25,177.60,171.50,171.95,173.20,174.85,132489,231.65,-,31436,23.73
TALWALKARS,EQ,07-Jun-2010,173.20,169.90,171.30,166.00,167.00,167.75,168.88,125436,211.83,-,24116,19.23
TALWALKARS,EQ,08-Jun-2010,167.75,168.50,172.50,162.35,163.10,163.50,167.69,166658,279.47,-,52420,31.45
TALWALKARS,EQ,09-Jun-2010,163.50,164.90,168.00,163.90,164.75,165.40,165.85,165010,273.67,-,59145,35.84
TALWALKARS,EQ,10-Jun-2010,165.40,166.10,169.85,162.35,169.60,168.85,167.74,101470,170.20,-,45678,45.02
TALWALKARS,EQ,11-Jun-2010,168.85,169.90,180.80,166.00,174.60,176.50,174.86,298704,522.30,-,70328,23.54
TALWALKARS,EQ,14-Jun-2010,176.50,177.15,184.50,176.05,180.25,180.70,180.40,304161,548.72,-,99450,32.70
TALWALKARS,EQ,15-Jun-2010,180.70,179.20,184.50,177.10,178.00,178.90,180.80,155723,281.55,-,38575,24.77
TALWALKARS,EQ,16-Jun-2010,178.90,177.00,184.45,177.00,179.95,179.50,181.64,233718,424.53,-,79748,34.12
TALWALKARS,EQ,17-Jun-2010,179.50,179.30,196.50,179.20,183.00,183.50,189.57,1517444,2876.67,-,233091,15.36
TALWALKARS,EQ,18-Jun-2010,183.50,184.60,187.35,177.10,177.55,178.00,182.39,337532,615.61,-,101571,30.09
