Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ROMAN,EQ,09-Jul-2007,175.00,306.25,387.00,306.25,315.90,319.20,327.10,10467430,34238.77,-,1153830,11.02
ROMAN,EQ,10-Jul-2007,319.20,320.00,321.15,299.40,302.20,302.70,307.02,4373435,13427.35,-,268210,6.13
ROMAN,EQ,11-Jul-2007,302.70,295.10,331.95,293.25,318.00,317.15,321.32,6289069,20208.23,-,351525,5.59
ROMAN,EQ,12-Jul-2007,317.15,321.00,328.00,313.30,317.50,317.25,321.57,1419452,4564.58,-,148774,10.48
ROMAN,EQ,13-Jul-2007,317.25,325.00,325.00,304.00,307.00,306.60,314.68,877541,2761.44,-,167151,19.05
ROMAN,EQ,16-Jul-2007,306.60,307.20,318.50,302.15,313.50,312.95,311.24,920412,2864.72,-,114678,12.46
ROMAN,EQ,17-Jul-2007,312.95,301.55,326.35,301.55,305.55,307.50,317.35,1329153,4218.02,-,211309,15.90
ROMAN,EQ,18-Jul-2007,307.50,296.15,313.65,296.15,306.05,305.95,308.08,525495,1618.95,-,81304,15.47
ROMAN,EQ,19-Jul-2007,305.95,309.00,313.45,298.05,304.00,303.35,306.22,375319,1149.32,-,61937,16.50
ROMAN,EQ,20-Jul-2007,303.35,305.10,307.60,289.05,292.00,290.45,297.48,375216,1116.18,-,84384,22.49
ROMAN,EQ,23-Jul-2007,290.45,270.00,292.80,270.00,281.70,282.00,282.90,324219,917.23,-,63900,19.71
ROMAN,EQ,24-Jul-2007,282.00,282.15,302.45,282.10,284.00,283.95,291.30,636087,1852.95,-,78311,12.31
ROMAN,EQ,25-Jul-2007,283.95,284.00,285.00,271.00,275.00,273.20,277.27,230903,640.21,-,40040,17.34
ROMAN,EQ,26-Jul-2007,273.20,279.90,288.50,275.15,279.10,279.70,281.15,231420,650.64,-,35084,15.16
ROMAN,EQ,27-Jul-2007,279.70,272.65,277.75,250.55,252.00,253.40,261.95,250369,655.83,-,46301,18.49
ROMAN,EQ,30-Jul-2007,253.40,258.00,258.00,232.00,242.70,243.45,249.27,217905,543.17,-,44489,20.42
ROMAN,EQ,31-Jul-2007,243.45,247.45,259.00,245.00,253.00,253.50,252.82,401608,1015.36,-,51148,12.74
ROMAN,EQ,01-Aug-2007,253.50,278.00,278.00,216.60,221.70,220.30,235.99,249035,587.70,-,77632,31.17
ROMAN,EQ,02-Aug-2007,220.30,228.80,234.00,215.25,215.25,219.55,225.73,219468,495.41,-,25188,11.48
ROMAN,EQ,03-Aug-2007,219.55,220.00,229.95,218.00,220.50,221.40,223.70,167491,374.67,-,40062,23.92
ROMAN,EQ,06-Aug-2007,221.40,205.00,214.50,205.00,211.85,211.10,210.94,139732,294.75,-,33820,24.20
ROMAN,EQ,07-Aug-2007,211.10,217.00,243.90,217.00,226.50,230.10,234.77,987629,2318.68,-,74113,7.50
ROMAN,EQ,08-Aug-2007,230.10,232.70,239.60,227.10,229.95,229.15,232.56,355747,827.33,-,36712,10.32
ROMAN,EQ,09-Aug-2007,229.15,233.10,235.90,214.25,215.05,216.45,225.51,175549,395.88,-,30567,17.41
ROMAN,EQ,10-Aug-2007,216.45,206.20,214.30,200.00,214.00,211.35,207.54,183623,381.08,-,32766,17.84
ROMAN,EQ,13-Aug-2007,211.35,215.00,234.90,214.30,230.00,230.20,228.41,867552,1981.59,-,69835,8.05
ROMAN,EQ,14-Aug-2007,230.20,233.25,247.80,228.00,240.00,238.85,240.74,1559687,3754.71,-,89272,5.72
ROMAN,EQ,16-Aug-2007,238.85,215.00,233.80,213.05,222.00,222.00,226.55,287402,651.10,-,63453,22.08
ROMAN,EQ,17-Aug-2007,222.00,219.70,228.45,208.00,213.50,213.35,216.61,244300,529.17,-,40588,16.61
ROMAN,EQ,20-Aug-2007,213.35,224.00,226.00,214.05,215.50,216.10,219.58,99073,217.54,-,24165,24.39
ROMAN,EQ,21-Aug-2007,216.10,212.00,224.60,198.20,200.00,200.65,212.34,178385,378.78,-,35485,19.89
ROMAN,EQ,22-Aug-2007,200.65,204.95,209.30,193.00,197.00,198.25,199.39,145324,289.76,-,24110,16.59
ROMAN,EQ,23-Aug-2007,198.25,204.00,212.80,191.55,193.00,193.35,203.51,266229,541.80,-,34092,12.81
ROMAN,EQ,24-Aug-2007,193.35,198.00,204.00,195.00,196.95,196.15,197.97,108884,215.55,-,21315,19.58
ROMAN,EQ,27-Aug-2007,196.15,199.70,212.50,198.55,206.45,207.00,206.67,269433,556.82,-,46509,17.26
ROMAN,EQ,28-Aug-2007,207.00,205.25,228.00,205.25,223.30,224.80,218.75,571049,1249.17,-,64928,11.37
ROMAN,EQ,29-Aug-2007,224.80,215.00,233.60,215.00,230.60,231.65,228.17,812670,1854.27,-,92414,11.37
ROMAN,EQ,30-Aug-2007,231.65,234.00,238.00,224.10,227.00,226.95,231.17,160261,370.47,-,43247,26.99
ROMAN,EQ,31-Aug-2007,226.95,228.00,235.25,225.30,228.00,228.35,231.52,355287,822.57,-,51588,14.52
ROMAN,EQ,03-Sep-2007,228.35,229.25,235.50,228.10,230.50,230.60,231.71,141824,328.63,-,33266,23.46
ROMAN,EQ,04-Sep-2007,230.60,231.70,235.40,229.55,231.50,230.75,232.19,72397,168.10,-,15999,22.10
ROMAN,EQ,05-Sep-2007,230.75,234.00,237.00,225.10,227.35,228.30,233.30,265818,620.15,-,25369,9.54
ROMAN,EQ,06-Sep-2007,228.30,225.00,231.00,223.00,226.80,226.40,227.63,93028,211.76,-,30458,32.74
ROMAN,EQ,07-Sep-2007,226.40,228.35,231.90,220.00,221.50,222.45,227.97,105489,240.49,-,38569,36.56
ROMAN,EQ,10-Sep-2007,222.45,219.70,221.25,217.00,218.00,217.85,219.18,63345,138.84,-,12607,19.90
ROMAN,EQ,11-Sep-2007,217.85,220.10,223.00,218.30,218.60,219.35,220.60,40817,90.04,-,13839,33.90
ROMAN,EQ,12-Sep-2007,219.35,220.30,227.50,220.10,221.85,220.95,222.82,67676,150.79,-,16209,23.95
ROMAN,EQ,13-Sep-2007,220.95,223.25,224.45,218.55,219.40,219.40,221.58,34040,75.43,-,14995,44.05
ROMAN,EQ,14-Sep-2007,219.40,220.75,223.95,212.50,213.70,214.35,219.56,42874,94.13,-,20157,47.01
ROMAN,EQ,17-Sep-2007,214.35,217.85,220.05,216.00,218.00,216.95,218.06,30369,66.22,-,16371,53.91
ROMAN,EQ,18-Sep-2007,216.95,216.10,218.50,214.15,214.15,214.90,215.84,19021,41.06,-,6922,36.39
ROMAN,EQ,19-Sep-2007,214.90,220.00,226.00,216.20,217.60,217.90,220.82,62563,138.15,-,17258,27.58
