Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CONSCOFFEE,EQ,02-Jan-2006,330.55,335.00,338.00,331.55,338.00,335.00,334.84,4752,15.91,-,4005,84.28
CONSCOFFEE,EQ,03-Jan-2006,335.00,335.00,336.50,333.20,335.80,335.50,335.62,4943,16.59,-,3843,77.75
CONSCOFFEE,EQ,04-Jan-2006,335.50,335.00,339.00,331.20,335.50,336.85,335.47,12821,43.01,-,9710,75.74
CONSCOFFEE,EQ,05-Jan-2006,336.85,335.00,346.00,335.00,341.10,342.95,340.81,15106,51.48,-,10752,71.18
CONSCOFFEE,EQ,06-Jan-2006,342.95,349.00,357.95,335.20,339.95,341.95,346.04,10762,37.24,-,7379,68.57
CONSCOFFEE,EQ,09-Jan-2006,341.95,341.00,348.80,337.00,342.55,342.25,344.14,5386,18.54,-,3433,63.74
CONSCOFFEE,EQ,10-Jan-2006,342.25,342.00,345.90,340.00,340.00,341.85,343.86,5390,18.53,-,4495,83.40
CONSCOFFEE,EQ,12-Jan-2006,341.85,339.70,347.70,335.00,338.90,337.85,341.17,3145,10.73,-,2180,69.32
CONSCOFFEE,EQ,13-Jan-2006,337.85,330.00,345.95,330.00,345.95,344.95,344.12,10772,37.07,-,9001,83.56
CONSCOFFEE,EQ,16-Jan-2006,344.95,350.00,350.00,340.05,341.00,341.85,342.62,2066,7.08,-,1507,72.94
CONSCOFFEE,EQ,17-Jan-2006,341.85,341.00,342.95,337.00,340.00,339.85,339.88,4362,14.83,-,3505,80.35
CONSCOFFEE,EQ,18-Jan-2006,339.85,375.55,375.55,332.10,336.15,337.10,339.02,6774,22.97,-,5358,79.10
CONSCOFFEE,EQ,19-Jan-2006,337.10,350.00,351.00,338.00,348.05,349.55,344.77,5624,19.39,-,3296,58.61
CONSCOFFEE,EQ,20-Jan-2006,349.55,350.00,360.00,347.25,355.00,355.45,355.10,15277,54.25,-,7922,51.86
CONSCOFFEE,EQ,23-Jan-2006,355.45,362.00,362.00,350.35,350.55,353.60,355.42,7916,28.13,-,3536,44.67
CONSCOFFEE,EQ,24-Jan-2006,353.60,347.00,348.00,327.00,330.00,330.15,334.99,25875,86.68,-,18148,70.14
CONSCOFFEE,EQ,25-Jan-2006,330.15,341.15,341.15,321.50,321.50,323.50,324.99,8277,26.90,-,5392,65.14
CONSCOFFEE,EQ,27-Jan-2006,323.50,316.05,324.70,316.05,322.40,322.45,322.10,2977,9.59,-,1932,64.90
CONSCOFFEE,EQ,30-Jan-2006,322.45,330.00,330.00,322.00,325.75,325.95,325.80,8512,27.73,-,7648,89.85
CONSCOFFEE,EQ,31-Jan-2006,325.95,329.80,329.80,320.30,327.50,325.10,325.01,8008,26.03,-,7867,98.24
CONSCOFFEE,EQ,01-Feb-2006,325.10,321.00,326.00,321.00,325.00,325.00,325.05,6925,22.51,-,6398,92.39
CONSCOFFEE,EQ,02-Feb-2006,325.00,333.00,333.00,317.00,318.65,318.50,324.00,8503,27.55,-,7932,93.28
CONSCOFFEE,EQ,03-Feb-2006,318.50,319.00,322.00,317.10,317.25,318.60,319.05,1005,3.21,-,924,91.94
CONSCOFFEE,EQ,06-Feb-2006,318.60,310.50,349.00,310.50,340.10,340.15,339.21,19204,65.14,-,8126,42.31
CONSCOFFEE,EQ,07-Feb-2006,340.15,336.95,343.90,330.65,333.00,333.30,336.84,5708,19.23,-,3142,55.05
CONSCOFFEE,EQ,08-Feb-2006,333.30,330.00,343.00,330.00,335.00,335.20,337.38,9009,30.39,-,3683,40.88
CONSCOFFEE,EQ,10-Feb-2006,335.20,341.00,347.00,335.60,335.60,337.45,340.90,9290,31.67,-,2561,27.57
CONSCOFFEE,EQ,13-Feb-2006,337.45,340.00,382.30,333.30,369.90,368.95,371.21,71806,266.55,-,22656,31.55
CONSCOFFEE,EQ,14-Feb-2006,368.95,374.90,384.00,360.10,366.00,363.10,374.52,39539,148.08,-,15835,40.05
CONSCOFFEE,EQ,15-Feb-2006,363.10,368.35,375.00,352.00,362.00,368.30,363.95,18513,67.38,-,8584,46.37
CONSCOFFEE,EQ,16-Feb-2006,368.30,374.00,405.50,367.00,383.95,380.80,390.99,57273,223.93,-,19045,33.25
