Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,02-Jan-2006,653.40,657.05,657.05,638.25,639.00,639.55,645.48,999319,6450.40,-,396682,39.70
TATAMOTORS,EQ,03-Jan-2006,639.55,639.50,649.80,639.50,646.00,645.45,646.07,913233,5900.12,-,294685,32.27
TATAMOTORS,EQ,04-Jan-2006,645.45,652.50,679.00,649.90,659.00,659.20,657.50,1032788,6790.56,-,267858,25.94
TATAMOTORS,EQ,05-Jan-2006,659.20,660.00,662.00,645.00,645.90,647.05,651.42,1565923,10200.75,-,742705,47.43
TATAMOTORS,EQ,06-Jan-2006,647.05,648.50,659.35,638.15,645.50,647.10,650.21,1955065,12711.95,-,603278,30.86
TATAMOTORS,EQ,09-Jan-2006,647.10,645.00,653.40,642.00,643.00,645.45,647.21,845755,5473.84,-,231741,27.40
TATAMOTORS,EQ,10-Jan-2006,645.45,645.00,648.50,635.00,636.50,636.45,640.03,1296768,8299.67,-,481858,37.16
TATAMOTORS,EQ,12-Jan-2006,636.45,634.00,647.40,622.00,641.00,641.95,641.46,1463722,9389.22,-,540545,36.93
TATAMOTORS,EQ,13-Jan-2006,641.95,645.10,656.70,642.00,643.10,643.70,649.68,2768546,17986.56,-,1303700,47.09
TATAMOTORS,EQ,16-Jan-2006,643.70,649.50,652.70,638.00,642.90,640.95,643.28,1220665,7852.29,-,505619,41.42
TATAMOTORS,EQ,17-Jan-2006,640.95,646.00,649.85,621.10,635.00,629.40,635.93,1033109,6569.90,-,394809,38.22
TATAMOTORS,EQ,18-Jan-2006,629.40,627.00,628.00,608.30,616.60,617.20,617.38,1610788,9944.66,-,601335,37.33
TATAMOTORS,EQ,19-Jan-2006,617.20,625.10,646.00,622.45,644.90,641.05,632.00,1133469,7163.50,-,463495,40.89
TATAMOTORS,EQ,20-Jan-2006,641.05,646.00,664.75,640.50,660.00,660.90,651.18,1044704,6802.89,-,348210,33.33
TATAMOTORS,EQ,23-Jan-2006,660.90,657.60,657.60,641.20,643.50,644.80,647.81,1472975,9542.07,-,638466,43.35
TATAMOTORS,EQ,24-Jan-2006,644.80,648.00,665.50,646.50,661.95,663.55,657.65,1562267,10274.28,-,464070,29.70
TATAMOTORS,EQ,25-Jan-2006,663.55,668.00,684.00,666.00,673.40,675.85,677.93,2046868,13876.26,-,585362,28.60
TATAMOTORS,EQ,27-Jan-2006,675.85,679.80,696.90,679.80,690.00,690.80,690.68,1296707,8956.13,-,412989,31.85
TATAMOTORS,EQ,30-Jan-2006,690.80,695.00,703.80,684.50,685.05,688.15,693.88,1548928,10747.64,-,409543,26.44
TATAMOTORS,EQ,31-Jan-2006,688.15,687.00,711.60,687.00,707.00,708.45,701.54,1786360,12532.07,-,528135,29.56
TATAMOTORS,EQ,01-Feb-2006,708.45,708.00,722.25,698.00,707.00,706.90,711.79,2345544,16695.45,-,770442,32.85
TATAMOTORS,EQ,02-Feb-2006,706.90,709.00,716.90,698.50,707.05,706.80,707.42,1815830,12845.55,-,457588,25.20
TATAMOTORS,EQ,03-Feb-2006,706.80,698.00,734.00,698.00,717.00,718.35,723.30,4008897,28996.29,-,1296361,32.34
TATAMOTORS,EQ,06-Feb-2006,718.35,716.90,737.50,712.20,736.30,733.65,727.56,1998749,14542.08,-,793419,39.70
TATAMOTORS,EQ,07-Feb-2006,733.65,736.50,770.50,732.40,770.05,764.65,749.36,3621101,27135.15,-,1400922,38.69
TATAMOTORS,EQ,08-Feb-2006,764.65,768.80,770.00,749.00,750.05,751.45,758.59,2407736,18264.79,-,728378,30.25
TATAMOTORS,EQ,10-Feb-2006,751.45,759.80,766.40,750.35,752.00,754.15,758.56,1880726,14266.48,-,701170,37.28
TATAMOTORS,EQ,13-Feb-2006,754.15,758.00,798.00,750.00,797.00,791.45,773.74,2548777,19720.81,-,599565,23.52
TATAMOTORS,EQ,14-Feb-2006,791.45,791.00,793.90,762.50,767.05,766.70,772.90,2028695,15679.70,-,789086,38.90
TATAMOTORS,EQ,15-Feb-2006,766.70,774.00,780.70,765.00,766.25,770.30,771.80,2101590,16220.11,-,487393,23.19
TATAMOTORS,EQ,16-Feb-2006,770.30,770.00,810.00,767.10,796.95,800.50,793.71,3835472,30442.64,-,1240242,32.34
TATAMOTORS,EQ,17-Feb-2006,800.50,797.00,812.00,770.55,773.30,773.35,790.14,3821631,30196.19,-,1279087,33.47
TATAMOTORS,EQ,20-Feb-2006,773.35,774.00,785.95,768.05,785.05,782.15,777.00,2766589,21496.33,-,840562,30.38
TATAMOTORS,EQ,21-Feb-2006,782.15,785.95,800.00,785.10,793.10,793.70,792.36,1706958,13525.27,-,369608,21.65
TATAMOTORS,EQ,22-Feb-2006,793.70,794.00,796.90,789.30,789.60,791.35,792.84,1036217,8215.57,-,239879,23.15
TATAMOTORS,EQ,23-Feb-2006,791.35,795.00,797.80,781.75,790.00,785.25,790.42,2317049,18314.35,-,1254770,54.15
TATAMOTORS,EQ,24-Feb-2006,785.25,785.00,793.40,775.25,782.00,783.85,783.47,1600441,12538.93,-,476326,29.76
TATAMOTORS,EQ,27-Feb-2006,783.85,785.10,794.80,783.10,785.00,786.45,788.12,1207500,9516.59,-,617580,51.15
TATAMOTORS,EQ,28-Feb-2006,786.45,794.80,822.40,780.10,813.65,816.20,802.82,3585677,28786.70,-,816295,22.77
TATAMOTORS,EQ,01-Mar-2006,816.20,816.00,855.65,810.05,843.00,846.10,836.71,3717074,31100.98,-,1258290,33.85
TATAMOTORS,EQ,02-Mar-2006,846.10,851.00,885.90,851.00,862.00,864.00,863.63,3847168,33225.28,-,1172288,30.47
TATAMOTORS,EQ,03-Mar-2006,864.00,866.00,910.00,864.00,905.00,904.95,895.12,4102808,36724.98,-,1032276,25.16
TATAMOTORS,EQ,06-Mar-2006,904.95,910.00,941.85,910.00,929.00,927.20,929.93,2965708,27579.13,-,901563,30.40
TATAMOTORS,EQ,07-Mar-2006,927.20,930.00,931.00,907.55,915.00,911.40,915.42,2470677,22617.00,-,1049466,42.48
TATAMOTORS,EQ,08-Mar-2006,911.40,916.00,918.50,875.65,881.00,879.45,896.27,4442166,39813.83,-,1469169,33.07
TATAMOTORS,EQ,09-Mar-2006,879.45,880.00,887.50,843.30,877.75,876.30,865.06,5212329,45089.70,-,1395696,26.78
TATAMOTORS,EQ,10-Mar-2006,876.30,885.00,900.00,880.10,896.90,896.00,891.94,2827919,25223.28,-,1022491,36.16
TATAMOTORS,EQ,13-Mar-2006,896.00,905.00,905.00,884.50,886.95,888.70,893.47,2091737,18689.06,-,602311,28.79
TATAMOTORS,EQ,14-Mar-2006,888.70,886.10,905.85,880.00,894.00,893.60,894.52,2665358,23842.10,-,688519,25.83
TATAMOTORS,EQ,16-Mar-2006,893.60,899.00,921.85,898.00,918.75,919.05,916.47,4169947,38216.42,-,1961948,47.05
