Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TBZ,BE,09-May-2012,120.00,115.05,120.00,110.50,110.50,111.00,112.16,1253983,1406.46,2088,-,-
TBZ,BE,10-May-2012,111.00,113.00,116.55,105.50,116.55,116.55,115.71,78803,91.18,470,-,-
TBZ,BE,11-May-2012,116.55,121.50,122.35,116.00,119.00,119.85,119.89,388535,465.80,364,-,-
TBZ,BE,14-May-2012,119.85,117.25,118.00,113.90,113.90,113.90,115.60,43129,49.86,187,-,-
TBZ,BE,15-May-2012,113.90,110.00,114.50,108.25,110.60,111.30,111.76,9312,10.41,111,-,-
TBZ,BE,16-May-2012,111.30,111.00,111.50,105.75,106.00,105.85,106.15,44659,47.40,242,-,-
TBZ,BE,17-May-2012,105.85,110.00,111.10,108.50,111.10,111.10,110.68,5447,6.03,35,-,-
TBZ,BE,18-May-2012,111.10,110.00,116.65,110.00,115.05,116.30,115.60,47051,54.39,178,-,-
TBZ,BE,21-May-2012,116.30,114.00,120.25,114.00,118.10,119.05,118.37,27152,32.14,144,-,-
TBZ,BE,22-May-2012,119.05,119.00,122.00,116.00,119.10,118.80,120.24,53707,64.58,235,-,-
TBZ,EQ,23-May-2012,118.80,116.00,122.00,110.00,118.00,117.55,119.49,103993,124.26,1137,48893,47.02
TBZ,EQ,24-May-2012,117.55,117.50,118.00,115.65,117.30,117.00,116.98,34185,39.99,120,32385,94.73
TBZ,EQ,25-May-2012,117.00,117.90,117.90,115.00,116.00,116.45,116.57,25050,29.20,1527,12529,50.02
TBZ,EQ,28-May-2012,116.45,115.65,122.00,115.65,119.00,118.65,119.93,29046,34.83,467,16061,55.30
TBZ,EQ,29-May-2012,118.65,118.55,120.95,115.35,115.35,116.55,117.87,11267,13.28,259,7957,70.62
TBZ,EQ,30-May-2012,116.55,117.00,117.00,114.50,115.50,114.75,115.02,5577,6.41,159,4565,81.85
TBZ,EQ,31-May-2012,114.75,114.05,116.50,110.10,111.10,112.25,113.45,18043,20.47,150,15806,87.60
TBZ,EQ,01-Jun-2012,112.25,107.00,112.80,105.05,106.25,107.20,107.46,18974,20.39,117,17999,94.86
TBZ,EQ,04-Jun-2012,107.20,109.90,109.90,103.55,105.90,105.90,105.21,7819,8.23,153,6019,76.98
TBZ,EQ,05-Jun-2012,105.90,106.05,116.00,106.05,108.80,109.90,109.33,47829,52.29,601,33246,69.51
TBZ,EQ,06-Jun-2012,109.90,112.45,116.90,110.65,112.35,113.65,113.43,70017,79.42,899,40766,58.22
TBZ,EQ,07-Jun-2012,113.65,115.90,115.95,110.20,113.00,112.40,114.25,29957,34.22,692,14384,48.02
TBZ,EQ,08-Jun-2012,112.40,114.00,114.00,108.95,108.95,109.95,110.43,25423,28.07,302,19869,78.15
TBZ,EQ,11-Jun-2012,109.95,110.00,110.95,108.00,110.00,110.00,109.92,13880,15.26,200,10865,78.28
TBZ,EQ,12-Jun-2012,110.00,108.05,111.30,107.00,111.00,110.65,109.80,9305,10.22,142,6358,68.33
TBZ,EQ,13-Jun-2012,110.65,110.00,114.40,109.00,110.20,110.20,111.87,13064,14.62,167,7900,60.47
TBZ,EQ,14-Jun-2012,110.20,110.50,110.50,107.05,108.00,107.75,109.14,6977,7.61,200,4712,67.54
TBZ,EQ,15-Jun-2012,107.75,109.95,109.95,108.00,108.50,108.05,108.13,3584,3.88,51,3461,96.57
TBZ,EQ,18-Jun-2012,108.05,111.50,111.90,108.15,108.50,108.50,110.19,12543,13.82,118,8696,69.33
TBZ,EQ,19-Jun-2012,108.50,111.75,111.75,106.50,107.50,107.10,108.22,9267,10.03,117,5868,63.32
TBZ,EQ,20-Jun-2012,107.10,108.00,109.50,107.90,108.50,108.80,108.51,4600,4.99,67,3170,68.91
TBZ,EQ,21-Jun-2012,108.80,108.00,110.50,108.00,108.75,109.05,109.21,3707,4.05,50,2747,74.10
TBZ,EQ,22-Jun-2012,109.05,109.85,110.00,108.00,108.00,108.95,108.37,19373,20.99,70,18416,95.06
TBZ,EQ,25-Jun-2012,108.95,109.95,110.50,108.00,108.95,108.15,108.78,43900,47.76,100,40913,93.20
TBZ,EQ,26-Jun-2012,108.15,104.35,109.40,104.35,108.00,108.00,107.35,9126,9.80,73,3645,39.94
TBZ,EQ,27-Jun-2012,108.00,109.00,109.75,107.40,107.50,107.65,108.54,3584,3.89,62,3055,85.24
TBZ,EQ,28-Jun-2012,107.65,108.70,112.00,106.05,107.00,107.50,108.87,35239,38.36,140,26595,75.47
TBZ,EQ,29-Jun-2012,107.50,107.55,111.00,103.00,107.95,107.30,107.79,17706,19.09,169,11355,64.13
TBZ,EQ,02-Jul-2012,107.30,107.00,119.00,105.55,113.75,113.55,115.73,299013,346.04,4578,100048,33.46
TBZ,EQ,03-Jul-2012,113.55,114.75,118.50,113.00,113.50,113.50,115.32,70011,80.74,1270,25822,36.88
TBZ,EQ,04-Jul-2012,113.50,112.25,115.00,111.10,111.50,111.50,112.74,20956,23.63,357,15357,73.28
