Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TEXMOPIPES,EQ,10-Mar-2010,90.00,92.80,139.90,92.80,139.00,137.15,131.58,40523703,53321.18,-,1467040,3.62
TEXMOPIPES,EQ,11-Mar-2010,137.15,139.00,159.40,137.00,146.80,147.20,149.14,28562229,42598.91,-,747111,2.62
TEXMOPIPES,EQ,12-Mar-2010,147.20,148.80,148.80,136.35,143.00,140.55,142.23,7097507,10094.67,-,339718,4.79
TEXMOPIPES,EQ,15-Mar-2010,140.55,140.00,154.50,140.00,154.00,152.65,149.11,10207598,15220.43,-,725613,7.11
TEXMOPIPES,EQ,16-Mar-2010,152.65,155.00,160.80,149.75,159.90,159.75,155.97,12185438,19005.75,-,320774,2.63
TEXMOPIPES,EQ,17-Mar-2010,159.75,162.00,162.90,132.25,142.55,143.70,145.84,16667766,24308.62,-,1320265,7.92
TEXMOPIPES,EQ,18-Mar-2010,143.70,141.50,144.70,115.00,115.50,118.45,128.07,16060204,20567.96,-,1947291,12.12
TEXMOPIPES,EQ,19-Mar-2010,118.45,117.00,117.70,102.10,110.25,106.70,108.74,16896131,18372.43,-,745983,4.42
TEXMOPIPES,EQ,22-Mar-2010,106.70,105.00,114.25,102.65,109.70,109.70,109.91,8093361,8895.74,-,546040,6.75
TEXMOPIPES,EQ,23-Mar-2010,109.70,111.05,112.80,106.25,108.40,108.30,109.06,3589637,3914.88,-,266843,7.43
TEXMOPIPES,EQ,25-Mar-2010,108.30,106.95,109.00,103.00,104.10,104.65,105.10,2523287,2651.87,-,262590,10.41
TEXMOPIPES,EQ,26-Mar-2010,104.65,105.80,107.15,96.55,99.10,98.85,101.41,4053744,4111.01,-,381891,9.42
TEXMOPIPES,EQ,29-Mar-2010,98.85,99.50,101.30,93.00,93.25,93.85,95.62,2462180,2354.30,-,336185,13.65
TEXMOPIPES,EQ,30-Mar-2010,93.85,94.05,96.50,90.60,92.80,92.85,93.68,4095256,3836.36,-,289576,7.07
TEXMOPIPES,EQ,31-Mar-2010,92.85,90.60,94.80,90.60,91.15,91.95,92.94,1199109,1114.45,-,185432,15.46
TEXMOPIPES,EQ,01-Apr-2010,91.95,92.60,93.75,91.55,91.80,92.10,92.64,999760,926.22,-,134897,13.49
TEXMOPIPES,EQ,05-Apr-2010,92.10,92.40,93.50,90.60,90.85,91.10,92.18,600751,553.75,-,142104,23.65
TEXMOPIPES,EQ,06-Apr-2010,91.10,91.40,91.90,88.50,88.80,88.85,89.67,899205,806.31,-,183303,20.39
TEXMOPIPES,EQ,07-Apr-2010,88.85,88.85,89.80,87.00,87.25,87.45,88.08,531648,468.27,-,130349,24.52
TEXMOPIPES,EQ,08-Apr-2010,87.45,86.50,86.95,83.65,83.70,84.45,85.52,580979,496.88,-,154867,26.66
TEXMOPIPES,EQ,09-Apr-2010,84.45,84.45,85.20,80.55,81.00,81.35,82.66,547738,452.77,-,158553,28.95
TEXMOPIPES,EQ,12-Apr-2010,81.35,81.90,84.00,77.00,80.70,80.85,81.22,1291971,1049.39,-,158424,12.26
TEXMOPIPES,EQ,13-Apr-2010,80.85,80.85,81.90,80.00,80.00,80.30,80.84,422052,341.18,-,93468,22.15
TEXMOPIPES,EQ,15-Apr-2010,80.30,80.50,81.70,78.30,78.45,78.85,80.00,527693,422.15,-,107739,20.42
TEXMOPIPES,EQ,16-Apr-2010,78.85,78.50,79.00,75.85,76.00,76.45,77.41,332121,257.09,-,98683,29.71
TEXMOPIPES,EQ,19-Apr-2010,76.45,75.00,75.00,72.65,72.65,72.65,73.15,304610,222.83,-,117222,38.48
TEXMOPIPES,EQ,20-Apr-2010,72.65,71.50,71.75,70.15,70.15,70.25,70.73,442922,313.27,-,104574,23.61
TEXMOPIPES,EQ,21-Apr-2010,70.25,70.40,73.80,70.40,73.80,73.70,73.15,1075339,786.62,-,255110,23.72
TEXMOPIPES,EQ,22-Apr-2010,73.70,77.40,77.40,73.10,73.25,73.65,75.01,499688,374.80,-,177054,35.43
TEXMOPIPES,EQ,23-Apr-2010,73.65,74.00,74.00,71.70,71.95,71.95,72.37,214532,155.25,-,72478,33.78
TEXMOPIPES,EQ,26-Apr-2010,71.95,72.60,73.80,71.00,72.40,72.35,72.42,298182,215.93,-,87662,29.40
TEXMOPIPES,EQ,27-Apr-2010,72.35,72.35,73.20,70.70,70.75,71.25,71.88,215079,154.60,-,53496,24.87
TEXMOPIPES,EQ,28-Apr-2010,71.25,70.00,70.90,68.00,68.25,68.50,69.54,170384,118.49,-,68782,40.37
TEXMOPIPES,EQ,29-Apr-2010,68.50,70.40,70.50,66.35,66.65,66.70,68.05,192085,130.71,-,81164,42.25
TEXMOPIPES,EQ,30-Apr-2010,66.70,68.00,69.00,66.05,66.15,66.25,67.13,221793,148.89,-,95676,43.14
TEXMOPIPES,EQ,03-May-2010,66.25,65.90,66.95,65.05,65.65,65.30,65.89,150025,98.84,-,55368,36.91
TEXMOPIPES,EQ,04-May-2010,65.30,65.50,66.80,62.05,62.05,62.25,64.11,254306,163.03,-,90266,35.50
TEXMOPIPES,EQ,05-May-2010,62.25,61.20,61.20,59.15,59.25,59.20,59.35,176491,104.75,-,75053,42.53
TEXMOPIPES,EQ,06-May-2010,59.20,58.40,58.80,56.30,56.80,57.00,57.41,220411,126.53,-,68839,31.23
TEXMOPIPES,EQ,07-May-2010,57.00,55.90,56.00,54.15,54.15,54.15,54.50,116224,63.34,-,67556,58.13
TEXMOPIPES,EQ,10-May-2010,54.15,55.00,55.00,51.45,51.45,51.45,51.76,228123,118.08,-,102974,45.14
TEXMOPIPES,EQ,11-May-2010,51.45,49.95,53.90,49.35,52.80,52.60,51.99,457122,237.64,-,80169,17.54
TEXMOPIPES,EQ,12-May-2010,52.60,52.50,53.20,50.30,50.40,51.00,51.63,145614,75.18,-,49694,34.13
TEXMOPIPES,EQ,13-May-2010,51.00,52.60,52.60,49.20,49.90,49.65,50.13,124518,62.43,-,48323,38.81
TEXMOPIPES,EQ,14-May-2010,49.65,49.10,49.10,47.20,47.20,47.20,47.87,147856,70.78,-,75920,51.35
TEXMOPIPES,EQ,17-May-2010,47.20,46.00,46.00,44.85,44.85,44.90,44.93,71052,31.92,-,45362,63.84
TEXMOPIPES,EQ,18-May-2010,44.90,44.00,47.00,43.10,46.05,46.15,45.94,237962,109.32,-,66755,28.05
TEXMOPIPES,EQ,19-May-2010,46.15,46.20,46.20,43.90,44.00,44.00,44.86,102555,46.01,-,40115,39.12
TEXMOPIPES,EQ,20-May-2010,44.00,44.00,44.85,41.80,41.80,41.90,42.79,132104,56.52,-,58081,43.97
TEXMOPIPES,EQ,21-May-2010,41.90,41.50,41.50,39.80,39.80,39.85,39.92,111022,44.32,-,56488,50.88
TEXMOPIPES,EQ,24-May-2010,39.85,40.10,41.85,40.10,41.85,41.50,41.30,135572,55.99,-,61401,45.29
TEXMOPIPES,EQ,25-May-2010,41.50,40.80,43.50,40.25,40.30,40.85,41.68,167196,69.68,-,50808,30.39
TEXMOPIPES,EQ,26-May-2010,40.85,42.30,42.30,40.00,40.60,40.50,40.80,78547,32.05,-,38799,49.40
TEXMOPIPES,EQ,27-May-2010,40.50,40.15,41.15,40.10,40.45,40.45,40.60,67452,27.38,-,22970,34.05
TEXMOPIPES,EQ,28-May-2010,40.45,41.00,41.50,40.55,40.80,40.70,40.92,83524,34.18,-,26459,31.68
TEXMOPIPES,EQ,31-May-2010,40.70,40.90,41.30,40.25,41.15,41.05,40.78,68231,27.82,-,31536,46.22
TEXMOPIPES,EQ,01-Jun-2010,41.05,40.75,42.70,40.35,40.75,41.00,41.57,97558,40.55,-,38437,39.40
TEXMOPIPES,EQ,02-Jun-2010,41.00,41.00,41.45,40.50,41.20,41.00,41.00,53161,21.80,-,19181,36.08
TEXMOPIPES,EQ,03-Jun-2010,41.00,41.10,42.45,40.85,41.10,41.05,41.36,52370,21.66,-,28777,54.95
TEXMOPIPES,EQ,04-Jun-2010,41.05,41.00,41.65,40.60,41.40,41.25,41.15,82894,34.11,-,31507,38.01
TEXMOPIPES,EQ,07-Jun-2010,41.25,40.35,41.35,39.25,40.90,41.05,40.83,87409,35.69,-,32370,37.03
TEXMOPIPES,EQ,08-Jun-2010,41.05,40.90,43.10,40.90,43.10,43.10,42.93,52587,22.58,-,41369,78.67
TEXMOPIPES,EQ,09-Jun-2010,43.10,45.30,45.30,44.40,45.30,45.30,45.21,64778,29.29,-,44027,67.97
TEXMOPIPES,EQ,10-Jun-2010,45.30,47.60,47.60,47.60,47.60,47.60,47.60,18699,8.90,-,18694,99.97
TEXMOPIPES,EQ,11-Jun-2010,47.60,50.00,50.00,45.25,46.70,47.20,48.83,746917,364.75,-,194415,26.03
TEXMOPIPES,EQ,14-Jun-2010,47.20,48.85,48.85,46.30,46.55,46.70,47.21,117664,55.55,-,50088,42.57
TEXMOPIPES,EQ,15-Jun-2010,46.70,46.75,47.90,46.15,47.05,47.15,46.99,87377,41.06,-,34447,39.42
TEXMOPIPES,EQ,16-Jun-2010,47.15,47.30,48.20,46.35,46.90,46.70,47.09,75917,35.75,-,35254,46.44
TEXMOPIPES,EQ,17-Jun-2010,46.70,46.20,47.20,46.00,47.20,46.70,46.57,40295,18.77,-,18538,46.01
TEXMOPIPES,EQ,18-Jun-2010,46.70,48.80,48.80,45.15,45.30,45.30,46.06,61188,28.18,-,32282,52.76
TEXMOPIPES,EQ,21-Jun-2010,45.30,46.35,46.35,45.15,45.80,45.60,45.74,35030,16.02,-,19955,56.97
TEXMOPIPES,EQ,22-Jun-2010,45.60,45.05,46.10,45.00,45.25,45.15,45.32,28969,13.13,-,16161,55.79
TEXMOPIPES,EQ,23-Jun-2010,45.15,45.70,46.80,44.50,45.35,45.40,45.76,57928,26.51,-,22097,38.15
TEXMOPIPES,EQ,24-Jun-2010,45.40,45.00,46.70,44.90,45.45,45.30,45.70,47336,21.63,-,20830,44.00
TEXMOPIPES,EQ,25-Jun-2010,45.30,45.25,45.50,44.10,44.25,44.45,44.88,51598,23.16,-,30605,59.31
TEXMOPIPES,EQ,28-Jun-2010,44.45,44.00,45.30,44.00,44.70,44.55,44.72,30533,13.65,-,16685,54.65
TEXMOPIPES,EQ,29-Jun-2010,44.55,44.25,45.50,44.25,45.35,45.05,44.91,74956,33.66,-,45404,60.57
TEXMOPIPES,EQ,30-Jun-2010,45.05,44.40,45.50,44.35,44.90,44.50,44.73,40604,18.16,-,22958,56.54
TEXMOPIPES,EQ,01-Jul-2010,44.50,44.00,45.70,44.00,44.30,44.45,44.86,83842,37.62,-,24055,28.69
TEXMOPIPES,EQ,02-Jul-2010,44.45,44.30,45.20,44.30,44.80,44.90,44.78,30436,13.63,-,18771,61.67
TEXMOPIPES,EQ,05-Jul-2010,44.90,44.00,45.25,43.95,44.05,44.05,44.25,41446,18.34,-,31415,75.80
TEXMOPIPES,EQ,06-Jul-2010,44.05,44.10,44.80,43.65,44.15,44.00,44.27,35180,15.57,-,23422,66.58
TEXMOPIPES,EQ,07-Jul-2010,44.00,44.00,48.40,43.65,48.40,48.40,47.46,259934,123.38,-,106446,40.95
TEXMOPIPES,EQ,08-Jul-2010,48.40,49.50,52.85,49.50,50.25,50.20,51.41,656201,337.33,-,178453,27.19
TEXMOPIPES,EQ,09-Jul-2010,50.20,51.00,51.80,50.05,50.60,50.55,50.87,162799,82.81,-,68779,42.25
TEXMOPIPES,EQ,12-Jul-2010,50.55,52.40,52.50,50.10,50.20,50.45,50.75,93670,47.54,-,39794,42.48
TEXMOPIPES,EQ,13-Jul-2010,50.45,50.05,50.75,48.20,49.95,49.75,49.80,72313,36.01,-,39946,55.24
TEXMOPIPES,EQ,14-Jul-2010,49.75,49.95,51.70,49.50,50.00,49.95,50.41,87859,44.29,-,39802,45.30
TEXMOPIPES,EQ,15-Jul-2010,49.95,49.50,50.00,48.85,49.00,49.15,49.35,43535,21.48,-,18200,41.81
TEXMOPIPES,EQ,16-Jul-2010,49.15,49.00,49.60,48.25,48.70,48.75,48.92,47196,23.09,-,17822,37.76
TEXMOPIPES,EQ,19-Jul-2010,48.75,50.70,50.70,47.60,48.30,48.30,48.54,41872,20.33,-,13526,32.30
TEXMOPIPES,EQ,20-Jul-2010,48.30,48.30,48.75,47.50,47.65,47.85,48.31,41807,20.20,-,24225,57.94
TEXMOPIPES,EQ,21-Jul-2010,47.85,48.10,48.50,47.50,47.80,48.05,48.01,56549,27.15,-,26028,46.03
TEXMOPIPES,EQ,22-Jul-2010,48.05,47.65,48.90,47.65,48.15,48.00,48.18,45157,21.75,-,19039,42.16
TEXMOPIPES,EQ,23-Jul-2010,48.00,48.50,48.50,47.60,47.80,47.75,48.09,37179,17.88,-,22305,59.99
TEXMOPIPES,EQ,26-Jul-2010,47.75,47.00,48.30,46.40,46.40,46.60,47.22,32680,15.43,-,17836,54.58
TEXMOPIPES,EQ,27-Jul-2010,46.60,47.90,47.90,45.80,45.80,46.15,46.41,33077,15.35,-,18690,56.50
TEXMOPIPES,EQ,28-Jul-2010,46.15,46.00,46.65,45.10,45.90,45.70,45.94,27566,12.66,-,16708,60.61
TEXMOPIPES,EQ,29-Jul-2010,45.70,47.75,47.75,45.25,45.95,45.50,45.80,22548,10.33,-,12409,55.03
