Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TIRUMALCHM,EQ,02-Jan-2006,141.70,148.00,148.00,142.35,143.00,143.40,144.36,10456,15.09,-,8324,79.61
TIRUMALCHM,EQ,03-Jan-2006,143.40,147.90,152.75,144.05,150.00,149.70,149.42,43516,65.02,-,23367,53.70
TIRUMALCHM,EQ,04-Jan-2006,149.70,153.90,154.00,149.00,149.10,149.30,151.38,17977,27.21,-,9574,53.26
TIRUMALCHM,EQ,05-Jan-2006,149.30,151.85,151.85,146.10,148.50,148.05,147.96,6711,9.93,-,5670,84.49
TIRUMALCHM,EQ,06-Jan-2006,148.05,150.95,158.00,150.10,151.00,151.50,153.19,92975,142.42,-,49549,53.29
TIRUMALCHM,EQ,09-Jan-2006,151.50,154.00,154.90,151.15,151.90,153.35,153.11,19272,29.51,-,11616,60.27
TIRUMALCHM,EQ,10-Jan-2006,153.35,153.50,154.45,150.00,151.00,150.70,152.26,13483,20.53,-,9469,70.23
TIRUMALCHM,EQ,12-Jan-2006,150.70,151.00,152.95,147.25,148.95,149.45,150.29,10672,16.04,-,7357,68.94
TIRUMALCHM,EQ,13-Jan-2006,149.45,146.05,153.90,146.05,151.00,150.30,151.57,11706,17.74,-,6826,58.31
TIRUMALCHM,EQ,16-Jan-2006,150.30,152.30,152.30,149.00,149.10,149.95,150.35,5221,7.85,-,3035,58.13
TIRUMALCHM,EQ,17-Jan-2006,149.95,150.00,150.45,147.00,147.00,147.00,148.55,8522,12.66,-,6465,75.86
TIRUMALCHM,EQ,18-Jan-2006,147.00,146.20,147.50,141.70,141.75,142.70,144.48,5103,7.37,-,3935,77.11
TIRUMALCHM,EQ,19-Jan-2006,142.70,146.95,151.00,146.95,148.65,148.05,149.42,10922,16.32,-,7177,65.71
TIRUMALCHM,EQ,20-Jan-2006,148.05,150.00,150.75,147.05,147.05,147.30,148.21,3628,5.38,-,2202,60.69
TIRUMALCHM,EQ,23-Jan-2006,147.30,147.00,148.00,146.20,147.00,146.50,147.39,6508,9.59,-,6071,93.29
TIRUMALCHM,EQ,24-Jan-2006,146.50,147.00,152.40,147.00,147.10,147.55,149.17,12262,18.29,-,10140,82.69
TIRUMALCHM,EQ,25-Jan-2006,147.55,148.30,149.00,144.15,145.95,146.15,146.44,6898,10.10,-,5657,82.01
TIRUMALCHM,EQ,27-Jan-2006,146.15,146.55,147.90,144.65,144.70,145.05,145.82,4515,6.58,-,3273,72.49
TIRUMALCHM,EQ,30-Jan-2006,145.05,144.30,146.00,141.00,141.20,141.65,143.23,11940,17.10,-,11272,94.41
TIRUMALCHM,EQ,31-Jan-2006,141.65,144.00,144.00,139.00,139.00,139.70,140.64,4380,6.16,-,3748,85.57
TIRUMALCHM,EQ,01-Feb-2006,139.70,140.00,140.00,125.75,128.00,127.00,131.55,48787,64.18,-,41398,84.85
TIRUMALCHM,EQ,02-Feb-2006,127.00,132.00,132.95,129.10,131.00,130.50,130.67,8528,11.14,-,5006,58.70
TIRUMALCHM,EQ,03-Feb-2006,130.50,129.55,132.00,129.55,131.00,130.30,131.01,5628,7.37,-,3692,65.60
TIRUMALCHM,EQ,06-Feb-2006,130.30,128.80,132.50,128.70,131.50,131.75,131.09,4661,6.11,-,4003,85.88
