Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TNPETRO,EQ,02-Jan-2006,24.20,24.30,25.05,24.20,24.90,24.85,24.79,131087,32.49,-,93250,71.14
TNPETRO,EQ,03-Jan-2006,24.85,25.50,26.30,24.90,25.85,25.85,25.61,211421,54.14,-,160861,76.09
TNPETRO,EQ,04-Jan-2006,25.85,26.05,26.20,25.20,25.20,25.25,25.47,73870,18.81,-,53750,72.76
TNPETRO,EQ,05-Jan-2006,25.25,25.05,25.55,25.00,25.25,25.25,25.27,49767,12.58,-,33026,66.36
TNPETRO,EQ,06-Jan-2006,25.25,25.20,25.70,24.80,25.05,25.10,25.26,70072,17.70,-,39779,56.77
TNPETRO,EQ,09-Jan-2006,25.10,25.90,25.90,24.80,25.30,25.30,25.35,46727,11.84,-,28054,60.04
TNPETRO,EQ,10-Jan-2006,25.30,25.40,26.00,25.25,25.50,25.45,25.49,133149,33.94,-,69585,52.26
TNPETRO,EQ,12-Jan-2006,25.45,25.05,27.45,25.05,26.85,26.90,26.67,489097,130.42,-,301048,61.55
TNPETRO,EQ,13-Jan-2006,26.90,27.30,28.15,26.55,26.75,26.85,27.47,368288,101.16,-,230365,62.55
TNPETRO,EQ,16-Jan-2006,26.85,26.40,27.20,26.10,26.35,26.20,26.48,106699,28.26,-,74029,69.38
TNPETRO,EQ,17-Jan-2006,26.20,25.70,26.90,25.60,25.70,25.80,26.04,157873,41.11,-,100727,63.80
TNPETRO,EQ,18-Jan-2006,25.80,25.50,25.70,22.00,24.90,24.60,24.86,151914,37.77,-,102953,67.77
TNPETRO,EQ,19-Jan-2006,24.60,24.80,25.90,24.80,25.50,25.55,25.51,66014,16.84,-,44777,67.83
TNPETRO,EQ,20-Jan-2006,25.55,26.10,26.10,25.40,25.50,25.65,25.70,81995,21.07,-,47268,57.65
TNPETRO,EQ,23-Jan-2006,25.65,25.60,25.75,25.30,25.40,25.40,25.48,47116,12.01,-,29011,61.57
TNPETRO,EQ,24-Jan-2006,25.40,25.15,26.10,25.15,25.40,25.45,25.60,60371,15.45,-,32549,53.91
TNPETRO,EQ,25-Jan-2006,25.45,24.70,25.65,24.70,25.30,25.25,25.41,87814,22.31,-,66949,76.24
TNPETRO,EQ,27-Jan-2006,25.25,25.25,26.00,24.50,25.30,25.35,25.22,96195,24.26,-,64123,66.66
TNPETRO,EQ,30-Jan-2006,25.35,25.20,25.20,23.80,23.90,23.90,24.19,186274,45.05,-,146732,78.77
TNPETRO,EQ,31-Jan-2006,23.90,24.00,24.15,23.60,23.60,23.75,23.87,70531,16.84,-,44273,62.77
TNPETRO,EQ,01-Feb-2006,23.75,23.20,23.85,23.10,23.40,23.20,23.40,67508,15.79,-,53740,79.61
TNPETRO,EQ,02-Feb-2006,23.20,23.40,23.55,22.80,22.80,22.90,23.11,55578,12.84,-,39862,71.72
TNPETRO,EQ,03-Feb-2006,22.90,22.95,23.40,22.25,22.85,22.85,22.95,47949,11.00,-,31825,66.37
TNPETRO,EQ,06-Feb-2006,22.85,23.80,23.80,22.60,22.85,22.85,22.95,50452,11.58,-,34772,68.92
TNPETRO,EQ,07-Feb-2006,22.85,22.80,23.10,22.75,22.75,22.80,22.91,62607,14.34,-,43024,68.72
TNPETRO,EQ,08-Feb-2006,22.80,22.90,23.00,22.80,22.90,22.85,22.90,56885,13.03,-,41214,72.45
TNPETRO,EQ,10-Feb-2006,22.85,22.75,23.25,22.70,23.00,22.90,23.01,50294,11.57,-,28343,56.35
TNPETRO,EQ,13-Feb-2006,22.90,23.70,23.75,23.05,23.25,23.30,23.44,101822,23.87,-,56486,55.48
TNPETRO,EQ,14-Feb-2006,23.30,23.35,23.50,22.85,22.95,22.90,23.15,69032,15.98,-,38370,55.58
TNPETRO,EQ,15-Feb-2006,22.90,27.10,27.10,22.75,22.80,22.90,22.96,115806,26.59,-,81583,70.45
TNPETRO,EQ,16-Feb-2006,22.90,21.35,23.30,20.20,22.75,22.80,22.86,86232,19.71,-,51300,59.49
TNPETRO,EQ,17-Feb-2006,22.80,22.85,23.05,22.45,22.70,22.55,22.77,68749,15.65,-,48055,69.90
TNPETRO,EQ,20-Feb-2006,22.55,22.15,22.75,22.15,22.30,22.25,22.30,43820,9.77,-,29559,67.46
TNPETRO,EQ,21-Feb-2006,22.25,22.50,22.70,22.15,22.20,22.20,22.32,116241,25.94,-,74148,63.79
TNPETRO,EQ,22-Feb-2006,22.20,22.65,22.65,22.05,22.25,22.20,22.30,71573,15.96,-,43453,60.71
TNPETRO,EQ,23-Feb-2006,22.20,22.30,22.35,22.00,22.10,22.10,22.12,42813,9.47,-,31354,73.23
TNPETRO,EQ,24-Feb-2006,22.10,22.15,22.15,21.90,22.15,22.05,22.03,44839,9.88,-,40935,91.29
TNPETRO,EQ,27-Feb-2006,22.05,22.00,22.35,21.75,21.90,21.80,22.03,95388,21.02,-,77455,81.20
TNPETRO,EQ,28-Feb-2006,21.80,21.30,22.40,21.10,22.00,22.00,21.97,85210,18.72,-,63736,74.80
TNPETRO,EQ,01-Mar-2006,22.00,22.00,22.00,21.55,21.90,21.85,21.78,32490,7.08,-,26254,80.81
TNPETRO,EQ,02-Mar-2006,21.85,21.75,21.85,21.35,21.50,21.40,21.54,80440,17.32,-,62810,78.08
