Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TRIGYN,BE,02-Jan-2006,13.85,14.00,14.55,14.00,14.55,14.55,14.46,15105,2.18,-,-,-
TRIGYN,BE,03-Jan-2006,14.55,14.90,15.30,14.90,15.30,15.30,15.28,18544,2.83,-,-,-
TRIGYN,BE,04-Jan-2006,15.30,16.00,16.10,15.80,16.10,16.10,16.05,23672,3.80,-,-,-
TRIGYN,BE,05-Jan-2006,16.10,16.85,16.90,15.30,15.50,15.50,15.61,22526,3.52,-,-,-
TRIGYN,BE,06-Jan-2006,15.50,15.00,15.80,14.75,15.75,15.70,15.19,16739,2.54,-,-,-
TRIGYN,BE,09-Jan-2006,15.70,15.05,15.65,15.00,15.60,15.45,15.42,12886,1.99,-,-,-
TRIGYN,BE,10-Jan-2006,15.45,15.85,15.90,15.00,15.50,15.15,15.22,7188,1.09,-,-,-
TRIGYN,BE,12-Jan-2006,15.15,15.45,15.50,14.60,14.60,14.90,15.09,10480,1.58,-,-,-
TRIGYN,BE,13-Jan-2006,14.90,14.60,15.30,14.60,14.80,14.85,14.91,12166,1.81,-,-,-
TRIGYN,BE,16-Jan-2006,14.85,14.80,14.95,14.40,14.85,14.90,14.65,9775,1.43,-,-,-
TRIGYN,BE,17-Jan-2006,14.90,14.30,14.90,14.20,14.20,14.30,14.41,17170,2.47,-,-,-
TRIGYN,BE,18-Jan-2006,14.30,13.90,14.50,13.90,14.00,14.00,14.15,9070,1.28,-,-,-
TRIGYN,BE,19-Jan-2006,14.00,14.00,14.50,14.00,14.20,14.25,14.34,4448,0.64,-,-,-
