Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TUBEINVEST,EQ,02-Jan-2006,586.05,593.00,599.00,585.05,588.00,592.45,593.67,12343,73.28,-,11206,90.79
TUBEINVEST,EQ,03-Jan-2006,592.45,590.20,598.00,585.00,588.20,592.75,590.03,3884,22.92,-,3204,82.49
TUBEINVEST,EQ,04-Jan-2006,592.75,587.00,593.00,576.00,580.00,580.10,584.66,3132,18.31,-,2957,94.41
TUBEINVEST,EQ,05-Jan-2006,580.10,580.00,584.00,574.95,584.00,575.10,576.11,3234,18.63,-,2954,91.34
TUBEINVEST,EQ,06-Jan-2006,575.10,595.00,609.00,580.00,604.00,601.60,596.88,7299,43.57,-,6342,86.89
TUBEINVEST,EQ,09-Jan-2006,601.60,600.00,611.00,590.00,600.00,601.40,602.78,6943,41.85,-,4975,71.65
TUBEINVEST,EQ,10-Jan-2006,601.40,603.00,615.00,603.00,603.10,604.75,607.75,3869,23.51,-,2257,58.34
TUBEINVEST,EQ,12-Jan-2006,604.75,581.10,605.00,581.10,593.50,598.15,600.24,7879,47.29,-,5878,74.60
TUBEINVEST,EQ,13-Jan-2006,598.15,605.10,607.95,597.15,597.15,598.15,600.40,2118,12.72,-,1611,76.06
TUBEINVEST,EQ,16-Jan-2006,598.15,600.00,614.00,595.00,600.00,607.90,606.06,4268,25.87,-,2972,69.63
TUBEINVEST,EQ,17-Jan-2006,607.90,616.00,616.00,591.00,595.10,599.80,600.40,28620,171.83,-,27823,97.22
TUBEINVEST,EQ,18-Jan-2006,599.80,613.00,613.00,591.35,605.10,604.05,602.02,5684,34.22,-,4582,80.61
TUBEINVEST,EQ,19-Jan-2006,604.05,610.00,633.70,610.00,618.25,619.85,624.46,41096,256.63,-,22792,55.46
TUBEINVEST,EQ,20-Jan-2006,619.85,630.00,630.00,615.00,620.05,622.60,623.47,7013,43.72,-,5083,72.48
TUBEINVEST,EQ,23-Jan-2006,622.60,627.95,629.70,613.50,620.00,620.55,621.85,5012,31.17,-,4589,91.56
TUBEINVEST,EQ,24-Jan-2006,620.55,624.50,625.00,605.10,620.00,619.70,619.03,6821,42.22,-,5476,80.28
TUBEINVEST,EQ,25-Jan-2006,619.70,638.95,638.95,620.00,630.00,627.90,626.28,68557,429.36,-,56588,82.54
TUBEINVEST,EQ,27-Jan-2006,627.90,649.00,649.00,618.00,622.95,621.80,630.65,16873,106.41,-,11030,65.37
TUBEINVEST,EQ,30-Jan-2006,621.80,627.00,629.00,585.00,595.85,593.90,605.11,15280,92.46,-,13060,85.47
TUBEINVEST,EQ,31-Jan-2006,593.90,582.00,608.90,582.00,596.00,593.90,597.78,10778,64.43,-,8088,75.04
TUBEINVEST,EQ,01-Feb-2006,593.90,600.00,603.45,573.05,573.20,576.60,594.63,12596,74.90,-,10539,83.67
TUBEINVEST,EQ,02-Feb-2006,576.60,582.00,586.85,570.00,575.00,575.95,578.48,3992,23.09,-,2917,73.07
TUBEINVEST,EQ,03-Feb-2006,575.95,580.00,584.95,571.50,577.50,579.55,579.65,2960,17.16,-,2471,83.48
