Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TVSMOTOR,EQ,02-Jan-2006,100.15,101.00,101.50,98.50,99.25,99.10,100.28,373730,374.77,-,205495,54.98
TVSMOTOR,EQ,03-Jan-2006,99.10,99.95,103.40,99.95,102.70,102.95,101.79,518479,527.78,-,279325,53.87
TVSMOTOR,EQ,04-Jan-2006,102.95,103.95,107.95,102.70,107.05,107.15,104.93,920844,966.26,-,533064,57.89
TVSMOTOR,EQ,05-Jan-2006,107.15,107.80,111.00,106.55,110.55,110.10,109.35,895623,979.36,-,322402,36.00
TVSMOTOR,EQ,06-Jan-2006,110.10,110.90,113.50,109.40,110.50,111.60,111.88,1045090,1169.29,-,600464,57.46
TVSMOTOR,EQ,09-Jan-2006,111.60,119.90,119.90,111.00,113.55,113.85,114.79,1573873,1806.69,-,763406,48.50
TVSMOTOR,EQ,10-Jan-2006,113.85,114.65,116.90,112.65,116.00,114.55,113.97,635489,724.26,-,336666,52.98
TVSMOTOR,EQ,12-Jan-2006,114.55,106.30,115.45,106.30,111.35,111.60,113.16,282479,319.65,-,76773,27.18
TVSMOTOR,EQ,13-Jan-2006,111.60,111.50,113.90,108.00,109.50,109.10,110.64,339281,375.37,-,141931,41.83
TVSMOTOR,EQ,16-Jan-2006,109.10,110.05,110.70,107.30,107.30,108.00,109.43,181707,198.85,-,77529,42.67
TVSMOTOR,EQ,17-Jan-2006,108.00,108.30,110.50,105.40,110.50,108.15,107.32,268000,287.63,-,133008,49.63
TVSMOTOR,EQ,18-Jan-2006,108.15,108.90,109.50,105.20,108.70,108.65,107.49,137415,147.71,-,53835,39.18
TVSMOTOR,EQ,19-Jan-2006,108.65,111.30,111.30,109.00,109.45,109.85,109.80,84621,92.92,-,34648,40.94
TVSMOTOR,EQ,20-Jan-2006,109.85,110.75,110.90,107.10,109.00,109.00,109.73,100144,109.89,-,49015,48.94
TVSMOTOR,EQ,23-Jan-2006,109.00,108.70,115.45,106.80,110.75,110.40,111.57,857397,956.63,-,284781,33.21
TVSMOTOR,EQ,24-Jan-2006,110.40,112.20,113.35,109.10,109.50,110.05,111.82,139203,155.66,-,60388,43.38
TVSMOTOR,EQ,25-Jan-2006,110.05,111.00,112.00,108.60,110.25,110.20,109.91,124829,137.21,-,60638,48.58
TVSMOTOR,EQ,27-Jan-2006,110.20,110.00,111.90,107.00,109.50,109.70,110.08,192708,212.13,-,67485,35.02
TVSMOTOR,EQ,30-Jan-2006,109.70,110.10,113.00,109.10,111.00,110.30,110.60,157228,173.89,-,76126,48.42
TVSMOTOR,EQ,31-Jan-2006,110.30,111.45,117.85,109.20,117.15,116.80,114.36,723691,827.64,-,294649,40.71
TVSMOTOR,EQ,01-Feb-2006,116.80,118.70,119.65,115.05,116.40,116.65,117.67,1018593,1198.62,-,331455,32.54
TVSMOTOR,EQ,02-Feb-2006,116.65,117.10,119.00,115.50,116.00,116.00,117.26,313644,367.79,-,89888,28.66
TVSMOTOR,EQ,03-Feb-2006,116.00,115.50,123.30,114.20,121.25,120.90,119.89,863769,1035.53,-,344518,39.89
TVSMOTOR,EQ,06-Feb-2006,120.90,121.25,123.45,119.05,120.35,120.20,121.26,1158725,1405.07,-,431960,37.28
TVSMOTOR,EQ,07-Feb-2006,120.20,122.70,123.60,120.10,120.50,120.75,121.39,291882,354.32,-,93259,31.95
TVSMOTOR,EQ,08-Feb-2006,120.75,121.00,122.90,119.10,121.25,121.35,120.79,183881,222.12,-,60134,32.70
TVSMOTOR,EQ,10-Feb-2006,121.35,122.85,122.85,119.50,120.20,120.55,120.39,305478,367.77,-,150476,49.26
TVSMOTOR,EQ,13-Feb-2006,120.55,122.50,122.85,117.00,117.65,118.10,119.32,363591,433.83,-,235705,64.83
TVSMOTOR,EQ,14-Feb-2006,118.10,111.70,121.40,111.70,120.00,119.25,119.07,969368,1154.25,-,814171,83.99
TVSMOTOR,EQ,15-Feb-2006,119.25,120.05,122.00,118.50,119.00,119.05,119.40,289252,345.38,-,143565,49.63
TVSMOTOR,EQ,16-Feb-2006,119.05,120.50,125.60,119.05,123.45,122.90,123.47,862406,1064.82,-,209289,24.27
TVSMOTOR,EQ,17-Feb-2006,122.90,122.90,126.60,120.30,120.30,121.35,124.18,1038976,1290.24,-,290068,27.92
