Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UNIONBANK,EQ,02-Jan-2006,122.15,123.50,123.50,119.75,120.45,120.30,121.33,577217,700.32,-,207959,36.03
UNIONBANK,EQ,03-Jan-2006,120.30,121.40,122.50,121.10,121.30,121.75,121.79,432135,526.28,-,209900,48.57
UNIONBANK,EQ,04-Jan-2006,121.75,123.00,128.60,122.00,127.25,127.05,125.72,1696286,2132.49,-,774737,45.67
UNIONBANK,EQ,05-Jan-2006,127.05,128.00,136.95,128.00,136.15,135.95,133.73,2892762,3868.58,-,1000864,34.60
UNIONBANK,EQ,06-Jan-2006,135.95,137.00,137.40,134.55,136.40,136.45,135.98,1076164,1463.39,-,343678,31.94
UNIONBANK,EQ,09-Jan-2006,136.45,136.00,137.80,131.80,132.05,132.05,132.97,691975,920.10,-,279446,40.38
UNIONBANK,EQ,10-Jan-2006,132.05,132.55,136.30,130.10,131.40,130.55,132.71,867006,1150.61,-,244688,28.22
UNIONBANK,EQ,12-Jan-2006,130.55,129.00,134.10,127.50,131.05,130.90,131.43,743419,977.10,-,219059,29.47
UNIONBANK,EQ,13-Jan-2006,130.90,132.60,132.75,128.10,128.50,128.70,130.21,421744,549.14,-,151577,35.94
UNIONBANK,EQ,16-Jan-2006,128.70,130.40,130.40,125.00,125.30,125.65,126.44,325322,411.35,-,109768,33.74
UNIONBANK,EQ,17-Jan-2006,125.65,125.00,127.35,122.40,123.90,123.15,124.66,415947,518.52,-,163281,39.26
UNIONBANK,EQ,18-Jan-2006,123.15,120.80,124.00,118.80,121.85,121.35,120.75,801339,967.59,-,407725,50.88
UNIONBANK,EQ,19-Jan-2006,121.35,123.00,126.50,122.00,123.90,123.10,123.88,767424,950.71,-,363876,47.42
UNIONBANK,EQ,20-Jan-2006,123.10,124.80,126.00,121.25,122.15,121.70,123.36,936166,1154.86,-,445504,47.59
UNIONBANK,EQ,23-Jan-2006,121.70,123.00,123.80,120.10,122.15,122.05,122.25,544761,665.95,-,208178,38.21
UNIONBANK,EQ,24-Jan-2006,122.05,124.75,134.55,123.60,124.70,124.55,125.70,1902830,2391.84,-,604918,31.79
UNIONBANK,EQ,25-Jan-2006,124.55,126.00,126.85,117.50,124.00,119.90,121.50,2595261,3153.20,-,1122618,43.26
UNIONBANK,EQ,27-Jan-2006,119.90,133.80,133.80,123.10,125.50,124.70,125.02,1464163,1830.51,-,711812,48.62
UNIONBANK,EQ,30-Jan-2006,124.70,126.40,127.90,120.90,123.15,123.00,122.93,597325,734.32,-,217425,36.40
UNIONBANK,EQ,31-Jan-2006,123.00,123.50,125.25,123.00,124.00,123.80,124.01,483856,600.05,-,143765,29.71
UNIONBANK,EQ,01-Feb-2006,123.80,124.00,125.80,119.05,121.25,120.60,122.51,988540,1211.03,-,408727,41.35
UNIONBANK,EQ,02-Feb-2006,120.60,122.45,122.45,120.00,121.50,120.80,120.95,1170623,1415.82,-,461349,39.41
UNIONBANK,EQ,03-Feb-2006,120.80,122.00,123.00,120.40,121.15,120.95,121.84,428804,522.44,-,153051,35.69
UNIONBANK,EQ,06-Feb-2006,120.95,122.00,122.40,118.60,119.45,119.05,120.42,838243,1009.37,-,435005,51.89
UNIONBANK,EQ,07-Feb-2006,119.05,119.00,123.80,119.00,122.00,122.05,122.18,845076,1032.54,-,170051,20.12
UNIONBANK,EQ,08-Feb-2006,122.05,123.30,123.30,120.45,121.60,121.60,121.75,327731,399.01,-,89150,27.20
UNIONBANK,EQ,10-Feb-2006,121.60,122.00,125.00,121.25,123.30,123.80,123.11,1048772,1291.18,-,396040,37.76
