Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VADILALIND,EQ,15-Jun-2011,164.50,169.70,183.70,155.55,163.00,162.25,167.91,518845,871.20,12516,32215,6.21
VADILALIND,EQ,16-Jun-2011,162.25,163.40,174.00,156.95,170.00,170.20,167.16,58236,97.35,1640,18301,31.43
VADILALIND,EQ,17-Jun-2011,170.20,175.70,179.80,162.10,162.30,165.30,170.94,44879,76.71,1175,11397,25.39
VADILALIND,EQ,20-Jun-2011,165.30,167.45,167.45,155.00,156.00,156.30,158.24,8742,13.83,213,4753,54.37
VADILALIND,EQ,21-Jun-2011,156.30,158.05,158.60,150.05,150.25,151.25,153.45,6831,10.48,247,3198,46.82
VADILALIND,EQ,22-Jun-2011,151.25,150.00,154.00,147.05,148.50,149.20,149.51,7141,10.68,209,3450,48.31
VADILALIND,EQ,23-Jun-2011,149.20,145.00,148.00,145.00,148.00,147.45,146.95,2897,4.26,68,2358,81.39
VADILALIND,EQ,24-Jun-2011,147.45,146.05,164.00,146.05,157.10,158.05,159.49,17783,28.36,428,5150,28.96
VADILALIND,EQ,27-Jun-2011,158.05,155.00,167.50,155.00,158.35,159.70,161.54,17861,28.85,348,10230,57.28
VADILALIND,EQ,28-Jun-2011,159.70,159.65,163.40,157.00,160.00,159.95,160.33,3208,5.14,52,2717,84.69
VADILALIND,EQ,29-Jun-2011,159.95,160.00,164.75,156.10,156.10,156.35,159.76,776,1.24,23,514,66.24
VADILALIND,EQ,30-Jun-2011,156.35,157.05,166.00,151.70,160.75,160.55,160.87,12417,19.98,300,5893,47.46
VADILALIND,EQ,01-Jul-2011,160.55,159.05,165.00,159.00,159.95,159.30,160.99,3364,5.42,97,2790,82.94
VADILALIND,EQ,04-Jul-2011,159.30,164.80,166.90,159.15,160.05,161.65,162.55,8970,14.58,134,3756,41.87
VADILALIND,EQ,05-Jul-2011,161.65,159.05,161.70,157.55,159.00,159.00,159.19,1830,2.91,35,1613,88.14
VADILALIND,EQ,06-Jul-2011,159.00,163.35,163.35,154.20,154.30,156.05,157.30,1180,1.86,39,410,34.75
VADILALIND,EQ,07-Jul-2011,156.05,163.50,163.50,158.00,162.95,162.95,160.33,2683,4.30,32,2310,86.10
VADILALIND,EQ,08-Jul-2011,162.95,162.00,173.70,159.30,165.00,164.15,167.75,19103,32.04,379,10238,53.59
VADILALIND,EQ,11-Jul-2011,164.15,166.95,168.00,159.10,160.60,162.85,164.11,7511,12.33,175,3706,49.34
VADILALIND,EQ,12-Jul-2011,162.85,162.90,163.80,157.10,160.00,159.85,160.27,4688,7.51,112,2525,53.86
VADILALIND,EQ,13-Jul-2011,159.85,164.70,165.95,161.10,163.95,163.30,163.48,4588,7.50,90,2184,47.60
VADILALIND,EQ,14-Jul-2011,163.30,162.30,172.00,162.30,165.00,165.60,167.58,6216,10.42,179,4161,66.94
VADILALIND,EQ,15-Jul-2011,165.60,170.45,172.00,165.10,168.00,167.85,168.33,10912,18.37,233,7859,72.02
VADILALIND,EQ,18-Jul-2011,167.85,169.70,171.95,165.10,168.00,168.50,169.22,15995,27.07,351,8786,54.93
VADILALIND,EQ,19-Jul-2011,168.50,165.00,168.90,161.70,162.00,162.25,164.59,12402,20.41,226,6316,50.93
VADILALIND,EQ,20-Jul-2011,162.25,162.50,164.45,160.00,160.00,160.00,161.72,1856,3.00,51,1731,93.27
VADILALIND,EQ,21-Jul-2011,160.00,156.25,169.95,156.25,164.05,164.15,166.22,24480,40.69,404,9036,36.91
VADILALIND,EQ,22-Jul-2011,164.15,164.45,168.70,164.30,164.30,164.80,166.36,2127,3.54,55,1489,70.00
VADILALIND,EQ,25-Jul-2011,164.80,167.00,167.00,163.05,163.10,163.40,164.24,3060,5.03,45,1837,60.03
VADILALIND,EQ,26-Jul-2011,163.40,161.90,163.00,157.05,158.00,158.05,160.21,2318,3.71,67,2196,94.74
VADILALIND,EQ,27-Jul-2011,158.05,159.00,164.90,157.25,164.90,161.45,159.84,3435,5.49,57,2417,70.36
VADILALIND,EQ,28-Jul-2011,161.45,159.30,163.80,155.85,158.00,157.30,158.80,6097,9.68,108,4298,70.49
VADILALIND,EQ,29-Jul-2011,157.30,155.00,159.95,155.00,156.05,156.10,158.61,2336,3.71,41,1486,63.61
VADILALIND,EQ,01-Aug-2011,156.10,159.00,159.00,153.65,155.00,155.00,156.36,4242,6.63,52,2366,55.78
VADILALIND,EQ,02-Aug-2011,155.00,153.00,155.00,149.05,149.05,150.15,151.44,4346,6.58,60,3790,87.21
VADILALIND,EQ,03-Aug-2011,150.15,149.65,151.50,147.45,151.45,150.05,149.59,4381,6.55,79,3331,76.03
VADILALIND,EQ,04-Aug-2011,150.05,125.25,154.00,125.25,150.00,150.00,151.19,5909,8.93,102,4398,74.43
VADILALIND,EQ,05-Aug-2011,150.00,146.75,154.85,141.10,149.90,149.90,149.06,11051,16.47,154,8832,79.92
VADILALIND,EQ,08-Aug-2011,149.90,144.00,144.50,140.00,143.90,143.15,142.48,5013,7.14,104,2673,53.32
VADILALIND,EQ,09-Aug-2011,143.15,139.95,141.75,130.25,132.50,135.10,136.66,13168,17.99,91,12434,94.43
VADILALIND,EQ,09-Aug-2011,143.15,139.95,141.75,130.25,132.50,135.10,136.66,13168,17.99,91,12434,94.43
VADILALIND,EQ,10-Aug-2011,135.10,139.90,140.00,135.00,136.00,136.20,136.65,3381,4.62,64,2095,61.96
VADILALIND,EQ,11-Aug-2011,136.20,135.15,137.00,135.00,135.00,135.00,135.19,1326,1.79,39,755,56.94
VADILALIND,EQ,12-Aug-2011,135.00,138.50,145.00,136.15,142.50,144.35,141.68,30763,43.58,201,27730,90.14
VADILALIND,EQ,16-Aug-2011,144.35,143.55,143.55,138.00,138.00,138.70,141.01,2821,3.98,54,1389,49.24
VADILALIND,EQ,17-Aug-2011,138.70,140.75,140.75,133.60,133.60,133.60,136.61,774,1.06,28,683,88.24
VADILALIND,EQ,18-Aug-2011,133.60,134.40,138.00,122.50,125.20,126.25,130.44,5700,7.43,96,4192,73.54
VADILALIND,EQ,19-Aug-2011,126.25,129.90,130.00,125.05,127.05,127.10,127.80,1699,2.17,46,903,53.15
VADILALIND,EQ,22-Aug-2011,127.10,130.05,133.90,125.10,126.00,126.10,126.50,99,0.13,17,70,70.71
VADILALIND,EQ,23-Aug-2011,126.10,124.10,132.65,123.95,127.50,127.55,127.90,3347,4.28,63,879,26.26
VADILALIND,EQ,24-Aug-2011,127.55,129.80,129.90,126.05,126.05,126.05,128.39,650,0.83,6,400,61.54
VADILALIND,EQ,25-Aug-2011,126.05,128.65,129.70,119.70,128.45,126.20,126.55,1908,2.41,105,1489,78.04
VADILALIND,EQ,26-Aug-2011,126.20,128.90,128.90,123.10,123.10,123.20,124.95,741,0.93,18,663,89.47
VADILALIND,EQ,29-Aug-2011,123.20,123.50,127.90,123.00,123.00,124.70,124.10,258,0.32,9,142,55.04
VADILALIND,EQ,30-Aug-2011,124.70,131.55,131.55,122.30,126.10,126.40,127.06,1582,2.01,51,757,47.85
VADILALIND,EQ,02-Sep-2011,126.40,122.35,129.50,122.35,125.10,125.10,124.74,835,1.04,15,634,75.93
VADILALIND,EQ,05-Sep-2011,125.10,123.00,127.65,122.30,125.00,125.45,124.80,466,0.58,27,300,64.38
