Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VENKEYS,EQ,02-Jan-2006,185.35,186.10,191.00,186.00,190.95,189.85,188.33,12529,23.60,-,8279,66.08
VENKEYS,EQ,03-Jan-2006,189.85,200.00,207.95,195.35,201.00,200.90,202.30,55343,111.96,-,35224,63.65
VENKEYS,EQ,04-Jan-2006,200.90,203.00,212.00,195.00,195.25,197.00,202.49,40614,82.24,-,21771,53.60
VENKEYS,EQ,05-Jan-2006,197.00,198.00,198.00,192.00,193.65,194.05,194.09,10584,20.54,-,6411,60.57
VENKEYS,EQ,06-Jan-2006,194.05,197.50,197.50,193.00,194.00,194.05,194.51,7644,14.87,-,4987,65.24
VENKEYS,EQ,09-Jan-2006,194.05,194.05,198.90,194.05,198.25,197.50,197.08,13841,27.28,-,10106,73.01
VENKEYS,EQ,10-Jan-2006,197.50,196.75,198.00,195.00,197.00,195.95,196.06,19538,38.31,-,15330,78.46
VENKEYS,EQ,12-Jan-2006,195.95,192.00,196.00,192.00,192.95,192.90,193.13,7691,14.85,-,6437,83.70
VENKEYS,EQ,13-Jan-2006,192.90,192.00,198.00,191.60,193.75,192.95,193.38,14347,27.74,-,10680,74.44
VENKEYS,EQ,16-Jan-2006,192.95,199.90,199.90,191.10,191.65,191.70,192.99,16052,30.98,-,9101,56.70
VENKEYS,EQ,17-Jan-2006,191.70,191.55,194.50,184.00,185.50,185.60,187.96,22937,43.11,-,17222,75.08
VENKEYS,EQ,18-Jan-2006,185.60,183.95,186.10,180.65,183.00,182.85,183.08,6960,12.74,-,5972,85.80
VENKEYS,EQ,19-Jan-2006,182.85,184.00,188.00,183.00,183.00,184.15,184.70,10547,19.48,-,8281,78.52
VENKEYS,EQ,20-Jan-2006,184.15,194.85,194.90,186.60,187.00,187.70,188.89,9332,17.63,-,6633,71.08
VENKEYS,EQ,23-Jan-2006,187.70,190.50,191.00,186.00,188.00,186.75,187.93,5239,9.85,-,3816,72.84
VENKEYS,EQ,24-Jan-2006,186.75,187.90,187.95,181.00,181.00,182.20,183.96,6872,12.64,-,5386,78.38
VENKEYS,EQ,25-Jan-2006,182.20,182.00,186.00,176.25,176.35,177.05,179.36,19039,34.15,-,17144,90.05
VENKEYS,EQ,27-Jan-2006,177.05,180.50,182.00,175.00,175.50,175.95,177.31,10594,18.78,-,8494,80.18
