Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VESUVIUS,EQ,02-Jan-2006,258.35,260.00,272.00,259.05,267.00,267.10,265.95,20869,55.50,-,12633,60.53
VESUVIUS,EQ,03-Jan-2006,267.10,267.00,278.00,267.00,272.00,271.15,272.06,30579,83.19,-,21658,70.83
VESUVIUS,EQ,04-Jan-2006,271.15,271.20,276.70,271.20,274.00,273.25,273.48,19910,54.45,-,14588,73.27
VESUVIUS,EQ,05-Jan-2006,273.25,273.00,273.95,269.00,271.05,271.20,270.92,6173,16.72,-,5288,85.66
VESUVIUS,EQ,06-Jan-2006,271.20,274.90,274.90,262.30,264.50,265.90,266.00,8940,23.78,-,7146,79.93
VESUVIUS,EQ,09-Jan-2006,265.90,299.00,299.00,262.00,264.00,264.05,265.61,16075,42.70,-,12635,78.60
VESUVIUS,EQ,10-Jan-2006,264.05,268.40,268.40,260.00,261.15,261.80,262.17,11958,31.35,-,10726,89.70
VESUVIUS,EQ,12-Jan-2006,261.80,258.55,268.00,258.55,264.25,262.15,261.85,9787,25.63,-,6769,69.16
VESUVIUS,EQ,13-Jan-2006,262.15,266.85,277.50,262.05,270.80,271.25,268.13,52099,139.70,-,41056,78.80
VESUVIUS,EQ,16-Jan-2006,271.25,270.75,274.95,265.00,266.90,266.50,269.03,4788,12.88,-,3685,76.96
VESUVIUS,EQ,17-Jan-2006,266.50,268.00,269.00,261.00,261.00,261.20,264.49,7501,19.84,-,5956,79.40
VESUVIUS,EQ,18-Jan-2006,261.20,261.95,262.00,258.00,260.00,259.75,260.67,8860,23.10,-,7525,84.93
VESUVIUS,EQ,19-Jan-2006,259.75,265.00,265.00,260.00,263.00,263.35,263.31,2707,7.13,-,1920,70.93
VESUVIUS,EQ,20-Jan-2006,263.35,267.75,267.75,261.00,262.25,264.40,263.43,15364,40.47,-,12134,78.98
VESUVIUS,EQ,23-Jan-2006,264.40,264.85,268.90,258.00,258.00,261.70,263.46,4909,12.93,-,3351,68.26
VESUVIUS,EQ,24-Jan-2006,261.70,263.05,266.00,258.00,259.50,258.05,260.70,4919,12.82,-,3760,76.44
VESUVIUS,EQ,25-Jan-2006,258.05,265.90,265.90,255.00,258.80,257.00,258.01,4824,12.45,-,3201,66.36
VESUVIUS,EQ,27-Jan-2006,257.00,263.40,271.00,258.50,266.05,267.45,265.74,17495,46.49,-,12602,72.03
VESUVIUS,EQ,30-Jan-2006,267.45,288.00,288.00,260.10,260.10,262.65,264.96,5755,15.25,-,3841,66.74
VESUVIUS,EQ,31-Jan-2006,262.65,258.65,266.45,255.60,256.50,256.40,258.52,6089,15.74,-,4330,71.11
VESUVIUS,EQ,01-Feb-2006,256.40,271.00,271.00,250.30,254.00,255.05,255.06,9986,25.47,-,7603,76.14
VESUVIUS,EQ,02-Feb-2006,255.05,255.00,255.00,245.25,248.00,247.85,249.54,8124,20.27,-,6755,83.15
VESUVIUS,EQ,03-Feb-2006,247.85,256.90,256.90,232.30,241.50,241.40,241.46,12058,29.12,-,4896,40.60
VESUVIUS,EQ,06-Feb-2006,241.40,251.90,251.90,244.00,249.00,245.75,247.18,6770,16.73,-,5200,76.81
VESUVIUS,EQ,07-Feb-2006,245.75,250.00,250.00,244.50,248.00,247.10,247.27,14584,36.06,-,12725,87.25
VESUVIUS,EQ,08-Feb-2006,247.10,247.00,249.00,242.00,244.80,243.00,245.38,4809,11.80,-,3490,72.57
VESUVIUS,EQ,10-Feb-2006,243.00,246.00,248.00,243.50,245.00,246.25,246.32,10194,25.11,-,7999,78.47
VESUVIUS,EQ,13-Feb-2006,246.25,250.00,251.90,245.00,245.20,247.35,249.86,158201,395.28,-,138384,87.47
VESUVIUS,EQ,14-Feb-2006,247.35,249.00,252.70,245.00,245.00,245.65,249.95,59531,148.80,-,54420,91.41
VESUVIUS,EQ,15-Feb-2006,245.65,249.00,249.75,245.00,245.00,245.50,246.08,8447,20.79,-,5790,68.55
VESUVIUS,EQ,16-Feb-2006,245.50,246.35,249.65,244.15,244.50,246.35,247.46,3212,7.95,-,2060,64.13
VESUVIUS,EQ,17-Feb-2006,246.35,246.45,261.75,246.45,248.00,249.00,249.72,175230,437.59,-,130419,74.43
VESUVIUS,EQ,20-Feb-2006,249.00,252.80,254.90,244.10,246.60,246.10,248.41,5665,14.07,-,2951,52.09
VESUVIUS,EQ,21-Feb-2006,246.10,280.00,280.00,245.00,246.00,246.20,249.95,19874,49.67,-,11841,59.58
VESUVIUS,EQ,22-Feb-2006,246.20,246.20,249.75,239.00,239.00,241.15,243.46,7819,19.04,-,4698,60.08
VESUVIUS,EQ,23-Feb-2006,241.15,243.00,244.95,240.00,241.00,240.80,241.85,4054,9.80,-,2897,71.46
