Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VIDHIDYE,EQ,02-Mar-2016,58.60,61.90,61.90,58.00,58.00,59.50,60.38,38803,23.43,179,29806,76.81
VIDHIDYE,EQ,03-Mar-2016,59.50,59.80,59.95,56.15,58.00,57.95,57.94,45216,26.20,223,34964,77.33
VIDHIDYE,EQ,04-Mar-2016,57.95,58.00,59.00,56.10,56.20,56.65,57.31,28755,16.48,118,22549,78.42
VIDHIDYE,EQ,08-Mar-2016,56.65,59.50,59.50,55.50,57.00,56.05,56.45,25462,14.37,147,19187,75.36
VIDHIDYE,EQ,09-Mar-2016,56.05,55.55,58.00,55.20,57.85,57.35,56.45,3849,2.17,73,2098,54.51
VIDHIDYE,EQ,10-Mar-2016,57.35,59.00,64.80,57.00,59.85,59.00,59.65,13050,7.78,88,6136,47.02
VIDHIDYE,EQ,11-Mar-2016,59.00,57.50,59.60,57.00,59.60,58.70,58.29,12316,7.18,107,7902,64.16
VIDHIDYE,EQ,14-Mar-2016,58.70,59.95,60.00,57.00,58.00,58.00,57.96,67125,38.90,229,55325,82.42
VIDHIDYE,EQ,15-Mar-2016,58.00,57.35,58.00,56.75,57.35,57.25,57.42,7590,4.36,58,5715,75.30
VIDHIDYE,EQ,16-Mar-2016,57.25,56.25,58.50,55.50,58.00,57.25,56.52,15585,8.81,103,13058,83.79
VIDHIDYE,EQ,17-Mar-2016,57.25,57.60,58.50,55.50,58.40,57.65,57.88,7845,4.54,100,5222,66.56
VIDHIDYE,EQ,18-Mar-2016,57.65,58.75,58.75,57.35,57.60,57.60,57.88,2577,1.49,58,2308,89.56
VIDHIDYE,EQ,21-Mar-2016,57.60,58.40,58.40,56.30,56.30,56.75,56.95,42070,23.96,181,34600,82.24
VIDHIDYE,EQ,22-Mar-2016,56.75,55.85,57.35,55.80,57.25,56.65,56.77,22682,12.88,176,16745,73.83
VIDHIDYE,EQ,23-Mar-2016,56.65,57.40,66.00,56.15,64.45,64.25,64.08,142254,91.16,1542,72270,50.80
VIDHIDYE,EQ,28-Mar-2016,64.25,66.70,67.50,63.50,64.60,64.20,65.50,64996,42.58,667,43328,66.66
VIDHIDYE,EQ,29-Mar-2016,64.20,64.15,66.00,63.00,63.10,63.95,64.15,56093,35.99,322,41530,74.04
VIDHIDYE,EQ,30-Mar-2016,63.95,64.95,68.00,64.60,67.20,67.15,66.20,32367,21.43,319,23248,71.83
VIDHIDYE,EQ,31-Mar-2016,67.15,67.85,68.90,64.00,65.55,65.15,67.42,29951,20.19,246,21817,72.84
VIDHIDYE,EQ,01-Apr-2016,65.15,66.00,66.00,64.05,65.80,65.25,65.17,19878,12.95,166,13558,68.21
VIDHIDYE,EQ,04-Apr-2016,65.25,67.45,68.15,64.95,68.00,67.85,66.66,36865,24.57,355,23446,63.60
VIDHIDYE,EQ,05-Apr-2016,67.85,68.95,68.95,62.00,65.20,65.40,66.22,17371,11.50,208,11418,65.73
VIDHIDYE,EQ,06-Apr-2016,65.40,69.95,74.20,65.75,71.00,71.85,71.20,192092,136.76,2039,79116,41.19
VIDHIDYE,EQ,07-Apr-2016,71.85,70.25,72.95,68.50,69.55,68.95,69.77,38241,26.68,555,19484,50.95
VIDHIDYE,EQ,08-Apr-2016,68.95,68.05,69.90,67.80,68.40,68.35,68.55,34672,23.77,358,22315,64.36
VIDHIDYE,EQ,11-Apr-2016,68.35,69.00,72.00,69.00,70.00,71.65,71.05,96277,68.41,463,73937,76.80
VIDHIDYE,EQ,12-Apr-2016,71.65,70.90,73.80,69.55,72.65,72.15,72.63,129718,94.21,593,99955,77.06
VIDHIDYE,EQ,13-Apr-2016,72.15,73.70,73.75,70.00,70.00,70.05,71.16,35905,25.55,360,24335,67.78
VIDHIDYE,EQ,18-Apr-2016,70.05,71.40,71.45,69.05,69.45,69.30,69.85,37903,26.48,279,30202,79.68
VIDHIDYE,EQ,20-Apr-2016,69.30,70.00,72.00,67.00,67.55,67.70,68.35,23835,16.29,244,18055,75.75
VIDHIDYE,EQ,21-Apr-2016,67.70,69.05,70.00,68.00,69.65,68.65,68.66,39977,27.45,333,32061,80.20
VIDHIDYE,EQ,22-Apr-2016,68.65,67.30,68.90,66.60,67.35,66.80,67.84,29010,19.68,280,21785,75.09
VIDHIDYE,EQ,25-Apr-2016,66.80,67.25,68.00,66.00,66.10,66.25,66.81,31770,21.22,341,21511,67.71
VIDHIDYE,EQ,26-Apr-2016,66.25,65.45,68.80,65.25,66.20,66.30,67.40,16203,10.92,233,7970,49.19
VIDHIDYE,EQ,27-Apr-2016,66.30,66.30,68.50,66.20,66.90,67.55,67.38,26376,17.77,286,18578,70.44
VIDHIDYE,EQ,28-Apr-2016,67.55,67.80,67.80,64.00,66.35,65.05,65.81,15329,10.09,219,9198,60.00
VIDHIDYE,EQ,29-Apr-2016,65.05,65.60,67.90,65.50,65.65,65.80,66.53,32181,21.41,310,18635,57.91
VIDHIDYE,EQ,02-May-2016,65.80,66.55,66.90,65.30,65.50,65.95,66.24,12556,8.32,123,10138,80.74
VIDHIDYE,EQ,03-May-2016,65.95,65.25,67.75,63.50,64.00,64.25,64.93,26528,17.22,237,22438,84.58
VIDHIDYE,EQ,04-May-2016,64.25,62.55,64.50,61.00,62.05,62.00,62.33,88440,55.13,632,51777,58.54
VIDHIDYE,EQ,05-May-2016,62.00,62.00,66.40,62.00,62.55,62.50,62.63,19552,12.25,188,12390,63.37
VIDHIDYE,EQ,06-May-2016,62.50,63.80,63.80,60.00,62.20,62.00,61.36,23108,14.18,325,11719,50.71
VIDHIDYE,EQ,09-May-2016,62.00,63.95,63.95,60.70,61.85,61.15,62.08,18101,11.24,148,14098,77.89
VIDHIDYE,EQ,10-May-2016,61.15,59.10,64.25,59.10,62.05,62.35,62.13,9788,6.08,131,5555,56.75
VIDHIDYE,EQ,11-May-2016,62.35,62.00,63.40,58.00,61.85,60.75,62.07,17002,10.55,178,7984,46.96
VIDHIDYE,EQ,12-May-2016,60.75,60.50,63.00,60.50,61.80,61.55,62.13,15198,9.44,144,11160,73.43
VIDHIDYE,EQ,13-May-2016,61.55,59.30,62.95,57.00,62.75,62.45,62.09,21973,13.64,180,14490,65.94
VIDHIDYE,EQ,16-May-2016,62.45,61.00,62.90,60.00,61.60,61.80,62.01,36005,22.33,164,29589,82.18
VIDHIDYE,EQ,17-May-2016,61.80,63.45,63.45,61.00,61.50,61.40,61.95,20674,12.81,179,15911,76.96
VIDHIDYE,EQ,18-May-2016,61.40,62.40,62.45,60.00,60.30,60.75,60.99,29948,18.27,210,25223,84.22
VIDHIDYE,EQ,19-May-2016,60.75,62.80,62.80,58.00,59.95,59.90,59.70,53176,31.75,429,35510,66.78
VIDHIDYE,EQ,20-May-2016,59.90,62.05,62.05,59.60,60.45,60.10,60.28,62452,37.65,562,40587,64.99
VIDHIDYE,EQ,23-May-2016,60.10,61.85,62.20,60.00,61.90,61.60,61.69,16419,10.13,173,13110,79.85
VIDHIDYE,EQ,24-May-2016,61.60,61.70,65.75,61.70,64.95,65.05,64.21,78919,50.67,689,51418,65.15
VIDHIDYE,EQ,25-May-2016,65.05,66.00,66.75,61.60,61.90,61.90,63.20,88778,56.11,750,62532,70.44
VIDHIDYE,EQ,26-May-2016,61.90,62.80,62.80,59.35,60.05,60.20,60.62,54764,33.20,454,40448,73.86
VIDHIDYE,EQ,27-May-2016,60.20,61.95,62.50,54.45,56.00,55.75,57.68,312118,180.02,3099,160099,51.29
VIDHIDYE,EQ,30-May-2016,55.75,56.00,56.00,50.50,53.90,53.60,52.07,176585,91.95,1997,80270,45.46
VIDHIDYE,EQ,31-May-2016,53.60,53.20,55.90,51.20,55.60,55.15,54.00,105932,57.20,1156,44216,41.74
VIDHIDYE,EQ,01-Jun-2016,55.15,56.00,56.90,55.00,56.85,56.25,56.27,34077,19.17,477,21767,63.88
VIDHIDYE,EQ,02-Jun-2016,56.25,55.95,56.85,54.00,54.70,54.90,54.63,27026,14.76,474,16106,59.59
VIDHIDYE,EQ,03-Jun-2016,54.90,56.00,56.00,53.10,53.30,53.35,53.90,37468,20.19,339,26909,71.82
VIDHIDYE,EQ,06-Jun-2016,53.35,53.00,54.00,52.10,52.25,52.40,52.84,24424,12.91,247,19505,79.86
VIDHIDYE,EQ,07-Jun-2016,52.40,53.85,54.00,52.10,53.50,52.95,52.95,29556,15.65,329,21574,72.99
VIDHIDYE,EQ,08-Jun-2016,52.95,55.50,56.25,53.10,55.60,55.80,55.39,61193,33.90,677,37631,61.50
VIDHIDYE,EQ,09-Jun-2016,55.80,54.55,55.50,53.30,55.10,54.90,54.59,27047,14.76,266,20708,76.56
VIDHIDYE,EQ,10-Jun-2016,54.90,54.50,55.40,46.20,55.00,54.65,53.48,52672,28.17,648,20683,39.27
VIDHIDYE,EQ,13-Jun-2016,54.65,52.50,54.85,52.25,54.00,54.20,53.26,17695,9.42,263,11606,65.59
VIDHIDYE,EQ,14-Jun-2016,54.20,53.00,55.85,53.00,55.50,54.75,54.42,47420,25.81,393,33570,70.79
VIDHIDYE,EQ,15-Jun-2016,54.75,55.00,59.95,54.00,57.35,57.60,58.28,202161,117.82,1728,97285,48.12
VIDHIDYE,EQ,16-Jun-2016,57.60,58.25,59.45,56.40,57.50,57.15,58.06,87950,51.06,596,58666,66.70
VIDHIDYE,EQ,17-Jun-2016,57.15,58.90,58.90,56.00,56.20,56.40,56.79,28121,15.97,376,21867,77.76
VIDHIDYE,EQ,20-Jun-2016,56.40,56.50,57.80,54.50,56.05,56.25,56.59,31789,17.99,303,21080,66.31
VIDHIDYE,EQ,21-Jun-2016,56.25,57.20,57.75,55.15,55.50,55.35,55.86,19023,10.63,236,12647,66.48
VIDHIDYE,EQ,22-Jun-2016,55.35,55.40,56.90,53.70,53.90,54.10,54.72,33057,18.09,476,25465,77.03
VIDHIDYE,EQ,23-Jun-2016,54.10,55.50,57.00,53.00,53.75,54.15,54.76,36986,20.25,514,19382,52.40
VIDHIDYE,EQ,24-Jun-2016,54.15,52.00,53.85,50.60,53.50,53.15,52.49,69950,36.72,735,44953,64.26
VIDHIDYE,EQ,27-Jun-2016,53.15,53.25,54.80,53.00,54.15,54.15,54.20,15469,8.38,216,13193,85.29
VIDHIDYE,EQ,28-Jun-2016,54.15,53.60,55.45,53.60,54.00,54.35,54.30,26793,14.55,359,20827,77.73
VIDHIDYE,EQ,29-Jun-2016,54.35,54.95,55.05,54.00,54.15,54.60,54.69,43243,23.65,485,30149,69.72
VIDHIDYE,EQ,30-Jun-2016,54.60,55.00,56.00,54.20,55.45,55.35,55.38,23089,12.79,242,17898,77.52
VIDHIDYE,EQ,01-Jul-2016,55.35,55.30,56.05,54.00,54.80,54.85,54.95,29408,16.16,444,16300,55.43
VIDHIDYE,EQ,04-Jul-2016,54.85,55.90,55.90,54.20,54.20,54.50,54.81,26613,14.59,255,18503,69.53
VIDHIDYE,EQ,05-Jul-2016,54.50,54.95,54.95,53.55,54.20,53.70,54.06,27227,14.72,264,21337,78.37
VIDHIDYE,EQ,07-Jul-2016,53.70,53.50,55.50,53.50,54.50,54.35,54.29,16602,9.01,136,11793,71.03
VIDHIDYE,EQ,08-Jul-2016,54.35,54.10,54.90,53.15,53.20,53.75,53.98,26745,14.44,231,19232,71.91
VIDHIDYE,EQ,11-Jul-2016,53.75,54.50,55.50,53.25,54.70,54.55,54.73,27457,15.03,246,16416,59.79
VIDHIDYE,EQ,12-Jul-2016,54.55,55.55,55.80,54.40,55.25,55.00,55.27,40316,22.28,365,30241,75.01
VIDHIDYE,EQ,13-Jul-2016,55.00,55.80,55.90,53.20,53.35,53.55,53.79,45960,24.72,313,33563,73.03
VIDHIDYE,EQ,14-Jul-2016,53.55,54.85,54.85,51.55,52.95,52.65,52.76,38945,20.55,286,30220,77.60
VIDHIDYE,EQ,15-Jul-2016,52.65,52.30,53.35,52.10,52.90,52.75,52.59,21241,11.17,159,14984,70.54
VIDHIDYE,EQ,18-Jul-2016,52.75,52.80,53.45,52.05,52.20,52.20,52.45,45317,23.77,290,37042,81.74
VIDHIDYE,EQ,19-Jul-2016,52.20,52.30,58.50,49.45,55.65,55.30,54.41,244993,133.29,1842,124809,50.94
VIDHIDYE,EQ,20-Jul-2016,55.30,54.30,57.00,54.30,56.00,56.05,56.23,77814,43.76,650,47892,61.55
VIDHIDYE,EQ,21-Jul-2016,56.05,56.00,56.55,54.45,54.60,54.65,55.10,37144,20.47,315,29506,79.44
VIDHIDYE,EQ,22-Jul-2016,54.65,54.10,55.40,54.10,54.30,54.40,54.75,20528,11.24,205,12678,61.76
VIDHIDYE,EQ,25-Jul-2016,54.40,54.00,54.40,52.60,53.80,53.70,53.40,77364,41.31,571,53654,69.35
VIDHIDYE,EQ,26-Jul-2016,53.70,54.10,55.50,53.25,53.30,53.55,54.16,32269,17.48,398,17743,54.98
VIDHIDYE,EQ,27-Jul-2016,53.55,54.50,54.50,53.00,54.00,53.80,53.67,15060,8.08,141,10536,69.96
VIDHIDYE,EQ,28-Jul-2016,53.80,62.20,64.00,58.35,59.10,59.15,60.50,1164362,704.38,9406,412044,35.39
VIDHIDYE,EQ,29-Jul-2016,59.15,59.50,59.90,57.50,58.45,58.50,58.33,118377,69.05,1267,64870,54.80
VIDHIDYE,EQ,01-Aug-2016,58.50,59.95,59.95,57.50,58.00,58.80,58.91,125928,74.18,828,83539,66.34
VIDHIDYE,EQ,02-Aug-2016,58.80,59.20,59.50,57.60,58.00,58.00,58.45,51764,30.26,403,34729,67.09
VIDHIDYE,EQ,03-Aug-2016,58.00,58.00,58.00,56.05,56.25,56.65,56.71,49826,28.26,498,30900,62.02
VIDHIDYE,EQ,04-Aug-2016,56.65,57.10,57.40,54.00,55.35,55.35,55.59,53646,29.82,620,34119,63.60
VIDHIDYE,EQ,05-Aug-2016,55.35,55.35,56.40,54.60,55.45,55.00,55.50,60334,33.48,538,40946,67.87
VIDHIDYE,EQ,08-Aug-2016,55.00,55.75,55.75,54.50,54.60,54.80,55.08,34431,18.97,364,20385,59.21
VIDHIDYE,EQ,09-Aug-2016,54.80,54.50,55.35,54.30,55.25,54.95,54.83,39156,21.47,296,25364,64.78
VIDHIDYE,EQ,10-Aug-2016,54.95,55.50,55.75,54.10,54.50,54.20,54.85,51275,28.13,386,35210,68.67
VIDHIDYE,EQ,11-Aug-2016,54.20,54.00,55.50,54.00,55.25,54.85,54.82,46435,25.46,282,36096,77.73
VIDHIDYE,EQ,12-Aug-2016,54.85,55.00,55.10,52.50,52.65,53.10,53.83,94127,50.67,648,71317,75.77
VIDHIDYE,EQ,16-Aug-2016,53.10,53.00,53.75,50.50,52.10,52.00,51.43,115182,59.24,773,88929,77.21
VIDHIDYE,EQ,17-Aug-2016,52.00,52.00,53.50,51.55,53.00,52.85,52.67,36509,19.23,236,23996,65.73
VIDHIDYE,EQ,18-Aug-2016,52.85,52.25,54.25,52.25,53.05,53.25,53.56,83520,44.73,587,50112,60.00
VIDHIDYE,EQ,19-Aug-2016,53.25,53.50,54.15,52.90,53.45,53.45,53.58,50100,26.84,405,30533,60.94
VIDHIDYE,EQ,22-Aug-2016,53.45,53.10,55.00,53.10,53.60,53.70,54.13,56129,30.38,375,38480,68.56
VIDHIDYE,EQ,23-Aug-2016,53.70,53.50,55.00,53.50,54.35,54.35,54.59,38918,21.25,408,21495,55.23
VIDHIDYE,EQ,24-Aug-2016,54.35,54.60,54.80,54.00,54.05,54.20,54.33,26889,14.61,263,18785,69.86
VIDHIDYE,EQ,25-Aug-2016,54.20,54.05,54.65,52.80,53.90,53.45,53.79,45396,24.42,446,30934,68.14
VIDHIDYE,EQ,26-Aug-2016,53.45,53.65,53.85,52.40,53.00,52.70,52.81,52682,27.82,462,35867,68.08
VIDHIDYE,EQ,29-Aug-2016,52.70,52.40,53.00,52.10,53.00,52.30,52.56,21904,11.51,188,17769,81.12
VIDHIDYE,EQ,30-Aug-2016,52.30,52.25,54.50,51.80,53.00,52.95,52.82,82009,43.31,524,54219,66.11
VIDHIDYE,EQ,31-Aug-2016,52.95,53.35,53.50,52.20,52.65,52.70,52.98,41635,22.06,362,28383,68.17
VIDHIDYE,EQ,01-Sep-2016,52.70,53.45,53.55,52.10,52.35,52.30,52.48,32010,16.80,310,22026,68.81
VIDHIDYE,EQ,02-Sep-2016,52.30,52.30,52.50,51.80,52.00,52.30,52.04,28389,14.77,186,21670,76.33
VIDHIDYE,EQ,06-Sep-2016,52.30,52.60,53.15,51.50,51.95,52.00,52.13,35356,18.43,254,28435,80.42
VIDHIDYE,EQ,07-Sep-2016,52.00,52.00,53.55,52.00,52.55,53.05,52.72,44530,23.48,250,41165,92.44
VIDHIDYE,EQ,08-Sep-2016,53.05,52.60,54.90,52.55,53.45,53.25,53.61,51529,27.63,398,33241,64.51
VIDHIDYE,EQ,09-Sep-2016,53.25,53.95,54.50,52.15,52.50,52.60,53.16,41912,22.28,416,26606,63.48
VIDHIDYE,EQ,12-Sep-2016,52.60,52.25,52.75,51.20,51.40,51.45,51.60,86031,44.39,386,75563,87.83
VIDHIDYE,EQ,14-Sep-2016,51.45,52.00,53.00,51.50,53.00,52.80,52.39,21312,11.17,243,15431,72.41
VIDHIDYE,EQ,15-Sep-2016,52.80,53.25,54.00,52.15,52.80,53.00,53.14,45165,24.00,399,28998,64.20
VIDHIDYE,EQ,16-Sep-2016,53.00,53.70,54.00,52.30,52.30,52.50,52.97,31038,16.44,261,22643,72.95
VIDHIDYE,EQ,19-Sep-2016,52.50,53.40,53.85,52.30,53.55,53.60,53.31,87066,46.42,530,73062,83.92
VIDHIDYE,EQ,20-Sep-2016,53.60,54.00,60.75,53.60,57.75,58.10,58.50,780227,456.41,5191,341380,43.75
VIDHIDYE,EQ,21-Sep-2016,58.10,58.55,60.00,58.00,58.45,58.35,59.02,171827,101.41,1329,105246,61.25
VIDHIDYE,EQ,22-Sep-2016,58.35,59.90,60.25,57.50,58.50,58.50,58.55,95785,56.08,738,53683,56.05
VIDHIDYE,EQ,23-Sep-2016,58.50,58.35,59.00,56.25,57.45,56.80,57.57,72258,41.60,592,46203,63.94
VIDHIDYE,EQ,26-Sep-2016,56.80,56.25,58.70,55.00,58.10,57.65,56.47,128973,72.84,967,69467,53.86
VIDHIDYE,EQ,27-Sep-2016,57.65,59.00,63.80,59.00,61.75,61.90,62.01,797928,494.81,5889,407203,51.03
VIDHIDYE,EQ,28-Sep-2016,61.90,62.20,62.50,60.20,61.00,61.05,61.09,151354,92.46,1348,86847,57.38
VIDHIDYE,EQ,29-Sep-2016,61.05,61.75,62.25,51.20,55.65,55.30,56.59,284405,160.93,2164,171487,60.30
VIDHIDYE,EQ,30-Sep-2016,55.30,55.00,58.70,54.50,57.75,58.00,56.65,101988,57.77,1097,51906,50.89
VIDHIDYE,EQ,03-Oct-2016,58.00,58.25,61.85,58.00,60.40,60.50,60.00,148806,89.28,1199,68234,45.85
VIDHIDYE,EQ,04-Oct-2016,60.50,60.10,61.20,59.00,59.50,59.35,60.03,61008,36.63,549,38770,63.55
VIDHIDYE,EQ,05-Oct-2016,59.35,58.75,61.20,58.30,58.85,59.55,59.83,113832,68.11,916,62365,54.79
VIDHIDYE,EQ,06-Oct-2016,59.55,60.00,61.50,58.20,58.70,58.70,60.23,101362,61.06,1087,47629,46.99
VIDHIDYE,EQ,07-Oct-2016,58.70,59.00,59.50,57.50,58.40,57.80,58.32,60068,35.03,496,37275,62.05
VIDHIDYE,EQ,10-Oct-2016,57.80,58.40,59.00,58.00,58.00,58.20,58.48,56503,33.04,389,39119,69.23
VIDHIDYE,EQ,13-Oct-2016,58.20,59.00,59.00,57.15,57.20,57.30,57.60,44986,25.91,347,31104,69.14
VIDHIDYE,EQ,14-Oct-2016,57.30,58.20,58.90,57.40,58.00,57.70,58.23,57238,33.33,402,37460,65.45
VIDHIDYE,EQ,17-Oct-2016,57.70,57.25,58.70,57.10,57.25,57.30,57.81,37384,21.61,289,23636,63.22
VIDHIDYE,EQ,18-Oct-2016,57.30,57.50,58.45,57.30,57.50,57.45,57.73,41050,23.70,404,25578,62.31
VIDHIDYE,EQ,19-Oct-2016,57.45,57.60,58.40,56.55,58.00,58.10,57.70,59156,34.13,384,38353,64.83
VIDHIDYE,EQ,20-Oct-2016,58.10,58.00,58.65,57.30,58.00,57.90,57.96,43586,25.26,269,30572,70.14
VIDHIDYE,EQ,21-Oct-2016,57.90,57.50,58.00,57.35,57.50,57.55,57.64,21917,12.63,271,13197,60.21
VIDHIDYE,EQ,24-Oct-2016,57.55,58.45,60.25,58.25,60.15,59.80,59.57,117915,70.24,849,82897,70.30
VIDHIDYE,EQ,25-Oct-2016,59.80,60.00,60.50,58.25,58.30,58.55,59.30,49917,29.60,567,33412,66.94
VIDHIDYE,EQ,26-Oct-2016,58.55,58.85,63.30,57.75,60.65,61.10,61.29,344123,210.90,2357,134139,38.98
VIDHIDYE,EQ,27-Oct-2016,61.10,60.60,61.90,59.00,59.00,59.20,60.04,64290,38.60,648,36269,56.41
