Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MAXWELL,EQ,06-Aug-2007,27.75,31.00,33.00,27.65,32.95,32.10,31.21,127349,39.75,-,14378,11.29
MAXWELL,EQ,07-Aug-2007,32.10,33.75,34.50,31.50,32.50,32.15,33.24,100807,33.51,-,30483,30.24
MAXWELL,EQ,08-Aug-2007,32.15,33.00,33.20,31.50,31.70,31.90,32.33,24186,7.82,-,13961,57.72
MAXWELL,EQ,09-Aug-2007,31.90,30.55,31.95,30.55,30.95,31.30,31.40,6900,2.17,-,4300,62.32
MAXWELL,EQ,10-Aug-2007,31.30,29.50,31.90,29.50,31.00,31.35,30.19,4955,1.50,-,3566,71.97
MAXWELL,EQ,13-Aug-2007,31.35,30.20,31.75,30.05,30.20,30.20,30.61,3951,1.21,-,2600,65.81
MAXWELL,EQ,14-Aug-2007,30.20,28.70,30.80,28.70,30.45,30.50,30.09,11585,3.49,-,9383,80.99
MAXWELL,EQ,16-Aug-2007,30.50,29.35,31.10,29.35,29.60,29.75,30.01,3249,0.98,-,2211,68.05
MAXWELL,EQ,17-Aug-2007,29.75,28.70,29.50,27.50,29.50,27.95,27.93,3914,1.09,-,3615,92.36
MAXWELL,EQ,20-Aug-2007,27.95,30.75,30.75,27.90,28.00,27.95,28.44,6289,1.79,-,4150,65.99
MAXWELL,EQ,21-Aug-2007,27.95,27.05,29.90,26.35,26.50,27.10,27.34,4346,1.19,-,3937,90.59
MAXWELL,EQ,22-Aug-2007,27.10,26.50,27.40,25.50,26.30,26.30,26.11,6048,1.58,-,5666,93.68
MAXWELL,EQ,23-Aug-2007,26.30,27.05,28.60,25.50,26.00,26.85,27.33,4640,1.27,-,3922,84.53
MAXWELL,EQ,24-Aug-2007,26.85,27.00,27.50,26.40,27.45,27.40,27.18,925,0.25,-,625,67.57
MAXWELL,EQ,27-Aug-2007,27.40,28.95,29.85,27.65,29.80,29.15,29.12,7449,2.17,-,6645,89.21
MAXWELL,EQ,28-Aug-2007,29.15,29.00,30.00,28.50,29.65,29.30,29.23,2216,0.65,-,2210,99.73
MAXWELL,EQ,29-Aug-2007,29.30,29.50,29.50,27.85,28.15,28.55,28.73,1031,0.30,-,648,62.85
