Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VISASTEEL,EQ,17-Mar-2006,57.00,57.00,60.25,49.75,57.10,56.80,56.38,23061678,13002.51,-,5612084,24.34
VISASTEEL,EQ,20-Mar-2006,56.80,58.00,61.00,55.00,55.10,55.70,57.81,2484497,1436.40,-,612172,24.64
VISASTEEL,EQ,21-Mar-2006,55.70,55.70,57.80,54.55,55.50,55.40,55.60,1132942,629.92,-,427087,37.70
VISASTEEL,EQ,22-Mar-2006,55.40,55.00,55.80,53.80,55.00,54.80,54.84,495047,271.51,-,155237,31.36
VISASTEEL,EQ,23-Mar-2006,54.80,55.00,57.45,53.10,55.50,56.00,55.59,1131489,629.01,-,365894,32.34
VISASTEEL,EQ,24-Mar-2006,56.00,56.00,56.50,53.25,54.00,53.65,54.39,639774,348.00,-,301350,47.10
VISASTEEL,EQ,27-Mar-2006,53.65,54.35,55.00,52.30,53.05,53.00,53.80,700362,376.81,-,405431,57.89
VISASTEEL,EQ,28-Mar-2006,53.00,53.00,53.60,51.10,52.55,52.55,52.49,266834,140.05,-,136332,51.09
VISASTEEL,EQ,29-Mar-2006,52.55,52.25,52.65,51.70,52.15,52.15,52.05,202913,105.62,-,141099,69.54
VISASTEEL,EQ,30-Mar-2006,52.15,51.55,53.00,51.55,52.00,52.05,52.07,201665,105.00,-,148604,73.69
VISASTEEL,EQ,31-Mar-2006,52.05,52.40,56.50,51.80,53.00,53.00,54.52,227687,124.13,-,68266,29.98
VISASTEEL,EQ,03-Apr-2006,53.00,54.00,55.25,53.50,53.70,53.65,54.27,196617,106.71,-,141767,72.10
VISASTEEL,EQ,04-Apr-2006,53.65,54.90,55.00,53.00,53.00,53.15,53.24,72563,38.64,-,48349,66.63
VISASTEEL,EQ,05-Apr-2006,53.15,53.15,53.40,53.00,53.05,53.05,53.09,48289,25.63,-,33544,69.47
VISASTEEL,EQ,07-Apr-2006,53.05,53.90,55.00,53.00,53.55,53.60,53.73,183619,98.66,-,108639,59.17
VISASTEEL,EQ,10-Apr-2006,53.60,53.85,57.45,51.40,54.50,54.95,55.47,317470,176.10,-,105103,33.11
VISASTEEL,EQ,12-Apr-2006,54.95,55.25,55.90,53.00,53.05,53.00,54.14,100472,54.39,-,43399,43.20
VISASTEEL,EQ,13-Apr-2006,53.00,52.60,54.40,51.55,52.00,52.05,52.58,106305,55.90,-,81405,76.58
VISASTEEL,EQ,17-Apr-2006,52.05,53.00,54.60,51.60,52.00,52.00,52.71,229198,120.81,-,122520,53.46
VISASTEEL,EQ,18-Apr-2006,52.00,52.10,53.35,51.80,52.00,51.95,52.28,66568,34.80,-,48206,72.42
VISASTEEL,EQ,19-Apr-2006,51.95,51.70,53.90,51.70,53.00,53.00,53.08,103138,54.75,-,53485,51.86
VISASTEEL,EQ,20-Apr-2006,53.00,53.50,54.60,52.05,52.75,52.75,53.26,107234,57.12,-,37648,35.11
VISASTEEL,EQ,21-Apr-2006,52.75,52.75,53.00,51.40,51.55,51.70,51.96,64408,33.47,-,32002,49.69
VISASTEEL,EQ,24-Apr-2006,51.70,51.50,52.70,50.50,50.90,51.25,51.62,48450,25.01,-,23627,48.77
VISASTEEL,EQ,25-Apr-2006,51.25,50.20,51.40,48.55,49.00,48.90,49.85,98629,49.17,-,55874,56.65
VISASTEEL,EQ,26-Apr-2006,48.90,50.00,51.35,49.10,51.00,50.35,50.05,60156,30.11,-,45451,75.56
VISASTEEL,EQ,27-Apr-2006,50.35,51.40,53.15,50.20,52.90,52.60,52.49,162238,85.15,-,95393,58.80
VISASTEEL,EQ,28-Apr-2006,52.60,51.80,53.80,49.20,52.00,51.55,52.31,210653,110.19,-,131700,62.52
VISASTEEL,EQ,29-Apr-2006,51.55,54.00,59.00,54.00,54.50,54.75,55.48,223910,124.23,-,122483,54.70
VISASTEEL,EQ,02-May-2006,54.75,55.10,57.00,53.00,53.20,53.80,55.52,222240,123.39,-,98768,44.44
VISASTEEL,EQ,03-May-2006,53.80,55.80,55.80,53.30,55.00,54.80,54.65,119262,65.17,-,71254,59.75
VISASTEEL,EQ,04-May-2006,54.80,55.80,55.80,50.00,52.05,50.85,51.60,408628,210.86,-,327474,80.14
VISASTEEL,EQ,05-May-2006,50.85,52.95,53.00,51.15,52.95,52.55,52.30,221033,115.60,-,152820,69.14
VISASTEEL,EQ,08-May-2006,52.55,52.10,53.20,51.55,53.00,53.00,52.66,108258,57.01,-,71109,65.68
VISASTEEL,EQ,09-May-2006,53.00,52.00,52.40,51.00,51.35,51.45,51.51,159705,82.27,-,124878,78.19
VISASTEEL,EQ,10-May-2006,51.45,52.40,53.60,51.70,52.00,52.10,52.51,237868,124.91,-,150185,63.14
VISASTEEL,EQ,11-May-2006,52.10,52.95,53.00,51.40,51.65,52.00,52.36,104962,54.95,-,64255,61.22
VISASTEEL,EQ,12-May-2006,52.00,51.90,54.00,48.10,51.60,52.00,52.61,202668,106.62,-,93418,46.09
VISASTEEL,EQ,15-May-2006,52.00,51.25,52.20,49.80,49.95,50.20,51.33,161790,83.04,-,110290,68.17
VISASTEEL,EQ,16-May-2006,50.20,49.90,52.50,49.05,52.50,52.10,50.73,118605,60.17,-,76815,64.77
VISASTEEL,EQ,17-May-2006,52.10,51.50,52.25,50.15,50.30,50.55,50.97,203487,103.72,-,173220,85.13
VISASTEEL,EQ,18-May-2006,50.55,50.55,52.00,48.20,50.45,50.25,49.79,162641,80.98,-,105564,64.91
VISASTEEL,EQ,19-May-2006,50.25,50.45,51.50,45.10,45.60,46.00,47.93,36961,17.71,-,18286,49.47
