Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VRLLOG,EQ,30-Apr-2015,205.00,288.00,309.00,286.00,292.50,294.10,296.87,22868893,67890.08,249340,7551426,33.02
VRLLOG,EQ,04-May-2015,294.10,295.35,298.60,280.35,283.35,283.00,288.95,2035400,5881.21,35314,519307,25.51
VRLLOG,EQ,05-May-2015,283.00,283.00,289.85,279.20,288.60,285.55,284.56,1427091,4060.92,28221,475060,33.29
VRLLOG,EQ,06-May-2015,285.55,285.80,292.00,275.75,277.00,279.25,282.92,1432505,4052.80,25700,469663,32.79
VRLLOG,EQ,07-May-2015,279.25,276.75,283.80,273.10,274.30,275.10,277.20,836450,2318.60,18968,286966,34.31
VRLLOG,EQ,08-May-2015,275.10,276.95,283.00,276.95,280.40,281.00,280.30,486076,1362.48,9030,182569,37.56
VRLLOG,EQ,11-May-2015,281.00,282.45,285.00,278.85,279.20,279.95,281.44,423633,1192.27,8035,205465,48.50
VRLLOG,EQ,12-May-2015,279.95,280.00,280.60,261.05,261.75,261.80,267.94,399348,1070.03,7674,178621,44.73
VRLLOG,EQ,13-May-2015,261.80,264.10,272.90,264.00,271.25,269.90,269.11,635630,1710.52,16657,217353,34.19
VRLLOG,EQ,14-May-2015,269.90,271.70,273.90,266.50,273.55,272.20,270.17,206959,559.14,3515,68047,32.88
VRLLOG,EQ,15-May-2015,272.20,274.75,275.55,265.50,267.50,267.55,270.68,182416,493.76,3609,67765,37.15
VRLLOG,EQ,18-May-2015,267.55,268.95,281.00,268.20,279.95,278.65,275.54,379421,1045.44,6448,153909,40.56
VRLLOG,EQ,19-May-2015,278.65,279.70,294.80,275.30,289.50,288.90,288.05,1087895,3133.70,16865,319846,29.40
VRLLOG,EQ,20-May-2015,288.90,290.50,303.40,290.00,301.00,301.25,299.28,1585201,4744.12,28933,455197,28.72
VRLLOG,EQ,21-May-2015,301.25,302.00,303.50,290.80,291.50,292.50,295.35,547292,1616.44,9374,195394,35.70
VRLLOG,EQ,22-May-2015,292.50,293.45,295.40,288.00,289.15,290.30,291.51,307189,895.50,4311,104963,34.17
VRLLOG,EQ,25-May-2015,290.30,290.40,303.00,288.85,296.20,297.20,297.81,902993,2689.21,14084,302728,33.52
VRLLOG,EQ,26-May-2015,297.20,305.00,328.70,299.90,320.75,320.15,312.84,3561776,11142.54,50781,711059,19.96
VRLLOG,EQ,27-May-2015,320.15,315.90,323.60,301.00,305.00,304.80,312.58,1527300,4774.00,26478,445388,29.16
VRLLOG,EQ,28-May-2015,304.80,305.80,320.80,305.40,316.30,317.55,314.70,1229267,3868.53,22748,323040,26.28
VRLLOG,EQ,29-May-2015,317.55,316.15,321.00,307.10,308.00,309.35,314.29,627630,1972.57,12507,178005,28.36
VRLLOG,EQ,01-Jun-2015,309.35,308.90,312.35,305.60,306.25,306.55,308.34,313712,967.30,5990,89101,28.40
VRLLOG,EQ,02-Jun-2015,306.55,308.75,313.65,298.50,298.50,301.15,306.81,485338,1489.06,7999,155280,31.99
VRLLOG,EQ,03-Jun-2015,301.15,301.25,304.75,275.75,285.50,284.75,289.73,471672,1366.57,8830,182784,38.75
VRLLOG,EQ,04-Jun-2015,284.75,286.45,292.95,280.20,289.75,289.90,287.23,354331,1017.74,7857,122408,34.55
VRLLOG,EQ,05-Jun-2015,289.90,289.90,299.70,286.20,289.15,290.45,292.68,752667,2202.90,16453,142018,18.87
VRLLOG,EQ,08-Jun-2015,290.45,291.00,292.95,283.45,284.20,285.30,288.89,256736,741.68,4587,77552,30.21
VRLLOG,EQ,09-Jun-2015,285.30,285.00,291.65,282.60,291.35,289.80,287.60,254115,730.84,5184,91646,36.06
VRLLOG,EQ,10-Jun-2015,289.80,289.00,294.30,288.00,288.00,289.45,291.33,192384,560.48,3679,71424,37.13
VRLLOG,EQ,11-Jun-2015,289.45,290.75,292.30,284.00,285.40,285.40,288.82,222135,641.58,8296,84213,37.91
VRLLOG,EQ,12-Jun-2015,285.40,284.25,288.00,282.25,285.00,283.25,285.04,214550,611.56,3165,101168,47.15
VRLLOG,EQ,15-Jun-2015,283.25,283.00,291.75,283.00,291.50,289.95,288.21,217439,626.68,6327,104106,47.88
VRLLOG,EQ,16-Jun-2015,289.95,290.05,294.35,288.10,293.00,292.85,291.43,150693,439.17,3274,53575,35.55
VRLLOG,EQ,17-Jun-2015,292.85,293.15,295.90,291.40,293.50,293.70,293.85,199630,586.61,5489,76378,38.26
VRLLOG,EQ,18-Jun-2015,293.70,294.00,315.50,293.50,313.20,312.10,307.41,918950,2824.98,15758,294538,32.05
VRLLOG,EQ,19-Jun-2015,312.10,312.10,318.95,305.50,313.80,316.00,314.20,689812,2167.36,10565,278447,40.37
VRLLOG,EQ,22-Jun-2015,316.00,314.00,320.70,310.60,312.00,312.25,314.67,437924,1378.01,11033,194783,44.48
VRLLOG,EQ,23-Jun-2015,312.25,313.80,323.40,310.50,316.00,316.85,317.48,524583,1665.43,9946,161758,30.84
VRLLOG,EQ,24-Jun-2015,316.85,316.50,324.50,308.10,308.30,310.85,317.71,361574,1148.77,6084,145633,40.28
VRLLOG,EQ,25-Jun-2015,310.85,309.80,315.00,307.40,310.10,309.80,311.48,165047,514.09,3593,33523,20.31
VRLLOG,EQ,26-Jun-2015,309.80,309.50,315.25,306.50,307.00,307.80,310.63,192517,598.02,4622,49189,25.55
VRLLOG,EQ,29-Jun-2015,307.80,298.00,304.70,295.00,302.00,302.75,300.24,134383,403.46,4030,55679,41.43
VRLLOG,EQ,30-Jun-2015,302.75,303.00,309.90,303.00,304.00,306.30,307.15,168959,518.95,3500,67948,40.22
VRLLOG,EQ,01-Jul-2015,306.30,306.00,313.85,305.30,306.20,306.55,309.24,199366,616.52,3651,69151,34.69
VRLLOG,EQ,02-Jul-2015,306.55,308.00,318.00,307.00,310.70,313.85,311.80,273575,853.00,4630,95493,34.91
VRLLOG,EQ,03-Jul-2015,313.85,312.80,324.60,311.55,318.25,320.05,317.28,852938,2706.20,9872,404123,47.38
VRLLOG,EQ,06-Jul-2015,320.05,315.60,336.80,311.00,331.00,331.00,327.90,856472,2808.33,15802,197314,23.04
VRLLOG,EQ,07-Jul-2015,331.00,333.50,339.00,329.10,335.50,336.35,335.29,561808,1883.68,10635,166346,29.61
VRLLOG,EQ,08-Jul-2015,336.35,329.20,333.95,320.00,322.00,322.60,326.79,322673,1054.46,9279,125610,38.93
VRLLOG,EQ,09-Jul-2015,322.60,323.50,329.65,323.50,327.95,327.40,326.66,153708,502.11,3828,54030,35.15
VRLLOG,EQ,10-Jul-2015,327.40,330.00,334.00,327.00,328.80,328.20,329.24,201039,661.89,4485,125575,62.46
VRLLOG,EQ,13-Jul-2015,328.20,328.10,331.75,328.10,330.50,330.25,330.13,225623,744.85,2938,112315,49.78
VRLLOG,EQ,14-Jul-2015,330.25,331.00,370.85,328.50,352.00,350.90,351.03,1574849,5528.24,28480,427044,27.12
VRLLOG,EQ,15-Jul-2015,350.90,352.50,361.00,342.60,349.90,348.80,354.06,628050,2223.66,13190,228272,36.35
VRLLOG,EQ,16-Jul-2015,348.80,350.40,363.00,349.40,353.00,356.05,356.72,389819,1390.57,8589,119143,30.56
VRLLOG,EQ,17-Jul-2015,356.05,358.00,359.40,346.00,348.00,348.15,351.00,296994,1042.45,6712,131644,44.33
VRLLOG,EQ,20-Jul-2015,348.15,351.80,364.45,350.20,358.40,358.95,359.21,450448,1618.04,9731,127149,28.23
VRLLOG,EQ,21-Jul-2015,358.95,360.80,368.00,351.60,355.80,354.20,360.56,388656,1401.34,7280,147905,38.06
VRLLOG,EQ,22-Jul-2015,354.20,353.90,375.00,353.75,370.00,369.30,366.93,578500,2122.70,11860,206275,35.66
VRLLOG,EQ,23-Jul-2015,369.30,370.00,373.40,359.75,364.00,364.80,367.81,282283,1038.26,6971,116075,41.12
VRLLOG,EQ,24-Jul-2015,364.80,364.80,369.00,357.50,364.00,359.80,362.23,231020,836.83,6141,75556,32.71
VRLLOG,EQ,27-Jul-2015,359.80,360.10,363.75,350.00,361.50,358.40,356.17,196662,700.46,5620,84394,42.91
VRLLOG,EQ,28-Jul-2015,358.40,358.40,386.70,356.00,380.00,380.25,377.33,979550,3696.12,14930,524546,53.55
VRLLOG,EQ,29-Jul-2015,380.25,384.60,388.00,369.10,371.55,372.95,377.90,753473,2847.39,15353,366046,48.58
VRLLOG,EQ,30-Jul-2015,372.95,376.40,388.95,374.20,378.75,378.05,381.97,621775,2375.02,13743,185123,29.77
VRLLOG,EQ,31-Jul-2015,378.05,380.60,393.00,373.15,390.20,386.40,382.24,352405,1347.04,6300,158899,45.09
VRLLOG,EQ,03-Aug-2015,386.40,393.45,400.00,387.60,396.00,397.65,394.91,376533,1486.98,7465,135384,35.96
VRLLOG,EQ,04-Aug-2015,397.65,399.80,399.80,388.10,390.05,392.40,392.45,242321,950.99,5733,94266,38.90
VRLLOG,EQ,05-Aug-2015,392.40,394.00,395.55,385.15,387.60,387.65,390.63,216829,847.01,7193,106529,49.13
VRLLOG,EQ,06-Aug-2015,387.65,389.00,389.95,377.25,380.00,379.65,382.73,157013,600.93,4617,66480,42.34
VRLLOG,EQ,07-Aug-2015,379.65,381.80,390.60,381.05,385.00,382.65,386.06,180446,696.63,4984,61038,33.83
VRLLOG,EQ,10-Aug-2015,382.65,393.00,406.70,391.45,392.40,394.25,398.26,501549,1997.46,12548,214140,42.70
VRLLOG,EQ,11-Aug-2015,394.25,399.00,402.90,384.10,397.00,391.65,393.97,371834,1464.90,8724,146286,39.34
VRLLOG,EQ,12-Aug-2015,391.65,395.70,398.65,377.80,383.30,380.15,388.13,235462,913.90,5812,99003,42.05
VRLLOG,EQ,13-Aug-2015,380.15,383.50,388.00,365.00,368.00,367.55,375.57,224865,844.53,5550,131264,58.37
VRLLOG,EQ,14-Aug-2015,367.55,365.50,378.40,352.70,376.00,375.80,367.37,515183,1892.62,14456,230330,44.71
