Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SCANDENT,EQ,02-Jan-2006,221.25,221.90,221.90,213.00,215.00,214.90,216.14,205492,444.15,-,81182,39.51
SCANDENT,EQ,03-Jan-2006,214.90,214.80,219.40,213.50,218.25,218.00,216.66,199480,432.20,-,76490,38.34
SCANDENT,EQ,04-Jan-2006,218.00,219.00,221.00,215.00,215.00,216.55,217.69,163814,356.61,-,77549,47.34
SCANDENT,EQ,05-Jan-2006,216.55,215.90,217.10,211.00,211.35,211.95,213.27,140467,299.58,-,54165,38.56
SCANDENT,EQ,06-Jan-2006,211.95,213.00,219.90,209.00,211.40,211.60,214.73,215816,463.42,-,61372,28.44
SCANDENT,EQ,09-Jan-2006,211.60,213.25,215.70,209.60,209.60,210.85,212.82,134920,287.14,-,55029,40.79
SCANDENT,EQ,10-Jan-2006,210.85,212.50,212.50,207.00,208.25,207.80,209.64,84526,177.20,-,39622,46.88
SCANDENT,EQ,12-Jan-2006,207.80,207.80,213.05,206.00,210.55,212.10,210.71,202032,425.70,-,70429,34.86
SCANDENT,EQ,13-Jan-2006,212.10,212.10,218.00,207.10,208.00,209.35,213.96,300224,642.35,-,123858,41.26
SCANDENT,EQ,16-Jan-2006,209.35,210.45,212.70,200.25,202.30,202.10,206.78,281584,582.25,-,119883,42.57
SCANDENT,EQ,17-Jan-2006,202.10,204.00,206.15,195.00,197.00,196.30,200.49,173980,348.81,-,79137,45.49
SCANDENT,EQ,18-Jan-2006,196.30,198.00,199.00,192.65,195.70,195.10,195.83,162956,319.11,-,54259,33.30
SCANDENT,EQ,19-Jan-2006,195.10,197.00,203.00,197.00,202.80,201.95,200.90,105098,211.14,-,43305,41.20
SCANDENT,EQ,20-Jan-2006,201.95,203.60,205.75,198.10,198.30,199.00,201.60,104267,210.20,-,43342,41.57
SCANDENT,EQ,23-Jan-2006,199.00,199.80,199.80,194.00,194.50,195.20,195.97,79392,155.59,-,34492,43.45
SCANDENT,EQ,24-Jan-2006,195.20,197.30,201.80,194.20,195.05,195.55,197.51,111877,220.96,-,41258,36.88
SCANDENT,EQ,25-Jan-2006,195.55,197.00,208.60,195.50,202.00,201.50,203.57,290535,591.44,-,94009,32.36
SCANDENT,EQ,27-Jan-2006,201.50,202.80,203.80,196.05,197.80,197.60,199.35,112456,224.18,-,49695,44.19
