Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZEENEWS,EQ,10-Jan-2007,1.00,89.00,89.00,33.50,33.80,34.25,37.24,16042771,5974.25,-,5511496,34.36
ZEENEWS,EQ,11-Jan-2007,34.25,34.50,36.75,30.15,31.50,31.45,33.34,10034178,3345.64,-,3326305,33.15
ZEENEWS,EQ,12-Jan-2007,31.45,32.40,32.40,29.65,29.80,29.80,30.75,3933807,1209.74,-,1690798,42.98
ZEENEWS,IL,12-Jan-2007,1.00,32.00,32.00,32.00,0.00,32.00,32.00,1791175,573.18,-,1791175,100.00
ZEENEWS,EQ,15-Jan-2007,29.80,30.40,34.00,29.60,31.70,31.65,32.42,7418356,2404.93,-,2072474,27.94
ZEENEWS,EQ,16-Jan-2007,31.65,32.00,33.60,31.40,33.35,33.05,32.63,3997368,1304.30,-,1463973,36.62
ZEENEWS,EQ,17-Jan-2007,33.05,33.90,34.00,32.90,33.40,33.35,33.39,3219884,1075.14,-,1191488,37.00
ZEENEWS,EQ,18-Jan-2007,33.35,33.50,34.70,32.50,33.05,32.90,33.46,3922278,1312.43,-,1837885,46.86
ZEENEWS,EQ,19-Jan-2007,32.90,33.30,33.55,32.40,32.65,32.75,32.82,1300011,426.66,-,445726,34.29
ZEENEWS,EQ,22-Jan-2007,32.75,33.30,33.30,31.95,32.00,32.10,32.34,1351214,437.02,-,636243,47.09
ZEENEWS,EQ,23-Jan-2007,32.10,32.25,33.90,31.95,32.70,32.70,33.02,2319056,765.70,-,692453,29.86
ZEENEWS,EQ,24-Jan-2007,32.70,32.70,33.00,32.00,32.50,32.25,32.45,1188002,385.56,-,479449,40.36
ZEENEWS,EQ,25-Jan-2007,32.25,32.60,32.60,31.60,32.00,31.95,32.14,1011753,325.17,-,576725,57.00
ZEENEWS,EQ,29-Jan-2007,31.95,32.30,33.50,32.00,33.25,33.10,32.98,1557557,513.69,-,869616,55.83
ZEENEWS,EQ,31-Jan-2007,33.10,33.75,34.45,33.15,33.45,33.30,33.55,1220901,409.59,-,519583,42.56
ZEENEWS,EQ,01-Feb-2007,33.30,33.50,33.80,32.90,33.25,33.30,33.27,980520,326.18,-,306641,31.27
ZEENEWS,EQ,02-Feb-2007,33.30,33.70,35.40,33.10,34.40,34.50,34.34,2843161,976.45,-,1029880,36.22
